id,前端用UID,活动名称,英文名称,排列顺序,是否为预热活动,关联表,活动时间,持续时间,活动超级小标题,广告板显示,背景图片,广告字图片,展示用spineID,spine位置,spine缩放,界面ID,大周期达成条件次数,小周期达成条件次数,活动关联物品,活动规则id,首页活动icon,是否为按天领取
id,UID,Name,EnglishName,Sort,IsNotice,FormName,Time,Duration,TimeDesc,AD_Path,Picture,AD_Image,Spine,SpinePos,SpineScale,Interface,major_cyc_num,minor_cyc_num,Activeitem,ruleid,Mainpageicon,Beseverday
number,number,number,string,number,number,string,number,number,string,string,number,array_|,array_|,array_&_|,array_&_|,number,number,number,array_&,number,string,number
1001,20001,10010001,CEKI HARCI,2,0,Activeitem,200001,0,-1,-1,30009,20001|-5|533|0.5|0,1009,-5&-679&0,98&98&100,10002,0,0,-1,-1,-1,1
1002,20002,10010002,CHIN NIK,1,0,Activeitem,200001,0,-1,-1,20002,20012|318|-212,-1,0&0&0,1&1&1,10002,0,0,-1,6001,-1,1
1003,20003,10010003,HARCI RI MENSA,3,0,Activeitem,101,0,-1,-1,20003,20003|-42|-128,-1,0&0&0,1&1&1,10002,0,0,-1,-1,-1,0
1005,20004,10010004,INSPECTION,5,0,Activeitem,0,14,-1,-1,20003,20003|-42|-128,-1,0&0&0,1&1&1,9901,120,0,8999998,6002,-1,0
1006,20005,10010005,TURNTABLE ACTIVITY,6,0,Activeitem,500002,0,-1,-1,30009,20004|113|-345,-1,0&0&0,1&1&1,10002,0,100,8999997,-1,-1,0
1007,20006,10010006,WHITE NIGHT CINCERTO,7,0,Activeitem,101,0,-1,-1,20003,20003|-42|-128,-1,0&0&0,1&1&1,9901,0,0,8999999,-1,-1,0
2001,50001,10010006,Teiz sime,8,1,Active_sixthnotice,0,0,-1,-1,0,-1,-1,0&0&0,1&1&1,9901,0,0,-1,-1,Img_ZhuYe_HuoDong_BaiYe,0
2002,50002,10010007,Teiz sime,9,0,Activeitem,101,0,我名为雅努西娅，是不应诞生的罪恶之子。为什么要唤醒我？,-1,0,img_diliufengyin_biaoti|-258|-76,-1,205&1038&0,150&150&150,9901,0,0,-1,6003,Img_ZhuYe_HuoDong_BaiYe,0
1008,20008,10010008,Sinehue tioncik,10,0,Activeitem,70001,0,-1,-1,40011,40013|-5|652|0.5|0,10280002,110&-887&0,130&130&130,10002,0,0,-1,-1,-1,1
2003,50003,10010009,Teiz sime,11,1,Active_sixthnotice,0,0,-1,-1,0,-1,-1,0&0&0,1&1&1,9901,0,0,-1,-1,Img_ZhuYe_HuoDong_manyueji,0
2004,50004,10010010,UMKAMARISI,12,0,Activeitem,37002,0,黑暗中没有光明，绝望中没有希冀，罪人只能落入死地。,-1,0,text_shilian_xuanzhuanghui_biaoti|-280|-76,-1,205&1038&0,150&150&150,9901,0,0,-1,-1,Img_ZhuYe_HuoDong_manyueji,0
1009,20009,10010011,UMKAMARISI,13,0,Activeitem,0,0,-1,-1,0,-1,-1,0&0&0,1&1&1,9901,0,0,-1,-1,-1,2
1010,20010,10010011,UMKAMARISI,13,0,Activeitem,90001,0,-1,-1,0,-1,-1,0&0&0,1&1&1,9901,0,0,-1,-1,Img_ZhuYe_HuoDong_BaiYe,2
