id,前端用UID,排序ID,活动时间,跳转指向,跳转卡池指向,跳转关卡界面指向,跳转公告指向,跳转指向,广告字图片,界面ID
id,UID,Sort,Time,Jump,JumpCard,JumpInterface,JumpNotice,JumpActive,AD_Image,Interface
number,number,number,number,array_|,number,array_&,number,number,array_|,number
1,10001,6,101,-1,7,-1,-1,-1,90009,9999
2,10002,7,101,-1,8,-1,-1,-1,90010,9999
3,10003,5,101,-1,9,-1,-1,-1,90011,9999
4,10006,2,101,-1,-1,-1,-1,50002,90012,9999
5,10007,1,200001,-1,-1,-1,1,-1,90008,9999
6,10008,4,101,-1,10,-1,-1,-1,90013,9999
7,10009,2,37002,-1,-1,-1,-1,50004,90014,9999
8,10010,3,37002,-1,10,-1,-1,-1,90015,9999
