id,前端用UID,是否为独立显示,活动名称,英文名称,栏位显示条件,广告展板需要数字,界面ID,排列顺序,背景图片,多次购买礼包,活动时间描述,广告字图片,文案位置,展示用spineID,spine位置,spine缩放,奖励指向表名,货币栏显示,弹窗广告图,售罄隐藏
id,UID,ChargeType,Name,EnglishName,DisplayConditions,Adword,Interface,Sort,Picture,BuyIds,TimeDesc,AD_Image,Word,Spine,SpinePos,SpineScale,PointName,Currency_field,TipsADImage,Finished
number,number,number,number,string,array_&_|,array_&,number,number,number,number,string,string,string,array_|,array_&_|,array_&_|,string,array_&,string,number
101,30010,1,10020006,Kirochae,-1,-1,1,1,30002,-1,-1,30001|-232|-50|0.5|1,-1,10210002,40&-394&0,117&117&117,-1,1000012,-1,-1
102,30003,2,10020002,Hartai nik,-1,-1,2,1,30012,1,-1,30003|-284|-54|0.5|1,-1,1015,55&-271&0,110&110&110,-1,1000012,-1,-1
103,30006,2,10020005,Coreode ri ceka,-1,-1,2,2,30005,-1,-1,30006|-320|-18|0.5|1,-1,1031,117&-682&0,102&102&102,-1,1000002&1000012,-1,1
104,30011,1,10020013,Fusi coreodik,-1,-1,3,1,30011,-1,-1,30012|-373|-28|0.5|1,-1,10100003,56&-310&0,110&110&110,-1,1000009&1000012,-1,-1
105,30013,2,10020017,Hartai tamesik,-1,-1,2,3,30013,-1,-1,30016|-283|-71|0.5|1,-1,1044,203&-811&0,102&102&102,-1,1000002&1000012,-1,-1
201,40001,2,10020016,Cubitaise,-1,-1,4,1,30011,1,-1,30014|-389|-28|0.5|1,-1,1008,123&-545&0,100&100&100,-1,1000002&1000012&1000001,-1,-1
202,40002,2,30190031,Harfare,-1,-1,4,2,30011,1,-1,30014|-320|-28|0.5|1,-1,1008,123&-545&0,100&100&100,-1,1000013,-1,-1
203,40003,2,30190014,Fikufe Taise,4&101,-1,4,3,30011,1,-1,30014|-320|-28|0.5|1,-1,1008,123&-545&0,100&100&100,-1,1000008,-1,-1
9999,9999,1,10020015,Wimon chusi,-1,-1,5,50,20003,-1,-1,30011|-320|-12|0.5|1,-1,10100003,56&-310&0,110&110&110,ChargeMoney,1000002&1000012,-1,-1
1001,30001,2,10020011,LIMIT,4&101,-1,2,1,30005,-1,-1,30009|-20|475|0.5|0.5,-1,1023,184&-152&0,75&75&1,-1,1000001&1000002&1000012,-1,-1
1601,16010,1,10350048,自创语,-1,-1,9901,1,-1,-1,-1,-1,-1,1031,300&-237&0,100&100&100,-1,-1,-1,-1
2002,30007,2,10020008,Mensatai,-1,-1,10001,4,30007,-1,-1,30007|111|1025|0.5|0,-1,1004,53&-590&0,110&110&110,-1,1000002&1000012,-1,-1
3001,8002,2,10020012,Harochaneci,-1,-1,10001,1,-1,-1,-1,30013|120|-133|0.5|1,-1,-1,-1,-1,Charge_handbook,1000002&1000012,-1,-1
3002,8001,1,10020009,Siobe omik,4&360002,-1,9901,1,30008,-1,-1,-1,img_zhanling_shizhuang_biaoti_2|-223|-371|0.5|1,10030004,55&-130&0,95&95&90,Charge_handbook,1000001&1000002&1000012,source_common/ImageText/img_zhanling_tanchuang_biaoti&-170&500&0.5&1|source_avatar/hero/body_10030004&100&95&0.5&1,-1
3003,8004,1,10020009,Siobe omik,4&101,-1,9901,1,30008,-1,-1,-1,img_zhanling_shizhuang_biaoti_2|-223|-371|0.5|1,10030004,55&-130&0,95&95&90,Charge_handbook,1000001&1000002&1000012,source_common/ImageText/img_zhanling_tanchuang_biaoti&-170&500&0.5&1|source_avatar/hero/body_10030004&100&95&0.5&1,-1
5001,60001,2,10020011,LIMIT,4&37003,-1,9901,1,30005,-1,-1,30009|-20|475|0.5|0.5,-1,10440003,184&-152&0,75&75&1,-1,1010001,-1,-1
9998,30012,2,10020014,CHANGE CRYSTALLIZE,4&101,-1,2,51,20003,-1,-1,30010|253|461|0.5|0.5,-1,10100003,-25&-240&0,95&95&90,-1,1000001&1000002&1000013,-1,-1
10001,10000,2,10350031,CHARGE,-1,-1,9901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000001&1000002&1000008,-1,-1
