id,活动组,参数,奖励组
id,Group,Count,Items
number,number,number,array_&_|
1,1001,1,4&7000005&2
2,1001,2,4&7000007&5
3,1001,3,1&1038&1
4,1001,4,4&8400102&1
5,1001,5,4&1000009&20
6,1001,6,4&1000002&1000
7,1001,7,4&7000007&6
1001,1003,5,4&1000002&50|4&1000098&100|4&4200001&10
1002,1003,10,4&1000002&50|4&7000007&1|4&4100001&10
1003,1003,15,4&1000002&50|4&1000098&100|4&4200002&10
1004,1003,20,4&1000002&100|4&7000007&1|4&4100002&10
1005,1003,25,4&1000002&100|4&1000098&150|4&4200003&10
1006,1003,30,4&1000002&100|4&7000007&1|4&4100003&10
1007,1003,40,4&1000002&150|4&7000007&1|4&1000098&180
1008,1003,50,4&1000002&150|4&7000007&1|4&1000098&180
1009,1003,60,4&1000002&200|4&7000007&1|4&1000098&220
1010,1003,70,4&1000002&200|4&7000007&1|4&1000098&220
1011,1003,80,4&1000002&300|4&7000007&1|4&11000004&1
11,1008,1,4&8800037&10
12,1008,2,4&8800037&10
13,1008,3,4&8800037&10
14,1008,4,4&8800037&10
15,1008,5,4&8800037&10
16,1008,6,4&8800037&10
17,1008,7,4&8800037&20
