id,天数,周期奖励组1,周期额外奖励组1,周期奖励组2,周期额外奖励组2,周期奖励组3,周期额外奖励组3
id,days,Items1,exItems1,Items2,exItems2,Items3,exItems3
number,number,array_&,array_&,array_&,array_&,array_&,array_&
1001,1,4&1000002&80,1008&4&1000002&40,4&1000001&30000,1012&4&1000001&20000,4&4200005&2,1016&4&4200005&1
1002,2,4&99103&10,1023&4&99103&5,4&1000098&30,1042&4&1000098&10,4&7000005&1,1007&4&1000098&20
1003,3,4&7000007&1,1010&4&1000002&80,4&4600001&5,1019&4&4600001&3,4&1000002&80,1008&4&1000002&40
1004,4,4&1000001&30000,1012&4&1000001&20000,4&7000005&1,1017&4&1000098&20,4&99103&10,1023&4&99103&5
1005,5,4&1000098&30,1042&4&1000098&10,4&1000002&80,1011&4&1000002&40,4&7000007&1,1031&4&1000002&80
1006,6,4&4600001&5,1019&4&4600001&3,4&4100004&3,1024&4&4100004&1,4&1000001&30000,1012&4&1000001&20000
1007,7,4&7000005&1,1017&4&1000098&20,4&7000007&1,1044&4&1000002&80,4&1000098&30,1042&4&1000098&10
1008,8,4&1000002&80,1011&4&1000002&40,4&1000001&30000,1018&4&1000001&20000,4&4600001&5,1019&4&4600001&3
1009,9,4&4100004&3,1024&4&4100004&1,4&1000098&30,1020&4&1000098&10,4&7000005&1,1017&4&1000098&20
1010,10,4&7000007&1,1013&4&1000002&80,4&4600002&3,1028&4&4600002&1,4&1000002&80,1011&4&1000002&40
1011,11,4&1000001&30000,1018&4&1000001&20000,4&7000005&1,1039&4&1000098&20,4&4100004&3,1024&4&4100004&1
1012,12,4&1000098&30,1020&4&1000098&10,4&1000002&80,1014&4&1000002&40,4&7000007&1,1013&4&1000002&80
1013,13,4&4600002&3,1028&4&4600002&1,4&99203&5,1025&4&99203&2,4&1000001&30000,1018&4&1000001&20000
1014,14,4&7000005&1,1039&4&1000098&20,4&7000007&1,1021&4&1000002&80,4&1000098&30,1020&4&1000098&10
1015,15,4&1000002&80,1001&4&1000002&40,4&1000001&30000,1001&4&1000001&20000,4&4600002&3,1028&4&4600002&1
1016,16,4&99203&5,1003&4&99203&2,4&1000098&30,1038&4&1000098&10,4&7000005&1,1039&4&1000098&20
1017,17,4&7000007&1,1009&4&1000002&80,4&4600003&1,1030&4&4600002&1,4&1000002&80,1014&4&1000002&40
1018,18,4&1000001&30000,1004&4&1000001&20000,4&7000005&1,1015&4&1000098&20,4&99203&5,1025&4&99203&2
1019,19,4&1000098&30,1038&4&1000098&10,4&1000002&80,1036&4&1000002&40,4&7000007&1,1021&4&1000002&80
1020,20,4&4600003&1,1030&4&4600002&1,4&4100004&3,1035&4&4100004&1,4&1000001&30000,1001&4&1000001&20000
1021,21,4&7000005&1,1015&4&1000098&20,4&7000007&1,1010&4&1000002&80,4&1000098&30,1038&4&1000098&10
1022,22,4&1000002&80,1001&4&1000002&40,4&1000001&30000,1003&4&1000001&20000,4&4600003&1,1030&4&4600002&1
1023,23,4&4100004&3,1003&4&4100004&1,4&1000098&30,1022&4&1000098&10,4&7000005&1,1015&4&1000098&20
1024,24,4&7000007&1,1021&4&1000002&80,4&4200005&2,1009&4&4200005&1,4&1000002&80,1036&4&1000002&40
1025,25,4&1000001&30000,1005&4&1000001&20000,4&7000005&1,1007&4&1000098&20,4&4100004&3,1002&4&4100004&1
1026,26,4&1000098&30,1006&4&1000098&10,4&1000002&80,1050&4&1000002&40,4&7000007&1,1004&4&1000002&80
1027,27,4&4200005&2,1016&4&4200005&1,4&99103&10,1022&4&99103&5,4&1000001&30000,1005&4&1000001&20000
1028,28,4&7000005&1,1007&4&1000098&20,4&7000007&1,1009&4&1000002&80,4&1000098&30,1006&4&1000098&10
1029,29,4&1000002&80,1008&4&1000002&40,4&1000001&30000,1005&4&1000001&20000,4&4200005&2,1016&4&4200005&1
1030,30,4&99103&10,1023&4&99103&5,4&1000098&30,1006&4&1000098&10,4&7000005&1,1007&4&1000098&20
1031,31,4&7000007&1,1031&4&1000002&80,4&4200005&2,1016&4&4200005&1,4&1000002&80,1011&4&1000002&40
