ID,次数,周期1奖励,周期2奖励,周期3奖励,周期4奖励,周期5奖励
id,Frequency,CycleItem1,CycleItem2,CycleItem3,CycleItem4,CycleItem5
number,number,array_&,array_&,array_&,array_&,array_&
1,10,4&1000002&100,4&1000002&100,4&1000002&100,4&1000002&100,4&1000002&100
2,20,4&7000007&2,4&7000007&2,4&7000007&2,4&7000007&2,4&7000007&2
3,30,4&7000005&5,4&7000005&5,4&7000005&5,4&7000005&5,4&7000005&5
4,40,4&3000000&4,4&3000000&4,4&3000000&4,4&3000000&4,4&3000000&4
5,50,4&7000007&5,4&7000007&5,4&7000007&5,4&7000007&5,4&7000007&5
6,60,4&99904&1,4&99904&1,4&99904&1,4&99904&1,4&99904&1
7,70,4&3000000&8,4&3000000&8,4&3000000&8,4&3000000&8,4&3000000&8
8,80,4&7000007&3,4&7000007&3,4&7000007&3,4&7000007&3,4&7000007&3
9,90,4&3000000&12,4&3000000&12,4&3000000&12,4&3000000&12,4&3000000&12
10,100,4&8999996&1,4&8999996&1,4&8999996&1,4&8999996&1,4&8999996&1
