ID,圈数,道具
id,Turns,PieceItem
number,number,array_&
1,1,4&1000002&100
2,2,4&4200003&5
3,3,4&1000001&10000
4,4,4&1000098&15
5,5,4&7000007&2
6,6,4&4100003&5
7,7,4&4306001&5
8,8,4&99903&1
9,9,4&8999998&1
10,10,4&3000024&10
11,11,4&1000002&100
12,12,4&4200003&5
13,13,4&1000001&10000
14,14,4&1000098&15
15,15,4&7000007&2
16,16,4&4100003&5
17,17,4&4306001&5
18,18,4&99903&1
19,19,4&8999998&1
20,20,4&3000024&10
21,21,4&1000002&100
22,22,4&4200003&5
23,23,4&1000001&10000
24,24,4&1000098&15
25,25,4&7000007&2
26,26,4&4100003&5
27,27,4&4306001&5
28,28,4&99903&1
29,29,4&8999998&1
30,30,4&3000024&10
31,31,4&1000002&100
32,32,4&4200003&5
33,33,4&1000001&10000
34,34,4&1000098&15
35,35,4&7000007&2
36,36,4&4100003&5
37,37,4&4306001&5
38,38,4&99903&1
39,39,4&8999998&1
40,40,4&3000024&15
41,41,4&1000002&100
42,42,4&4200003&5
43,43,4&1000001&10000
44,44,4&1000098&15
45,45,4&7000007&2
46,46,4&4100003&5
47,47,4&4306001&5
48,48,4&99903&1
49,49,4&8999998&1
50,50,4&3000024&15
51,51,4&1000002&100
52,52,4&4200003&5
53,53,4&1000001&10000
54,54,4&1000098&15
55,55,4&7000007&2
56,56,4&4100003&5
57,57,4&4306001&5
58,58,4&99903&1
59,59,4&8999998&1
60,60,4&3000024&30
61,61,4&1000002&100
62,62,4&4200003&5
63,63,4&1000001&10000
64,64,4&1000098&15
65,65,4&7000007&2
66,66,4&4100003&5
67,67,4&4306001&5
68,68,4&99903&1
69,69,4&8999998&1
70,70,4&99904&1
71,71,4&1000002&100
72,72,4&4200003&5
73,73,4&1000001&10000
74,74,4&1000098&15
75,75,4&7000007&2
76,76,4&4100003&5
77,77,4&4306001&5
78,78,4&99903&1
79,79,4&8999998&1
80,80,4&10240002&1
81,81,4&4600004&2
82,82,4&1000002&100
83,83,4&4306001&2
84,84,4&4600004&2
85,85,4&1000002&100
86,86,4&4306001&2
87,87,4&4600004&2
88,88,4&1000002&100
89,89,4&4306001&2
90,90,4&4600004&2
91,91,4&1000002&100
92,92,4&4306001&2
93,93,4&4600004&2
94,94,4&1000002&100
95,95,4&4306001&2
96,96,4&4600004&2
97,97,4&1000002&100
98,98,4&4306001&2
99,99,4&4600004&2
100,100,4&1000002&100
101,101,4&4306001&2
102,102,4&4600004&2
103,103,4&1000002&100
104,104,4&4306001&2
105,105,4&4600004&2
106,106,4&1000002&100
107,107,4&4306001&2
108,108,4&4600004&2
109,109,4&1000002&100
110,110,4&4306001&2
111,111,4&4600004&2
112,112,4&1000002&100
113,113,4&4306001&2
114,114,4&4600004&2
115,115,4&1000002&100
116,116,4&4306001&2
117,117,4&4600004&2
118,118,4&1000002&100
119,119,4&4306001&2
120,120,4&1000002&100
