id,中配,日配
id,ch,jp
number,string,string
1,event:/GameEffect/WitchSound/1030-IntimacyAward-level8,event:/GameEffect/WitchSound/JP/1030-IntimacyAward-level8_JP
2,event:/FightEffect/BossFight/Beholder/attack01-001,event:/FightEffect/BossFight/Beholder/attack01-001
3,event:/FightEffect/BossFight/Beholder/attack01-002,event:/FightEffect/BossFight/Beholder/attack01-002
4,event:/FightEffect/BossFight/Beholder/attack01-003,event:/FightEffect/BossFight/Beholder/attack01-003
5,event:/FightEffect/BossFight/Beholder/change_model-002,event:/FightEffect/BossFight/Beholder/change_model-002
6,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_6,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_6_JP
7,event:/FightEffect/BossFight/Beholder/entrance,event:/FightEffect/BossFight/Beholder/entrance
8,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_1,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_1_JP
9,event:/FightEffect/BossFight/Beholder/change_model-001,event:/FightEffect/BossFight/Beholder/change_model-001
10,event:/FightEffect/BossFight/Beholder/skill01-001,event:/FightEffect/BossFight/Beholder/skill01-001
11,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_4,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_4_JP
12,event:/FightEffect/BossFight/Beholder/skill01-002,event:/FightEffect/BossFight/Beholder/skill01-002
13,event:/FightEffect/BossFight/Beholder/skill01-003,event:/FightEffect/BossFight/Beholder/skill01-003
14,event:/FightEffect/BossFight/Beholder/skill02-001,event:/FightEffect/BossFight/Beholder/skill02-001
15,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_5,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_5_JP
16,event:/FightEffect/BossFight/Beholder/skill02-003,event:/FightEffect/BossFight/Beholder/skill02-003
17,event:/FightEffect/BossFight/Beholder/skill02-003,event:/FightEffect/BossFight/Beholder/skill02-003
18,event:/FightEffect/BossFight/Beholder/skill02-004,event:/FightEffect/BossFight/Beholder/skill02-004
19,event:/FightEffect/BossFight/Beholder/skill02-005,event:/FightEffect/BossFight/Beholder/skill02-005
20,event:/FightEffect/BossFight/Caiaphas/Caiaphas-attack,event:/FightEffect/BossFight/Caiaphas/Caiaphas-attack
21,event:/FightEffect/BossFight/Caiaphas/Caiaphas-death,event:/FightEffect/BossFight/Caiaphas/Caiaphas-death_JP
22,event:/FightEffect/BossFight/Caiaphas/Caiaphas-entrance,event:/FightEffect/BossFight/Caiaphas/Caiaphas-entrance_JP
23,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill01,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill01
24,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill-vo-1,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill-vo-1_JP
25,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill02,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill02
26,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill03,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill03_JP
27,event:/FightEffect/BossFight/Caiaphas/spear-whoosh-sharp,event:/FightEffect/BossFight/Caiaphas/spear-whoosh-sharp
28,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill-vo-3,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill-vo-3_JP
29,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill04,event:/FightEffect/BossFight/Caiaphas/Caiaphas-skill04
30,event:/FightEffect/BossFight/Levi/Levi-preroll,event:/FightEffect/BossFight/Levi/Levi-preroll
31,event:/FightEffect/BossFight/Levi/Levi-shield-whoosh,event:/FightEffect/BossFight/Levi/Levi-shield-whoosh
32,event:/FightEffect/BossFight/Levi/Levi-preroll,event:/FightEffect/BossFight/Levi/Levi-preroll
33,event:/FightEffect/BossFight/Levi/Levi-spear-stab,event:/FightEffect/BossFight/Levi/Levi-spear-stab
34,event:/FightEffect/BossFight/Levi/Levi-preroll,event:/FightEffect/BossFight/Levi/Levi-preroll
35,event:/FightEffect/BossFight/Levi/Levi-shield-whoosh,event:/FightEffect/BossFight/Levi/Levi-shield-whoosh
36,event:/FightEffect/BossFight/Levi/Levi_6,event:/FightEffect/BossFight/Levi/Levi_6_JP
37,event:/FightEffect/BossFight/Levi/Levi-entrance,event:/FightEffect/BossFight/Levi/Levi-entrance
38,event:/FightEffect/BossFight/Levi/Levi_7,event:/FightEffect/BossFight/Levi/Levi_7_JP
39,event:/FightEffect/BossFight/Levi/Levi_2,event:/FightEffect/BossFight/Levi/Levi_2_JP
40,event:/FightEffect/BossFight/Levi/Levi-preroll,event:/FightEffect/BossFight/Levi/Levi-preroll
41,event:/FightEffect/BossFight/Levi/Levi-spear-stab,event:/FightEffect/BossFight/Levi/Levi-spear-stab
42,event:/FightEffect/BossFight/Levi/Levi-preroll,event:/FightEffect/BossFight/Levi/Levi-preroll
43,event:/FightEffect/BossFight/Levi/Levi_3,event:/FightEffect/BossFight/Levi/Levi_3_JP
44,event:/FightEffect/BossFight/Levi/Levi-shield-impact,event:/FightEffect/BossFight/Levi/Levi-shield-impact
45,event:/FightEffect/BossFight/Levi/Levi-shield-whoosh,event:/FightEffect/BossFight/Levi/Levi-shield-whoosh
46,event:/FightEffect/BossFight/Levi/Levi-wing-preroll,event:/FightEffect/BossFight/Levi/Levi-wing-preroll
47,event:/FightEffect/BossFight/Levi/Levi_2,event:/FightEffect/BossFight/Levi/Levi_2_JP
48,event:/FightEffect/BossFight/Levi/Levi-preroll,event:/FightEffect/BossFight/Levi/Levi-preroll
49,event:/FightEffect/BossFight/Levi/Levi_4,event:/FightEffect/BossFight/Levi/Levi_4_JP
50,event:/FightEffect/BossFight/Levi/Levi-wing-cast-1,event:/FightEffect/BossFight/Levi/Levi-wing-cast-1
51,event:/FightEffect/BossFight/Levi/Levi-wing-preroll,event:/FightEffect/BossFight/Levi/Levi-wing-preroll
52,event:/FightEffect/BossFight/Levi/Levi_5,event:/FightEffect/BossFight/Levi/Levi_5_JP
53,event:/FightEffect/BossFight/Levi/Levi-wing-cast-1,event:/FightEffect/BossFight/Levi/Levi-wing-cast-1
54,event:/FightEffect/BossFight/Levi/Levi-wing-preroll,event:/FightEffect/BossFight/Levi/Levi-wing-preroll
55,event:/FightEffect/BossFight/Levi/Levi-wing-cast-1,event:/FightEffect/BossFight/Levi/Levi-wing-cast-1
56,event:/FightEffect/BossFight/Levi/Levi-behit,event:/FightEffect/BossFight/Levi/Levi-behit
57,event:/FightEffect/BossFight/Levi/Levi-shield-break,event:/FightEffect/BossFight/Levi/Levi-shield-break
58,event:/FightEffect/BossFight/Levi/Levi-wing-cast,event:/FightEffect/BossFight/Levi/Levi-wing-cast
59,event:/FightEffect/BossFight/Tiberius/Tiberius-attack-preroll,event:/FightEffect/BossFight/Tiberius/Tiberius-attack-preroll
60,event:/FightEffect/BossFight/Tiberius/Tiberius-attack-cast,event:/FightEffect/BossFight/Tiberius/Tiberius-attack-cast
61,event:/FightEffect/BossFight/Tiberius/Tiberius-attack-postroll,event:/FightEffect/BossFight/Tiberius/Tiberius-attack-postroll
62,event:/FightEffect/BossFight/Tiberius/Tiberius-death,event:/FightEffect/BossFight/Tiberius/Tiberius-death
63,event:/FightEffect/BossFight/Tiberius/Tiberius_4,event:/FightEffect/BossFight/Tiberius/Tiberius_4_JP
64,event:/FightEffect/BossFight/Tiberius/Tiberius-entrance,event:/FightEffect/BossFight/Tiberius/Tiberius-entrance
65,event:/FightEffect/BossFight/Tiberius/Tiberius-skill01-preroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill01-preroll
66,event:/FightEffect/BossFight/Tiberius/Tiberius_2,event:/FightEffect/BossFight/Tiberius/Tiberius_2_JP
67,event:/FightEffect/BossFight/Tiberius/Tiberius-skill01-hit,event:/FightEffect/BossFight/Tiberius/Tiberius-skill01-hit
68,event:/FightEffect/BossFight/Tiberius/Tiberius-skill02-preroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill02-preroll
69,event:/FightEffect/BossFight/Tiberius/Tiberius_2,event:/FightEffect/BossFight/Tiberius/Tiberius_2_JP
70,event:/FightEffect/BossFight/Tiberius/Tiberius-skill02-cast,event:/FightEffect/BossFight/Tiberius/Tiberius-skill02-cast
71,event:/FightEffect/BossFight/Tiberius/Tiberius-skill02-postroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill02-postroll
72,event:/FightEffect/BossFight/Tiberius/Tiberius-skill03-preroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill03-preroll
73,event:/FightEffect/BossFight/Tiberius/Tiberius_3,event:/FightEffect/BossFight/Tiberius/Tiberius_3_JP
74,event:/FightEffect/BossFight/Tiberius/Tiberius-skill03-cast,event:/FightEffect/BossFight/Tiberius/Tiberius-skill03-cast
75,event:/FightEffect/BossFight/Tiberius/Tiberius-skill03-postroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill03-postroll
76,event:/FightEffect/BossFight/Tiberius/Tiberius-skill04-preroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill04-preroll
77,event:/FightEffect/BossFight/Tiberius/Tiberius_1,event:/FightEffect/BossFight/Tiberius/Tiberius_1_JP
78,event:/FightEffect/BossFight/Tiberius/Tiberius-skill04-cast,event:/FightEffect/BossFight/Tiberius/Tiberius-skill04-cast
79,event:/FightEffect/BossFight/Tiberius/Tiberius-skill04-postroll,event:/FightEffect/BossFight/Tiberius/Tiberius-skill04-postroll
80,event:/FightEffect/BossFight/Heinrich/Heinrich_3,event:/FightEffect/BossFight/Heinrich/Heinrich_3_JP
81,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-10.167,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-10.167
82,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-10.937,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-10.937
83,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-13.579,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-13.579
84,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-14.097,event:/FightEffect/BossFight/Heinrich/haiyinlixi_attack01_0-14.097
85,event:/FightEffect/BossFight/Heinrich/Heinrich_4,event:/FightEffect/BossFight/Heinrich/Heinrich_4_JP
86,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-40.042,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-40.042
87,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-40.518,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-40.518
88,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-41.043,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-41.043
89,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-41.791,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-41.791
90,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-42.673,event:/FightEffect/BossFight/Heinrich/haiyinlixi_change_model_0-42.673
91,event:/FightEffect/BossFight/Heinrich/haiyinlixi_enter,event:/FightEffect/BossFight/Heinrich/haiyinlixi_enter
92,event:/FightEffect/BossFight/Heinrich/Heinrich_2,event:/FightEffect/BossFight/Heinrich/Heinrich_2_JP
93,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-20.077,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-20.077
94,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-20.216,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-20.216
95,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-20.555,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-20.555
96,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-21.898,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill01_0-21.898
97,event:/FightEffect/BossFight/Heinrich/Heinrich_1,event:/FightEffect/BossFight/Heinrich/Heinrich_1_JP
98,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-30.223,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-30.223
99,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-30.526,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-30.526
100,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-30.832,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-30.832
101,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-31.155,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-31.155
102,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-33.478,event:/FightEffect/BossFight/Heinrich/haiyinlixi_skill02_0-33.478
103,event:/FightEffect/BossFight/Heinrich/Heinrich_Mutate_3,event:/FightEffect/BossFight/Heinrich/Heinrich_Mutate_3_JP
