id,词缀名,词缀英文名,词缀图标,词缀类型,词缀属性类型,词缀属性等级,是否替换弹幕,效果ID,词缀属性参数,辅助参数,生效副本,解锁类型,解锁参数,词条描述
id,AttrName,AttrNameEn,AttrIcon,AttrType,AttrType2,AttrLv,isChange,effect_id,AttrValue,param,BelongLevel,UnlockType,UnlockValue,AttrDes
number,number,string,string,number,number,array_|,int,int_array_|,array_|,number,number,number,number,number
10101,10531104,HARZI,source_icon/yitai/img_yitai_6,1,4,1|2|3|4,0,400013|400014|400015|400016,20|40|60|80,0,370001,0,0,10531504
10102,10531106,OBECHE,source_icon/yitai/img_yitai_22,1,24,1|2|4|5,0,400021|400022|400023|4000231,20|50|80|100,0,370001,0,0,10531506
10103,10531102,BEDI,source_icon/yitai/img_yitai_2,1,2,1|2|3|4,0,400005|400006|400007|400008,60|100|150|300,0,370001,0,0,10531502
10104,10531101,OBECHE,source_icon/yitai/img_yitai_1,1,1,1|2|3|4,0,400001|400002|400003|400004,15|50|100|150,0,370001,1,0,10531501
10105,10531103,FOSENI,source_icon/yitai/img_yitai_3,1,3,1|2|3|4,0,400009|400010|400011|400012,15|50|100|150,0,370001,1,0,10531503
10106,10531107,BEDI,source_icon/yitai/img_yitai_7,1,7,1|2|3|5,0,400024|400025|400026|400027,15|20|25|30,0,370001,1,0,10531507
10107,10531109,HARZI,source_icon/yitai/img_yitai_9,1,9,1|2|3|4,0,400032|400033|400034|4000341,30|60|100|200,0,370001,1,0,10531509
10108,10531112,BEDI,source_icon/yitai/img_yitai_21,1,12,6,0,400039|0,2,0,370001,2,25,10531512
10109,10531105,OMIRI,source_icon/yitai/img_yitai_5,1,5,1|2|4|5,0,400017|400018|400019|400020,5|10|15|20,0,370001,2,25,10531505
10201,10531104,HARZI,source_icon/yitai/img_yitai_6,1,4,1|2|3|4,0,400013|400014|400015|400016,20|40|60|80,0,370002,0,0,10531504
10202,10531106,OBECHE,source_icon/yitai/img_yitai_22,1,24,1|2|4|5,0,400021|400022|400023|4000231,20|50|80|100,0,370002,0,0,10531506
10203,10531102,BEDI,source_icon/yitai/img_yitai_2,1,2,1|2|3|4,0,400005|400006|400007|400008,60|100|150|300,0,370002,0,0,10531502
10204,10531101,OBECHE,source_icon/yitai/img_yitai_1,1,1,1|2|3|4,0,400001|400002|400003|400004,15|50|100|150,0,370002,1,0,10531501
10205,10531103,FOSENI,source_icon/yitai/img_yitai_3,1,3,1|2|3|4,0,400009|400010|400011|400012,15|50|100|150,0,370002,1,0,10531503
10206,10531107,BEDI,source_icon/yitai/img_yitai_7,1,7,1|2|3|5,0,400024|400025|400026|400027,15|20|25|30,0,370002,1,0,10531507
10207,10531109,HARZI,source_icon/yitai/img_yitai_9,1,9,1|2|3|4,0,400032|400033|400034|4000341,30|60|100|200,0,370002,1,0,10531509
10208,10531115,HARZI,source_icon/yitai/img_yitai_12,1,15,1|3|5,0,400139|400140|400141,0.5|1|1.5,0,370002,2,25,10531515
10209,10531105,OMIRI,source_icon/yitai/img_yitai_5,1,5,1|2|4|5,0,400017|400018|400019|400020,5|10|15|20,0,370002,2,25,10531505
20101,10531301,OMIRI,source_icon/yitai/img_yitai_23,2,8,1,0,400050|0,20,0,370001,0,0,10531701
20102,10531302,OBECHE,source_icon/yitai/img_yitai_19,2,7,2,0,400051|0,25,0,370001,0,0,10531702
20103,10531303,BEDI,source_icon/yitai/img_yitai_18,2,17,1,0,400052|0,10,0,370001,0,0,10531703
20201,10531304,FOSENI,source_icon/yitai/img_yitai_13,2,18,2,0,400150|0,900001,0,370002,0,0,10531704
20202,10531305,HARZI,source_icon/yitai/img_yitai_9,2,19,2,0,400151|0,20,0,370002,0,0,10531705
20203,10531306,OMIRI,source_icon/yitai/img_yitai_4,2,20,2,0,400152|0,20,0,370002,0,0,10531706
30102,10531811,OMIRI,source_icon/yitai/img_yitai_14,0,23,1,0,400090|0,900002,0,370001,0,0,10531812
30106,10531805,OMIRI,source_icon/yitai/img_yitai_14,0,23,1,0,400155|0,900002,0,370002,0,0,10531806
