id,天赋点,等级升级所需,构筑类型ID,ICON,枪械类型所属,位置,天赋点开放等级
id,buildPoint,lvUp,skill,icon,buildType,pos,UnlockLv
number,array_&,array_&,number,string,number,string,array_&
1,1101&1102&1103&1104&1105&1106&1107&1108,1&1&1&1,1,icon_gouzhu_1,1,1.0,15&20&25&30&35&40&45&50
2,1101&1102&1103&1104&1105&1106&1207&1208,1&1&1&1,2,icon_gouzhu_2,1,2.0,15&20&25&30&35&40&45&50
3,1101&1102&1103&1104&1105&1106&1307&1308,1&1&1&1,3,icon_gouzhu_3,1,3.0,15&20&25&30&35&40&45&50
4,1101&1102&1103&1104&1105&1106&1407&1408,1&1&1&1,4,icon_gouzhu_8,1,4.0,15&20&25&30&35&40&45&50
5,1101&1102&1103&1104&1105&1106&1507&1508,1&1&1&1,8,icon_gouzhu_9,1,5.0,15&20&25&30&35&40&45&50
6,1101&1102&1103&1104&1105&1106&1607&1608,1&1&1&1,9,icon_gouzhu_4,1,6.0,15&20&25&30&35&40&45&50
7,1101&1102&1103&1104&1105&1106&1707&1708,1&1&1&1,10,icon_gouzhu_11,1,7.0,15&20&25&30&35&40&45&50
8,2101&2102&2103&2104&2105&2106&2107&2108,1&1&1&1,1,icon_gouzhu_1,2,1.0,15&20&25&30&35&40&45&50
9,2101&2102&2103&2104&2105&2106&2207&2208,1&1&1&1,2,icon_gouzhu_2,2,2.0,15&20&25&30&35&40&45&50
10,2101&2102&2103&2104&2105&2106&2307&2308,1&1&1&1,3,icon_gouzhu_3,2,3.0,15&20&25&30&35&40&45&50
11,2101&2102&2103&2104&2105&2106&2407&2408,1&1&1&1,4,icon_gouzhu_8,2,4.0,15&20&25&30&35&40&45&50
12,2101&2102&2103&2104&2105&2106&2507&2508,1&1&1&1,9,icon_gouzhu_4,2,5.0,15&20&25&30&35&40&45&50
13,2101&2102&2103&2104&2105&2106&2607&2608,1&1&1&1,10,icon_gouzhu_11,2,6.0,15&20&25&30&35&40&45&50
14,3101&3102&3103&3104&3105&3106&3107&3108,1,13,icon_gouzhu_5,2,1.0,15&20&25&30&35&40&45&50
15,3101&3102&3103&3104&3105&3106&3207&3208,1&1&1&1,1,icon_gouzhu_1,3,2.0,15&20&25&30&35&40&45&50
16,3101&3102&3103&3104&3105&3106&3307&3308,1&1&1&1,2,icon_gouzhu_3,3,3.0,15&20&25&30&35&40&45&50
17,3101&3102&3103&3104&3105&3106&3407&3408,1&1&1&1,4,icon_gouzhu_8,3,4.0,15&20&25&30&35&40&45&50
18,4101&4102&4103&4104&4105&4106&4107&4108,1&1&1&1,11,icon_gouzhu_10,3,1.0,15&20&25&30&35&40&45&50
19,4101&4102&4103&4104&4105&4106&4207&4208,1,14,icon_gouzhu_12,3,2.0,15&20&25&30&35&40&45&50
20,4101&4102&4103&4104&4105&4106&4307&4308,1&1&1&1,1,icon_gouzhu_1,4,3.0,15&20&25&30&35&40&45&50
21,4101&4102&4103&4104&4105&4106&4407&4408,1&1&1&1,3,icon_gouzhu_3,4,4.0,15&20&25&30&35&40&45&50
22,4101&4102&4103&4104&4105&4106&4507&4508,1&1&1&1,4,icon_gouzhu_8,4,5.0,15&20&25&30&35&40&45&50
23,5101&5102&5103&5104&5105&5106&5107&5108,1&1,6,icon_gouzhu_7,4,1.0,15&20&25&30&35&40&45&50
24,5101&5102&5103&5104&5105&5106&5207&5208,1&1&1&1,8,icon_gouzhu_9,4,2.0,15&20&25&30&35&40&45&50
25,5101&5102&5103&5104&5105&5106&5307&5308,1&1,1,icon_gouzhu_1,5,3.0,15&20&25&30&35&40&45&50
26,5101&5102&5103&5104&5105&5106&5407&5408,1&1&1&1,2,icon_gouzhu_2,5,4.0,15&20&25&30&35&40&45&50
27,5101&5102&5103&5104&5105&5106&5507&5508,1&1&1&1,4,icon_gouzhu_8,5,5.0,15&20&25&30&35&40&45&50
28,5101&5102&5103&5104&5105&5106&5607&5608,1&1&1&1,5,icon_gouzhu_6,5,6.0,15&20&25&30&35&40&45&50
29,5101&5102&5103&5104&5105&5106&5707&5708,1&1,7,icon_gouzhu_1,5,7.0,15&20&25&30&35&40&45&50
30,5101&5102&5103&5104&5105&5106&5807&5808,1&1&1&1,15,icon_gouzhu_9,5,8.0,15&20&25&30&35&40&45&50
31,6101&6102&6103&6104&6105&6106&6107&6108,1&1&1&1,1,icon_gouzhu_1,6,1.0,15&20&25&30&35&40&45&50
32,6101&6102&6103&6104&6105&6106&6207&6208,1&1&1&1,2,icon_gouzhu_2,6,2.0,15&20&25&30&35&40&45&50
33,6101&6102&6103&6104&6105&6106&6307&6308,1&1&1&1,3,icon_gouzhu_3,6,3.0,15&20&25&30&35&40&45&50
34,6101&6102&6103&6104&6105&6106&6407&6408,1&1&1&1,4,icon_gouzhu_8,6,4.0,15&20&25&30&35&40&45&50
35,6101&6102&6103&6104&6105&6106&6507&6508,1&1&1&1,8,icon_gouzhu_9,6,5.0,15&20&25&30&35&40&45&50
