id,构筑点图标,构筑点名称,构筑点描述
id,icon,name,des
number,string,number,number
1,icon_gouzhu_1,10570001,20570001
2,icon_gouzhu_2,10570002,20570002
3,icon_gouzhu_3,10570003,20570003
4,icon_gouzhu_4,10570004,20570004
5,icon_gouzhu_5,10570005,20570005
6,icon_gouzhu_5,10570006,20570006
7,icon_gouzhu_7,10570007,20570007
8,icon_gouzhu_8,10570008,20570008
9,icon_gouzhu_9,10570009,20570009
10,icon_gouzhu_10,10570010,20570010
11,icon_gouzhu_11,10570011,20570011
12,icon_gouzhu_12,10570012,20570012
13,icon_gouzhu_13,10570013,20570013
14,icon_gouzhu_17,10570014,20570014
15,icon_gouzhu_14,10570015,20570015
16,icon_gouzhu_18,10570016,20570016
17,icon_gouzhu_16,10570017,20570017
18,icon_gouzhu_15,10570018,20570018
