ID,魔弹/步枪/直线,吸血,构筑等级,无,无,无,无,吸血百分比,吸血固定值,结算时间,比例上限,无,伤害系数增幅
id,attacktype,buildtype,buildlevel,int_param1,int_param2,int_param3,int_param4,float_param1,float_param2,float_param3,float_param4,float_param5,dps_add
int,int,int,int,int_array_|,int_array_|,int_array_|,int_array_|,array_|,array_|,array_|,array_|,array_|,array_|
1,1,1,4,0|10010121|10010122|10010123|10010124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
2,1,1,4,0|10090121|10090122|10090123|10090124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
3,1,1,4,0|10390121|10390122|10390123|10390124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
4,1,1,4,0|10020121|10020122|10020123|10020124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
5,1,1,4,0|10120121|10120122|10120123|10120124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
6,1,1,4,0|10360121|10360122|10360123|10360124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
77,1,1,4,0|10500121|10500122|10500123|10500124,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
7,2,1,4,0|10050121|10050122|10050123|10050124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
8,2,1,4,0|10380121|10380122|10380123|10380124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
9,2,1,4,0|10180121|10180122|10180123|10180124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
10,2,1,4,0|10210121|10210122|10210123|10210124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
11,2,1,4,0|10170121|10170122|10170123|10170124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
12,2,1,4,0|10220121|10220122|10220123|10220124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
18,4,1,4,0|10160121|10160122|10160123|10160124,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
19,4,1,4,0|10040121|10040122|10040123|10040124,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
20,4,1,4,0|10230121|10230122|10230123|10230124,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
21,4,1,4,0|10350121|10350122|10350123|10350124,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
22,4,1,4,0|10070121|10070122|10070123|10070124,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
23,4,1,4,0|10140121|10140122|10140123|10140124,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
1026,4,1,4,0|1026011|1026012|1026013|1026014,-1,-1,-1,0|0.7|0.78|0.87|1,-1,-1,-1,-1,-1
24,5,1,2,0|10420121|10420122,-1,-1,-1,0|0.25|0.33,-1,-1,-1,-1,-1
25,5,1,2,0|10240121|10240122,-1,-1,-1,0|0.25|0.33,-1,-1,-1,-1,-1
26,5,1,2,0|10190121|10190122,-1,-1,-1,0|0.25|0.33,-1,-1,-1,-1,-1
27,5,1,2,0|10200121|10200122,-1,-1,-1,0|0.25|0.33,-1,-1,-1,-1,-1
28,5,1,2,0|10250121|10250122,-1,-1,-1,0|0.25|0.33,-1,-1,-1,-1,-1
29,6,1,4,0|10060121|10060122|10060123|10060124,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
30,6,1,4,0|10110121|10110122|10110123|10110124,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
31,2,1,4,0|10030121|10030122|10030123|10030124,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
32,6,1,4,0|10300121|10300122|10300123|10300124,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
33,6,1,4,0|10280121|10280122|10280123|10280124,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
34,6,1,4,0|10130121|10130122|10130123|10130124,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
100102,1,1,4,0|10010221|10010222|10010223|10010224,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
100902,1,1,4,0|10090221|10090222|10090223|10090224,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
102102,2,1,4,0|10210221|10210222|10210223|10210224,-1,-1,-1,0|0.5|0.6|0.7|0.8,-1,-1,-1,-1,-1
35,1,2,4,-1,-1,-1,-1,0|0.1|0.2|0.3|0.4,0|0.13|0.25|0.4|0.64,-1,-1,-1,-1
36,2,2,4,-1,-1,-1,-1,0|0.1|0.2|0.3|0.4,0|0.14|0.27|0.4|0.67,-1,-1,-1,-1
37,3,2,4,-1,-1,-1,-1,0,-1,7.5|6.67|6|5.45|5,-1,-1,-1
38,4,2,4,-1,-1,-1,-1,0,0|0.1|0.2|0.3|0.4,-1,-1,-1,-1
39,5,2,4,-1,-1,-1,-1,0|0.1|0.2|0.3|0.4,0,-1,-1,-1,0|0.1|0.166|0.324|0.475
