ID,是否构筑弹,Lv1,Lv2,Lv3,Lv4
id,IsBuild,Lv1,Lv2,Lv3,Lv4
int,int,int,int,int,int
1003011,0,1003011001,1003011002,1003011,1003011
10030121,1,100301211,100301212,10030121,10030121
10030122,1,100301221,100301222,10030122,10030122
10030123,1,100301231,100301232,10030123,10030123
10030124,1,100301241,100301242,10030124,10030124
1005011,0,1005011001,1005011002,1005011,1005011
10050121,1,100501211,100501212,10050121,10050121
10050122,1,100501221,100501222,10050122,10050122
10050123,1,100501231,100501232,10050123,10050123
10050124,1,100501241,100501242,10050124,10050124
1017011,0,1017011001,1017011002,1017011,1017011
10170121,1,101701211,101701212,10170121,10170121
10170122,1,101701221,101701222,10170122,10170122
10170123,1,101701231,101701232,10170123,10170123
10170124,1,101701241,101701242,10170124,10170124
1018011,0,1018011001,1018011002,1018011,1018011
10180121,1,101801211,101801212,10180121,10180121
10180122,1,101801221,101801222,10180122,10180122
10180123,1,101801231,101801232,10180123,10180123
10180124,1,101801241,101801242,10180124,10180124
1021011,0,1021011001,1021011002,1021011,1021011
10210121,1,102101211,102101212,10210121,10210121
10210122,1,102101221,102101222,10210122,10210122
10210123,1,102101231,102101232,10210123,10210123
10210124,1,102101241,102101242,10210124,10210124
1022011,0,1022011001,1022011002,1022011,1022011
10220121,1,102201211,102201212,10220121,10220121
10220122,1,102201221,102201222,10220122,10220122
10220123,1,102201231,102201232,10220123,10220123
10220124,1,102201241,102201242,10220124,10220124
1038011,0,1038011001,1038011002,1038011,1038011
10380121,1,103801211,103801211,10380121,10380121
10380122,1,103801221,103801221,10380122,10380122
10380123,1,103801231,103801231,10380123,10380123
10380124,1,103801241,103801241,10380124,10380124
