id,所属枪型,名称,构筑升级段,视频播放,变量参数,构筑描述ID,构筑类型id,图标,排列位置,受构筑点影响的id
id,buildType,name,levelGroup,videoNames,dotAddValue,des,skill,icon,pos,effectID
number,number,number,array_|,array_|,string,number,number,string,number,number
1,1,10560001,1|2|3|3,10001|10002|10003|10004|10005,2&36%|4&40%|6&44%|8&50%,20560001,1,icon_gouzhu_1,1,1
2,1,10560002,1|2|3|3,20001|20002|20003|20004|20005,13%&10%|25%&20%|40%&30%|64%&40%,20560002,2,icon_gouzhu_3,2,2
3,1,10560003,1|2|3|3,30001|30002|30003|30004|30005,10%&16%|20%&28%|40%&56%|80%&82%,20560003,4,icon_gouzhu_8,3,3
4,1,10560004,1|2|3|3,40001|40002|40003|40004|40005,0.5%&2.5&21%|0.5%&3&42%|0.5%&3.5&63%|0.5%&4&83%,20560004,8,icon_gouzhu_9,4,4
5,1,10560006,1|2|3|3,50001|50002|50003|50004|50005,1&45%|2&40%|3&35%|4&30%,20560006,10,icon_gouzhu_11,5,6
6,1,10560034,1|2|3|3,10001|10002|10003|10004|10005,1%|1.5%|2%|2.5%,20560034,19,yq_gouzhu_a,6,14
7,2,10560007,1|2|3|3,70001|70002|70003|70004|70005,2&50%|4&60%|6&70%|8&80%,20560007,1,icon_gouzhu_1,1,1
8,2,10560008,1|2|3|3,80001|80002|80003|80004|80005,14%&10%|27%&20%|40%&30%|67%&40%,20560008,2,icon_gouzhu_3,2,2
9,2,10560009,1|2|3|3,90001|90002|90003|90004|90005,10%&30%|20%&50%|40%&70%|80%&90%,20560009,4,icon_gouzhu_8,3,3
10,2,10560012,3,100001|100002,1&5%&30%,20560012,13,icon_gouzhu_5,4,7
11,2,10560021,3|3,110001|110002|110003,25%&30%|50%&50%,20560021,6,icon_gouzhu_7,5,10
12,2,10560035,1|2|3|3,10001|10002|10003|10004|10005,0.03&20%|0.04&30%|0.05&40%|0.06&50%,20560035,20,yq_gouzhu_a,6,15
13,3,10560013,1|2|3|3,130001|130002|130003|130004|130005,10&1&218%|10&2&268%|10&3&328%|10&4&400%,20560013,17,icon_gouzhu_1,1,1
14,3,10560014,1|2|3|3,140001|140002|140003|140004|140005,1|2|3|4,20560014,2,icon_gouzhu_3,2,2
15,3,10560015,1|2|3|3,150001|150002|150003|150004|150005,10%&10%|20%&20%|40%&30%|80%&40%,20560015,4,icon_gouzhu_8,3,3
16,3,10560016,1|2|3|3,160001|160002|160003|160004|160005,4&44%|6&72%|8&100%|10&140%,20560016,16,icon_gouzhu_10,4,8
17,3,10560017,2|3,170001|170002|170002,0.2&12%&300%&1.5|0.2&16%&400%&2,20560017,14,icon_gouzhu_12,5,9
18,3,10560036,1|2|3|3,10001|10002|10003|10004|10005,320%|480%|640%|800%,20560036,21,yq_gouzhu_a,6,16
19,4,10560018,1|2|3|3,190001|190002|190003|190004|190005,2&70%|4&78%|6&87%|8&100%,20560018,1,icon_gouzhu_1,1,1
20,4,10560019,1|2|3|3,200001|200002|200003|200004|200005,10%|27%|30%|40%,20560019,2,icon_gouzhu_3,2,2
21,4,10560020,1|2|3|3,210001|210002|210003|210004|210005,10%&30%|25%&55%|40%&80%|60%&110%,20560020,4,icon_gouzhu_8,3,3
22,4,10560022,1|2|3|3,220001|220002|220003|220004|220005,0.5%&2.5&25%|0.5%&3&50%|0.5%&3.5&75%|0.5%&4&100%,20560022,8,icon_gouzhu_9,4,4
23,4,10560033,3|5,230001|230002|230003,2|3,20560033,18,icon_gouzhu_7,5,13
24,4,10560037,1|2|3|3,10001|10002|10003|10004|10005,32&4%&10|32&5%&10|32&6%&10|32&8%&10,20560037,24,yq_gouzhu_a,6,17
25,5,10560023,3|5,250001|250002|250003,2&25%|5&33%,20560023,1,icon_gouzhu_1,1,1
26,5,10560024,1|2|3|3,260001|260002|260003|260004|260005,10%&10%|20%&16.6%|30%&32.4%|40%&47.5%,20560024,2,icon_gouzhu_2,2,2
27,5,10560025,1|2|3|3,270001|270002|270003|270004|270005,10%&23.4%|20%&37.8%|30%&73.8%|40%&108%,20560025,4,icon_gouzhu_8,3,3
28,5,10560026,1|2|3|3,280001|280002|280003|280004|280005,1.2%|1.5%|1.8%|2%,20560026,5,icon_gouzhu_6,4,11
29,5,10560027,3|5,290001|290002|290003,2&5%|4&10%,20560027,7,icon_gouzhu_1,5,12
30,5,10560028,1|2|3|3,300001|300002|300003|300004|300005,37.5%&3.75|70%&4.5|112.5%&5.25|150%&6,20560028,15,icon_gouzhu_9,6,4
31,6,10560029,1|2|3|3,310001|310002|310003|310004|310005,2&23%|4&25.3%|6&28.7%|8&32.2%,20560029,1,icon_gouzhu_1,1,1
32,6,10560030,1|2|3|3,320001|320002|320003|320004|320005,15%&10%|30%&20%|45%&30%|58%&40%,20560030,2,icon_gouzhu_3,2,2
33,6,10560031,1|2|3|3,330001|330002|330003|330004|330005,10%&15.6%|20%&25.2%|40%&49.2%|80%&72%,20560031,4,icon_gouzhu_8,3,3
34,6,10560032,1|2|3|3,340001|340002|340003|340004|340005,0.5%&2.5&16%|0.5%&3&31%|0.5%&3.5&47%|0.5%&4&63%,20560032,8,icon_gouzhu_9,4,4
35,6,10560038,1|2|3|3,10001|10002|10003|10004|10005,15&5&40%|13&5&50%|12&5&60%|11&5&70%,20560038,23,yq_gouzhu_a,5,18
