id,等级,所属枪型,消耗材料1,消耗材料2,消耗材料3,属性加成（战斗外）,属性加成（战斗内）,通用构筑点,切换技升级
id,level,buildType,cost1,cost2,cost3,pointOutFight,pointInFight,point,SkillLevel
number,number,number,array_&,array_&,array_&,array_&_|,number,number,array_&
101,1,1,4300001&5,4300002&5,4306001&10,1&64,0,1,1&600101
102,2,1,4300001&10,4300002&10,-1,2&17,0,0,-1
103,3,1,4300001&15,4300002&15,4306001&14,5&15,0,1,-1
104,4,1,4300001&20,4300002&20,-1,1&64,0,0,-1
105,5,1,4300001&25,4300002&25,4306001&18,2&17,0,1,-1
106,6,1,4300001&30,4300002&30,-1,5&15,0,0,-1
107,7,1,4300001&35,4300002&35,4306001&22,1&64,0,1,-1
108,8,1,4300001&40,4300002&40,-1,2&17,0,0,-1
109,9,1,4300001&45,4300002&45,4306001&26,5&15,0,1,-1
110,10,1,4300001&55,4300002&50,-1,1&64,0.017,0,-1
111,11,1,4300001&65,4300002&55,4306001&30,2&15,0,1,-1
112,12,1,4300001&75,4300002&60,-1,5&23,0,0,-1
113,13,1,4300001&85,4300002&65,4306001&34,1&127,0,1,-1
114,14,1,4300001&95,4300002&70,-1,2&15,0,0,-1
115,15,1,4300001&105,4300002&75,4306001&38,5&23,0,1,-1
116,16,1,4300001&115,4300002&80,-1,1&127,0,0,-1
117,17,1,4300001&125,4300002&85,4600004&21,2&15,0,0,2&600102
118,18,1,4300001&135,4300002&90,-1,5&23,0,0,-1
119,19,1,4300001&145,4300002&95,4306001&46,1&127,0,1,-1
120,20,1,4300001&160,4300002&100,-1,2&15|2&15,0.021,0,-1
121,21,1,4300001&175,4300002&105,-1,5&12|5&12,0,0,-1
122,22,1,4300001&190,4300002&110,-1,1&85|1&85,0,0,-1
123,23,1,4300001&205,4300002&115,4306001&54,2&17|2&17,0,1,-1
124,24,1,4300001&220,4300002&120,-1,5&12|5&12,0,0,-1
125,25,1,4300001&235,4300002&125,-1,1&85|1&85,0,0,-1
126,26,1,4300001&250,4300002&130,-1,2&17|2&17,0,0,-1
127,27,1,4300001&265,4300002&135,4306001&62,5&12|5&12,0,1,-1
128,28,1,4300001&280,4300002&140,-1,1&85|1&85,0,0,-1
129,29,1,4300001&295,4300002&145,-1,2&17|2&17,0,0,-1
130,30,1,4300001&315,4300002&150,-1,5&12|5&12,0.025,0,-1
131,31,1,4300001&335,4300002&155,4306001&70,1&80|1&80,0,1,-1
132,32,1,4300001&355,4300002&160,-1,2&21|2&21,0,0,-1
133,33,1,4300001&375,4300002&165,-1,5&19|5&19,0,0,-1
134,34,1,4300001&395,4300002&170,-1,1&80|1&80,0,0,-1
135,35,1,4300001&415,4300002&175,-1,2&21|2&21,0,0,-1
136,36,1,4300001&435,4300002&180,-1,5&19|5&19,0,0,-1
137,37,1,4300001&455,4300002&185,4600004&41,1&80|1&80,0,0,2&600103
138,38,1,4300001&475,4300002&190,-1,2&21|2&21,0,0,-1
139,39,1,4300001&495,4300002&195,-1,5&19|5&19,0,0,-1
140,40,1,4300001&520,4300002&200,-1,1&80|1&80,0.034,0,-1
141,41,1,4300001&545,4300002&205,-1,2&19|2&19,0,0,-1
142,42,1,4300001&570,4300002&210,-1,5&23|5&23,0,0,-1
143,43,1,4300001&595,4300002&215,-1,1&127|1&127,0,0,-1
144,44,1,4300001&620,4300002&220,-1,2&19|2&19,0,0,-1
145,45,1,4300001&645,4300002&225,-1,5&23|5&23,0,0,-1
146,46,1,4300001&670,4300002&230,-1,1&127|1&127,0,0,-1
147,47,1,4300001&695,4300002&235,-1,2&19|2&19,0,0,-1
148,48,1,4300001&720,4300002&240,-1,5&23|5&23,0,0,-1
149,49,1,4300001&745,4300002&245,-1,1&127|1&127,0,0,-1
150,50,1,4300001&775,4300002&250,-1,2&19|2&19,0.051,0,-1
151,51,1,4300001&805,4300002&255,-1,5&20|5&20,0,0,-1
152,52,1,4300001&835,4300002&260,-1,1&149|1&149,0,0,-1
153,53,1,4300001&865,4300002&265,-1,2&30|2&30,0,0,-1
154,54,1,4300001&895,4300002&270,-1,5&20|5&20,0,0,-1
155,55,1,4300001&925,4300002&275,-1,1&149|1&149,0,0,-1
156,56,1,4300001&955,4300002&280,-1,2&30|2&30,0,0,-1
157,57,1,4300001&985,4300002&285,4600004&61,5&20|5&20,0,0,2&600104
158,58,1,4300001&1015,4300002&290,-1,1&149|1&149,0,0,-1
159,59,1,4300001&1045,4300002&295,-1,2&30|2&30,0,0,-1
160,60,1,4300001&1080,4300002&300,-1,5&20|5&20,0.067,0,-1
161,61,1,4300001&1115,4300002&305,-1,1&127|1&127,0,0,-1
162,62,1,4300001&1150,4300002&310,-1,2&34|2&34,0,0,-1
163,63,1,4300001&1185,4300002&315,-1,5&31|5&31,0,0,-1
164,64,1,4300001&1220,4300002&320,-1,1&127|1&127,0,0,-1
165,65,1,4300001&1255,4300002&325,-1,2&34|2&34,0,0,-1
166,66,1,4300001&1290,4300002&330,-1,5&31|5&31,0,0,-1
167,67,1,4300001&1325,4300002&335,-1,1&127|1&127,0,0,-1
168,68,1,4300001&1360,4300002&340,-1,2&34|2&34,0,0,-1
169,69,1,4300001&1395,4300002&345,-1,5&31|5&31,0,0,-1
170,70,1,4300001&1435,4300002&350,-1,1&127|1&127,0.084,0,-1
171,71,1,4300001&1475,4300002&355,-1,2&29|2&29,0,0,-1
172,72,1,4300001&1515,4300002&360,-1,5&34|5&34,0,0,-1
173,73,1,4300001&1555,4300002&365,-1,1&191|1&191,0,0,-1
174,74,1,4300001&1595,4300002&370,-1,2&29|2&29,0,0,-1
175,75,1,4300001&1635,4300002&375,-1,5&34|5&34,0,0,-1
176,76,1,4300001&1675,4300002&380,-1,1&191|1&191,0,0,-1
177,77,1,4300001&1715,4300002&385,4600004&81,2&29|2&29,0,0,2&600105
178,78,1,4300001&1755,4300002&390,-1,5&34|5&34,0,0,-1
179,79,1,4300001&1795,4300002&395,-1,1&191|1&191,0,0,-1
180,80,1,4300001&1835,4300002&400,-1,2&29|2&29,0.101,0,-1
201,1,2,4301001&5,4301002&5,4306001&10,1&57,0,1,1&600201
202,2,2,4301001&10,4301002&10,-1,2&17,0,0,-1
203,3,2,4301001&15,4301002&15,4306001&14,5&17,0,1,-1
204,4,2,4301001&20,4301002&20,-1,1&57,0,0,-1
205,5,2,4301001&25,4301002&25,4306001&18,2&17,0,1,-1
206,6,2,4301001&30,4301002&30,-1,5&17,0,0,-1
207,7,2,4301001&35,4301002&35,4306001&22,1&57,0,1,-1
208,8,2,4301001&40,4301002&40,-1,2&17,0,0,-1
209,9,2,4301001&45,4301002&45,4306001&26,5&17,0,1,-1
210,10,2,4301001&55,4301002&50,-1,1&57,0.017,0,-1
211,11,2,4301001&65,4301002&55,4306001&30,2&15,0,1,-1
212,12,2,4301001&75,4301002&60,-1,5&25,0,0,-1
213,13,2,4301001&85,4301002&65,4306001&34,1&115,0,1,-1
214,14,2,4301001&95,4301002&70,-1,2&15,0,0,-1
215,15,2,4301001&105,4301002&75,4306001&38,5&25,0,1,-1
216,16,2,4301001&115,4301002&80,-1,1&115,0,0,-1
217,17,2,4301001&125,4301002&85,4600004&21,2&15,0,0,2&600202
218,18,2,4301001&135,4301002&90,-1,5&25,0,0,-1
219,19,2,4301001&145,4301002&95,4306001&46,1&115,0,1,-1
220,20,2,4301001&160,4301002&100,-1,2&15|2&15,0.021,0,-1
221,21,2,4301001&175,4301002&105,-1,5&13|5&13,0,0,-1
222,22,2,4301001&190,4301002&110,-1,1&76|1&76,0,0,-1
223,23,2,4301001&205,4301002&115,4306001&54,2&17|2&17,0,1,-1
224,24,2,4301001&220,4301002&120,-1,5&13|5&13,0,0,-1
225,25,2,4301001&235,4301002&125,-1,1&76|1&76,0,0,-1
226,26,2,4301001&250,4301002&130,-1,2&17|2&17,0,0,-1
227,27,2,4301001&265,4301002&135,4306001&62,5&13|5&13,0,1,-1
228,28,2,4301001&280,4301002&140,-1,1&76|1&76,0,0,-1
229,29,2,4301001&295,4301002&145,-1,2&17|2&17,0,0,-1
230,30,2,4301001&315,4301002&150,-1,5&13|5&13,0.025,0,-1
231,31,2,4301001&335,4301002&155,4306001&70,1&72|1&72,0,1,-1
232,32,2,4301001&355,4301002&160,-1,2&21|2&21,0,0,-1
