id,消耗1,消耗2,天赋位置,属性加成（战斗外）,属性加成（战斗内）,构筑点等级加成,ICON,是否位特殊点
id,cost1,cost2,pos,pointOutFight,pointInFight,lvRank,icon,special
number,array_&,array_&,number,array_&,number,number,string,number
1101,1&2&3&4&5&6&7&8&9&10,-1,1,2&50,0,0,icon_gouzhu_13,0
1102,1&2&3&4&5&6&7&8&9&10,-1,2,2&51,0,0,icon_gouzhu_14,0
1103,1&2&3&4&5&6&7&8&9&10,-1,3,2&52,0,0,icon_gouzhu_15,0
1104,1&2&3&4&5&6&7&8&9&10,-1,4,2&53,0,0,icon_gouzhu_16,0
1105,1&2&3&4&5&6&7&8&9&10,-1,5,2&54,0,0,icon_gouzhu_17,0
1106,1&2&3&4&5&6&7&8&9&10,-1,6,2&55,0,0,icon_gouzhu_18,0
1107,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1108,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1207,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1208,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1307,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1308,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1407,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1408,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1507,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1508,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1607,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1608,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1707,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1708,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
1807,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
1808,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
2101,1&2&3&4&5&6&7&8&9&10,-1,1,2&72,0,0,icon_gouzhu_13,0
2102,1&2&3&4&5&6&7&8&9&10,-1,2,2&73,0,0,icon_gouzhu_14,0
2103,1&2&3&4&5&6&7&8&9&10,-1,3,2&74,0,0,icon_gouzhu_15,0
2104,1&2&3&4&5&6&7&8&9&10,-1,4,2&75,0,0,icon_gouzhu_16,0
2105,1&2&3&4&5&6&7&8&9&10,-1,5,2&76,0,0,icon_gouzhu_17,0
2106,1&2&3&4&5&6&7&8&9&10,-1,6,2&77,0,0,icon_gouzhu_18,0
2107,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
2108,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
2207,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
2208,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
2307,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
2308,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
2407,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
2408,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
2507,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
2508,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
2607,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
2608,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
3101,1&2&3&4&5&6&7&8&9&10,-1,1,2&90,0,0,icon_gouzhu_13,0
3102,1&2&3&4&5&6&7&8&9&10,-1,2,2&91,0,0,icon_gouzhu_14,0
3103,1&2&3&4&5&6&7&8&9&10,-1,3,2&92,0,0,icon_gouzhu_15,0
3104,1&2&3&4&5&6&7&8&9&10,-1,4,2&93,0,0,icon_gouzhu_16,0
3105,1&2&3&4&5&6&7&8&9&10,-1,5,2&94,0,0,icon_gouzhu_17,0
3106,1&2&3&4&5&6&7&8&9&10,-1,6,2&95,0,0,icon_gouzhu_18,0
3107,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
3108,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
3207,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
3208,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
3307,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
3308,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
