id,等级,组ID,经验
id,level,group,exp
number,number,number,number
1,1,1,5
2,2,1,7
3,3,1,9
4,4,1,11
5,5,1,13
6,6,1,15
7,7,1,17
8,8,1,19
9,9,1,21
10,10,1,24
11,11,1,27
12,12,1,30
13,13,1,33
14,14,1,36
15,15,1,39
16,16,1,42
17,17,1,45
18,18,1,48
19,19,1,51
20,20,1,55
21,21,1,59
22,22,1,63
23,23,1,67
24,24,1,71
25,25,1,75
26,26,1,79
27,27,1,83
28,28,1,87
29,29,1,91
30,30,1,101
31,31,1,111
32,32,1,121
33,33,1,131
34,34,1,141
35,35,1,151
36,36,1,161
37,37,1,171
38,38,1,181
39,39,1,191
40,40,1,231
41,41,1,271
42,42,1,311
43,43,1,351
44,44,1,391
45,45,1,431
46,46,1,471
47,47,1,511
48,48,1,551
49,49,1,591
50,50,1,671
51,51,1,751
52,52,1,831
53,53,1,911
54,54,1,991
55,55,1,1071
56,56,1,1151
57,57,1,1231
58,58,1,1311
59,59,1,1391
60,60,1,1541
