ID,魔女ID,星级,等级,属性,技能id,皮肤id,构筑
id,heroid,star,level,cattr,skills,skinid,build
number,number,number,number,array_&_|,array_|,number,array_&_|
101,1009,3,15,1&2000|2&700|5&300|20&0|21&0|4&4745|3&622|16&10,100901|100903,-1,1&4|2&4
102,1024,3,25,1&3000|2&800|5&320|20&0|21&0|4&4445|3&622|16&10,102401|102403,-1,1&4|7&4
103,1023,3,25,1&3100|2&750|5&400|20&0|21&0|4&2782|3&400|16&10,102301|102303,-1,-1
104,1022,3,40,1&4200|2&4000|5&1000|20&0|21&0|4&3682|3&631|16&10,102201|102203,-1,-1
105,1009,3,50,1&5000|2&13000|5&1200|20&0|21&0|4&4745|3&622|16&10,100901|100903,-1,-1
106,1002,3,5,1&1500|2&380|5&350|20&0|21&0|4&4745|3&622|16&10,100201|100202|100203,-1,-1
107,1001,3,5,1&1500|2&380|5&350|20&0|21&0|4&4745|3&622|16&10,100101|100102|100103,-1,-1
108,1002,3,5,1&1500|2&380|5&350|20&0|21&0|4&4745|3&622|16&10,100201|100202|100203,-1,-1
109,1003,3,5,1&1710|2&414|5&324|20&0|21&0|3&350|16&10|22&100,100301|100302|100303,-1,-1
110,1004,1,35,1&17383|2&2900|5&2461|20&794|21&794|3&400|16&10,100401|100402|100403,-1,19&2|38&2|75&1
111,1005,1,35,1&17383|2&2900|5&2461|20&794|21&794|3&375|16&10,100501|100502|100503,-1,7&2|36&2|102&2
112,1006,1,35,1&17383|2&2900|5&2461|20&794|21&794|3&350|16&10,100601|100602|100603,-1,29&2|40&2|53&1
113,1020,1,5,1&4629|2&138|5&1779|20&148|21&148|3&70|16&10,102001|102003|102002,-1,27&2|74&2|71&1
114,1004,1,18,1&10339|2&2060|5&2060|20&488|21&488|3&400|16&10,100401|100402|100403,-1,19&2|75&2
115,1005,1,18,1&10339|2&2060|5&2060|20&488|21&488|3&375|16&10,100501|100502|100503,-1,7&2|102&2
116,1006,1,18,1&10339|2&2060|5&2060|20&488|21&488|3&350|16&10,100601|100602|100603,-1,29&2|53&2
117,1005,1,18,1&10339|2&2060|5&2060|20&488|21&488|3&375|16&10,100501|100502|100503,-1,7&4|102&2
118,1044,3,1,1&2010|2&345|5&324|20&0|21&0|3&400|16&10|22&100,104401|104402|104403,-1,-1
119,1002,2,40,1&35905|2&7159|5&7159|20&1424|21&1424|3&400|16&10,100201|100203|100202,-1,4&2|35&2|56&2
120,1017,1,40,1&35905|2&7159|5&7159|20&1424|21&1424|3&375|16&10,101701|101703|101702,-1,11&2|36&2|59&1
121,1007,1,40,1&35905|2&7159|5&7159|20&1424|21&1424|3&400|16&10,100701|100703|100702,-1,22&2|38&2|75&2
122,1012,2,40,1&35905|2&7159|5&7159|20&1424|21&1424|3&400|16&10,101201|101203|101202,-1,5&2|35&2|56&2
123,1001,1,45,1&39787|2&7933|5&7906|25&0.43|26&2.99|3&400|16&10,100101|100102|100103,-1,1&2|35&1|41&1|50&2
124,1003,2,45,1&39787|2&7933|5&7906|25&0.43|26&2.99|3&375|16&10,100301|100302|100303,-1,31&2|36&1|76&1|102&1
125,1044,3,45,1&39787|2&7933|5&7906|25&0.43|26&2.99|3&400|16&10,104401|104402|104403,-1,16&2|37&2|103&1|68&1
