ID,名称,英文名称,描述(短词条不超过33个字),货架类型,商品类型,商品位置排序,展示,重置时间id,显示结束时间,背景路径,ICON资源路径,价格,RMB价值,首冲倍数,充值后首次获得（自然月）,额外送,礼包品质,购买立即获得物品,持续获得,限购类型,限购次数,折扣,限时礼包背景板,礼包返利比,角标,是否为新礼包,解锁方式,锁定方式,单次购买次数,是否是深夜大奖,下架
id,Name,EnglishName,itemInfo,GoodsShelves,Type,Order,MainType,time_id,EndTime,bgPath,itemPath,price,ChargeMoney_id,price_rate,FirstGive,price_back,quality,packet_item,Continuousaccess,Buytype,Buytimes,discount,limitTimeBagBG,RebateRatio,Tag,Isnew,UnlockData,LockData,BuyMore,MidnightShow,BTimeOut
number,number,string,number,number,number,number,number,number,string,string,string,array_&,number,number,array_&_|,array_&_|,number,array_&_|,array_&_|,number,number,number,number,number,number,number,array_&_|,array_&,number,number,number
1001,-1,-1,-1,9999,12,1,2,0,-1,-1,-1,-1,1,1,4&1000002&57,4&1000002&3,4,-1,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1002,-1,-1,-1,9999,12,2,2,0,-1,-1,-1,-1,2,1,4&1000002&282,4&1000002&18,4,-1,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1003,-1,-1,-1,9999,12,3,2,0,-1,-1,-1,-1,3,1,4&1000002&632,4&1000002&48,4,-1,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1004,-1,-1,-1,9999,12,4,2,0,-1,-1,-1,-1,4,1,4&1000002&1178,4&1000002&102,4,-1,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1005,-1,-1,-1,9999,12,5,2,0,-1,-1,-1,-1,5,1,4&1000002&2984,4&1000002&296,4,-1,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1006,-1,-1,-1,9999,12,6,2,0,-1,-1,-1,-1,6,1,4&1000002&5832,4&1000002&648,4,-1,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1101,10350010,-1,-1,-1,1,1,1,0,-1,-1,-1,1000012&10,-1,1,-1,-1,-1,4&1000002&100,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
1102,10350010,-1,-1,-1,1,2,1,0,-1,-1,-1,1000012&128,-1,1,-1,-1,-1,4&1000002&1280,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
