ID,名称,英文名称,描述(短词条不超过33个字),充值后立即获得物品,ICON资源路径,价格（人民币 单位：元）,价格（单位：美分）,价格（单位：港币）,价格（单位：台币）
id,Name,EnglishName,itemInfo,packet_item,itemPath,price_rmb,price_usd,price_hkd,price_twd
number,number,string,number,array_&,string,number,number,number,number
1,10070001,Netherstone,20070001,4&1000012&6,source_icon/item/8010001,6,99,800,3300
2,10070002,Netherstone,20070002,4&1000012&30,source_icon/item/8010002,30,499,3800,17000
3,10070003,Netherstone,20070003,4&1000012&68,source_icon/item/8010003,68,999,7800,33000
4,10070005,Netherstone,20070005,4&1000012&128,source_icon/item/8010005,128,1999,15800,67000
5,10070006,Netherstone,20070006,4&1000012&328,source_icon/item/8010006,328,4999,39800,169000
6,10070007,Netherstone,20070007,4&1000012&648,source_icon/item/8010007,648,9999,78800,329000
7,10070010,Netherstone,20070010,-1,source_icon/item/8010001,6,99,800,3300
8,10070008,Netherstone,20070008,-1,source_icon/item/8010005,68,999,7800,33000
9,10070009,Netherstone,20070009,-1,source_icon/item/7000001,128,1999,15800,67000
10,10070010,Netherstone,20070011,-1,source_icon/item/8010001,30,499,3800,17000
11,10070011,Netherstone,20070012,-1,source_icon/item/8010001,68,999,7800,33000
15,10070015,Netherstone,20070011,-1,source_icon/item/8010001,12,199,1600,6600
16,10070016,Netherstone,20070012,-1,source_icon/item/8010001,30,499,3800,17000
17,10070017,Netherstone,20070011,-1,source_icon/item/8010001,68,999,7800,33000
18,10070018,Netherstone,20070011,-1,source_icon/item/8010001,30,499,3800,17000
19,10070019,Netherstone,20070012,-1,source_icon/item/8010001,30,499,3800,17000
20,10070016,Netherstone,20070012,-1,source_icon/item/8010001,30,499,3800,17000
21,10070021,Netherstone,20070012,-1,source_icon/item/8010001,18,299,2400,9900
