id,对应Chargegiftid,奖励条件,条件数值,见习奖励,精英奖励,解锁消耗,目标奖励显示
id,ChargeGiftId,condition,need_num,free_award,buy_award,purchase,target
number,number,number,number,array_&_|,array_&_|,array_&,array_&_|
1001,8001,1,0,4&8999994&5,4&1000001&2000|4&3000000&1,-1,-1
1002,8001,1,2000,4&4200001&10,4&4200002&10|4&7000005&1,1000002&150,-1
1003,8001,1,4000,4&4600001&20,4&4600001&20|4&4600002&10,1000002&150,-1
1004,8001,1,6000,4&8007002&5,4&8007001&5|4&4100002&5,1000002&150,-1
1005,8001,1,8000,4&1000002&20,4&1000002&50|4&7000102&5,1000002&150,-1
1006,8001,1,10000,4&7000005&1,4&1000001&2000|4&7000112&1,1000002&150,-1
1007,8001,1,12000,4&4200001&10,4&4200002&10|4&7000005&1,1000002&150,-1
1008,8001,1,14000,4&4600001&20,4&4600001&20|4&4600002&10,1000002&150,-1
1009,8001,1,16000,4&8007002&5,4&8007001&5|4&4100002&5,1000002&150,-1
1010,8001,1,18000,4&7000007&1,4&7000007&5|4&8800009&1,1000002&150,4&7000007&1|4&7000007&5|4&8800009&1
1011,8001,1,20000,4&8999994&5,4&1000001&4000|4&3000000&1,1000002&150,-1
1012,8001,1,22000,4&4200002&10,4&4200003&10|4&7000005&1,1000002&150,-1
1013,8001,1,24000,4&4600001&20,4&4600001&20|4&4600002&10,1000002&150,-1
1014,8001,1,26000,4&8007002&5,4&8007003&5|4&4100003&5,1000002&150,-1
1015,8001,1,28000,4&4306001&10,4&4306001&10|4&4600004&5,1000002&150,-1
1016,8001,1,30000,4&7000005&1,4&1000001&4000|4&7000122&1,1000002&150,-1
1017,8001,1,32000,4&4200002&10,4&4200003&10|4&7000005&1,1000002&150,-1
1018,8001,1,34000,4&4600001&20,4&4600001&20|4&4600002&10,1000002&150,-1
1019,8001,1,36000,4&8007002&5,4&8007003&5|4&4100003&5,1000002&150,-1
1020,8001,1,38000,4&99903&2,4&1000009&15|4&99102&50,1000002&150,4&99903&2|4&1000009&15|4&99102&50
1021,8001,1,40000,4&8999994&5,4&1000001&4000|4&3000000&1,1000002&150,-1
1022,8001,1,42000,4&4200002&10,4&4200003&10|4&7000005&1,1000002&150,-1
1023,8001,1,44000,4&4600001&20,4&4600001&20|4&4600002&10,1000002&150,-1
1024,8001,1,46000,4&8007002&5,4&8007003&5|4&4100003&5,1000002&150,-1
1025,8001,1,48000,4&4306001&10,4&4306001&10|4&4600004&5,1000002&150,-1
1026,8001,1,50000,4&7000005&1,4&1000001&4000|4&7000122&1,1000002&150,-1
1027,8001,1,52000,4&4200002&10,4&4200003&10|4&7000005&1,1000002&150,-1
1028,8001,1,54000,4&4600001&20,4&4600001&20|4&4600002&10,1000002&150,-1
1029,8001,1,56000,4&8007002&5,4&8007003&5|4&4100003&5,1000002&150,-1
1030,8001,1,58000,4&6020009&1,4&7000007&5|4&8800013&1,1000002&150,4&7000007&1|4&7000007&5|4&8800013&1
1031,8001,1,60000,4&8999994&5,4&1000001&6000|4&3000000&1,1000002&150,-1
1032,8001,1,62000,4&4200003&10,4&4200004&10|4&7000005&1,1000002&150,-1
1033,8001,1,64000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1034,8001,1,66000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
1035,8001,1,68000,4&4306001&10,4&4306001&10|4&4600004&5,1000002&150,-1
1036,8001,1,70000,4&1000001&3000,4&1000001&6000|4&3000000&1,1000002&150,-1
1037,8001,1,72000,4&4200003&10,4&4200004&10|4&7000122&1,1000002&150,-1
1038,8001,1,74000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1039,8001,1,76000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
1040,8001,1,78000,4&99101&20,4&1000009&15|4&99202&50,1000002&150,4&99101&20|4&1000009&15|4&99202&50
1041,8001,1,80000,4&8999994&5,4&1000001&6000|4&3000000&1,1000002&150,-1
1042,8001,1,82000,4&4200003&10,4&4200004&10|4&7000005&1,1000002&150,-1
1043,8001,1,84000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1044,8001,1,86000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
1045,8001,1,88000,4&1000002&20,4&1000002&50|4&7000102&5,1000002&150,-1
1046,8001,1,90000,4&1000001&3000,4&1000001&6000|4&7000132&1,1000002&150,-1
1047,8001,1,92000,4&4200003&10,4&4200004&10|4&7000005&1,1000002&150,-1
1048,8001,1,94000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1049,8001,1,96000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
