id,对应chargeid,触发重置规则,总触发次数,触发持续时间,触发主类型,触发条件,礼包返利比,背景资源,标题资源,展示SPINE,展示特效,展示特效,展示特效缩放,spine对应魔女
id,Shop_id,ResetRules,TriggerCounter,Duration,TriggerMainType,TriggerType,RebateRatio,BgPath,ImgTitlePath,SpinePath,SpecialEffects,SpecialEffects_Coordinate,SpecialEffects_Scale,SpineHeroId
number,number,number,number,number,array_&,array_&_|,number,string,string,string,string,array_&,number,int
1,13001,1,1,14400,1&100307&1,101&0,0,source_triggerpackage/banner_tanchulibao_10,source_triggerpackage/text_tanchulibao_1,prefab_item_spine/spine_item_7000007,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1,0
2,13002,1,1,14400,5&401&1,101&0,0,source_triggerpackage/banner_tanchulibao_6,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1023,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1023
3,13003,1,1,86400,1&100504&1,101&0,0,source_triggerpackage/banner_tanchulibao_7,source_triggerpackage/text_tanchulibao_4,prefab_uiplayermodel/playerspine/character_1024,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1024
4,13004,1,1,14400,6&2,101&6,0,source_triggerpackage/banner_tanchulibao_12,source_triggerpackage/text_tanchulibao_3,prefab_uiplayermodel/playerspine/character_1031,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1031
5,13005,1,1,86400,1&100604&1,101&0,0,source_triggerpackage/banner_tanchulibao_5,source_triggerpackage/text_tanchulibao_4,prefab_uiplayermodel/playerspine/character_1022,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1022
6,13006,1,1,14400,1&100608&1,101&1,0,source_triggerpackage/banner_tanchulibao_4,source_triggerpackage/text_tanchulibao_2,prefab_uiplayermodel/playerspine/character_1013,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1013
7,13007,1,1,14400,6&3,101&1,0,source_triggerpackage/banner_tanchulibao_7,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1024,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1024
8,13008,1,1,14400,1&110402&1,101&0,0,source_triggerpackage/banner_tanchulibao_6,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1023,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1023
9,13009,1,1,86400,1&110404&1,101&0,0,source_triggerpackage/banner_tanchulibao_6,source_triggerpackage/text_tanchulibao_4,prefab_uiplayermodel/playerspine/character_1023,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1023
10,13010,1,1,14400,5&205&2,102&4,0,source_triggerpackage/banner_tanchulibao_5,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1022,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1022
11,13011,1,1,14400,8&45,101&0,0,source_triggerpackage/banner_tanchulibao_8,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1035,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1035
12,13012,1,1,14400,5&205&1,102&5,0,source_triggerpackage/banner_tanchulibao_4,source_triggerpackage/text_tanchulibao_2,prefab_uiplayermodel/playerspine/character_1013,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1013
13,13013,1,1,14400,7&40,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
14,13014,1,1,14400,7&43,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
15,13015,1,1,14400,7&46,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
16,13016,1,1,14400,7&49,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
17,13017,1,1,14400,7&51,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
18,13018,1,1,14400,7&53,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
19,13019,1,1,14400,7&55,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
20,13020,1,1,14400,7&57,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
21,13021,1,1,14400,7&59,101&0,0,source_triggerpackage/banner_tanchulibao_2,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1009,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1009
22,13022,1,1,14400,3&1044,101&0,0,source_triggerpackage/banner_tanchulibao_1,source_triggerpackage/text_tanchulibao_5,prefab_uiplayermodel/playerspine/character_1044,prefab_uiEffect/uiEffect/ui97_jinji_b,0&256,1.5,1044
