索引,资源索引路径,最大数量
id,ResPath,ResMaxLimite
int,string,int
100101,player_xuli/Tongyong/xuli_red,1
100102,player_xuli/Tongyong/baopo_red,1
100103,player_xuli/barrage_1001_Bullet,14
100104,player_xuli/Tongyong/xuli_white,1
100106,player_xuli/skin/barrage_1001_Bullet,14
100201,player_xuli/Tongyong/xuli_gold,1
100202,player_xuli/barrage_1002_0,4
100203,player_xuli/barrage_1002,12
100301,player_xuli/Tongyong/xuli_blue,1
100302,player_xuli/Tongyong/baopo_blue,6
100303,player_xuli/barrage_1003,3
100304,player_xuli/barrage_1003_1,3
100306,player_xuli/Tongyong/baopo_white,4
100307,player_xuli/skin/1003,3
100308,player_xuli/skin/1003_1,3
100309,player_xuli/skin/barrage_1003_ice,3
100310,player_xuli/skin/barrage_1003_ice_1,3
100311,player_xuli/skin/2003,3
100312,player_xuli/skin/2003_1,3
100402,player_xuli/Tongyong/baopo_gold,5
100403,player_xuli/barrage_1004,6
100502,player_xuli/barrage_1005_1,1
100503,player_xuli/barrage_1005,5
100601,player_xuli/Tongyong/xuli_green,1
100602,player_xuli/Tongyong/baopo_green,1
100603,player_xuli/barrage_1006,5
100604,player_xuli/skin/1006,5
100701,player_xuli/Tongyong/xuli_zi,1
100702,player_xuli/Tongyong/baopo_zi,1
100703,player_xuli/barrage_1007,6
100803,player_xuli/barrage_1008,1
100804,playerBarrage_1008_1/barrage_100802_xl,1
100903,player_xuli/barrage_1009,1
100904,player_xuli/barrage_1009_04,28
100905,player_xuli/barrage_1009_03,16
100906,player_xuli/skin/1009,1
100907,player_xuli/skin/1009_2,28
100908,player_xuli/skin/1009_1,16
101003,player_xuli/barrage_1010,1
101004,player_xuli/barrage_1010_1,1
101103,player_xuli/barrage_1011,2
101104,player_xuli/barrage_1011_0,4
101203,player_xuli/barrage_1012,1
101204,player_xuli/barrage_panding2_box_laser,1
101303,player_xuli/barrage_1013,5
101304,player_xuli/skin/1013,5
101401,player_xuli/Tongyong/xuli_orange,1
101402,player_xuli/Tongyong/baopo_orange,1
101403,player_xuli/barrage_1014,7
101503,player_xuli/barrage_1015,1
101603,player_xuli/barrage_1016,1
101703,player_xuli/barrage_1017,5
101803,player_xuli/barrage_1018_0,4
101804,player_xuli/barrage_1018,1
101903,player_xuli/barrage_1019_0,1
102003,player_xuli/barrage_1020,1
102004,player_xuli/barrage_1020_2,4
102103,player_xuli/barrage_1021,12
102104,player_xuli/barrage_1021_0,12
102105,player_xuli/barrage_1021_3,12
102108,player_xuli/skin/1021,12
102109,player_xuli/skin/1021_0,12
102110,player_xuli/skin/1021_1,12
102203,player_xuli/barrage_1022,2
102206,player_xuli/skin/2022,2
102209,player_xuli/skin/1022,2
102303,playerBarrage_1023/barrage_1023_xl,1
102304,playerBarrage_1023_1/barrage_102302_xl,1
102401,player_xuli/Tongyong/xuli_pink,1
102402,player_xuli/Tongyong/baopo_pink,1
102403,player_xuli/barrage_1024,1
102404,player_xuli/skin/1024,1
102503,player_xuli/barrage_1025,1
102504,player_xuli/barrage_1025_2,1
102505,player_xuli/barrage_1025_1,1
102506,player_xuli/skin/barrage_102502,1
102507,player_xuli/skin/barrage_102502_1,1
102508,player_xuli/skin/barrage_102502_2,1
102601,player_xuli/barrage_1026,1
102602,player_xuli/barrage_1026_1,20
102803,player_xuli/barrage_1028,1
102804,player_xuli/barrage_1028_1,1
102805,player_xuli/barrage_1028_2,1
102806,player_xuli/barrage_1028_3,1
102807,player_xuli/barrage_1028_4,1
102808,player_xuli/skin/barrage_1028_wanshengjie,5
103003,player_xuli/barrage_1030,6
103103,player_xuli/barrage_1031,2
103503,player_xuli/barrage_1035,1
103504,player_xuli/barrage_1035_3,14
103602,player_xuli/barrage_1036_1,1
103603,player_xuli/barrage_1036,1
103604,player_xuli/barrage_1036_s,12
103803,player_xuli/barrage_1038,7
103902,Boss_jiguang_yujing,1
103903,player_xuli/barrage_1039_2,1
103904,player_xuli/barrage_1039,1
103905,player_xuli/Tongyong/xuli_green2,1
103906,player_xuli/skin/barrage_1039_tap_2,1
103907,player_xuli/skin/barrage_1039_tap,1
104203,player_xuli/barrage_1042,1
104206,player_xuli/barrage_1042,1
104403,player_xuli/barrage_1044,1
104406,player_xuli/skin/1044,1
104502,player_xuli/barrage_1045_1,1
104503,player_xuli/barrage_1045,4
105001,player_xuli/barrage_1050,1
200101,playerBarrage_1001/barrage_100103,4
200102,playerBarrage_1001_1/barrage_10010301,4
200201,playerBarrage_1002/barrage_100203,4
200301,player_xuli/barrage_1003_2,50
200302,playerBarrage_1003/barrage_100303,4
200303,playerBarrage_1003_1/barrage_10030301,4
200304,playerBarrage_1003_2/barrage_10030302,4
200401,playerBarrage_1004/barrage_100403,1
200402,playerBarrage_1004/barrage_100403_6x,3
200501,playerBarrage_1005/barrage_100503,1
200502,playerBarrage_1005/barrage_100503_4x,1
200503,playerBarrage_1005/barrage_100503_6x,1
200601,playerBarrage_1006/barrage_100603,1
200602,playerBarrage_1006/barrage_100603_6x,1
200603,playerBarrage_1006_1/barrage_10060301,1
200604,playerBarrage_1006_1/barrage_10060301_6x,1
200701,playerBarrage_1007/barrage_100702,1
200702,playerBarrage_1007/barrage_100703_01,20
200801,playerBarrage_1008/barrage_100803,1
200802,playerBarrage_1008/barrage_100803_4x,1
200803,playerBarrage_1008/barrage_100803_6x,1
200804,playerBarrage_1008/LISHADA_hit_4x,1
200805,playerBarrage_1008/LISHADA_hit_6x,1
200806,playerBarrage_1008_1/barrage_10080203,1
200807,playerBarrage_1008_1/barrage_10080203_4x,1
200808,playerBarrage_1008_1/barrage_10080203_6x,1
200809,playerBarrage_1008_1/LISHADA02_hit_4x,1
200810,playerBarrage_1008_1/LISHADA02_hit_6x,1
200901,playerBarrage_1009/barrage_100902,12
200902,playerBarrage_1009/barrage_100902_no_col,6
200903,playerBarrage_1009_1/barrage_10090201,12
200904,playerBarrage_1009_1/barrage_10090201_no_col,6
201001,playerBarrage_1010/barrage_101003,1
201002,playerBarrage_1010_3/barrage_10100303,1
201101,playerBarrage_1011/barrage_101103,1
201102,playerBarrage_1011/barrage_101103_6x,1
201201,playerBarrage_1012/barrage_101203,1
201301,playerBarrage_1013/barrage_101303,1
201302,playerBarrage_1013/barrage_101303_1,1
201303,playerBarrage_1013_1/barrage_10130301,1
201304,playerBarrage_1013_1/barrage_10130301_1,1
201401,playerBarrage_1014/barrage_101403,4
201402,playerBarrage_1014/barrage_new_1014,4
201403,playerBarrage_1014/barrage_new_1014_2,4
201601,playerBarrage_1016/barrage_101603,1
201701,playerBarrage_1017/barrage_101703,12
201801,playerBarrage_1018/barrage_101803,24
201901,playerBarrage_1019/barrage_101903,1
201902,playerBarrage_1019/barrage_101903_4x,1
202001,playerBarrage_1020/barrage_102003,3
202002,playerBarrage_1020/barrage_102001,20
202101,playerBarrage_1021/ef_Xigelide_birth,1
