唯一id,关卡id,怪物id,波数,波数批次,第几个,掉落1,掉落2,掉落3,掉落4,掉落5
id,levelid,enemyid,wave,count,index,prop_1,prop_2,prop_3,prop_4,prop_5
number,number,number,number,number,number,int_array_&_|,int_array_&_|,int_array_&_|,int_array_&_|,int_array_&_|
1,100101,0,3,1,1,20001&10000,-1,-1,-1,-1
2,100102,0,2,1,1,20002&10000,-1,-1,-1,-1
3,100103,0,1,1,1,20001&10000,-1,-1,-1,-1
4,100104,0,2,1,1,20002&10000,-1,-1,-1,-1
5,100302,0,2,1,1,20001&10000,-1,-1,-1,-1
6,100302,0,3,1,1,20002&10000,-1,-1,-1,-1
7,100302,0,5,1,1,20001&10000,-1,-1,-1,-1
8,100303,0,4,1,1,20005&10000,-1,-1,-1,-1
9,100303,0,5,1,1,20001&10000,-1,-1,-1,-1
10,100304,0,2,1,1,20001&10000,-1,-1,-1,-1
11,100304,0,3,1,1,20002&10000,-1,-1,-1,-1
12,100304,0,5,1,1,20001&10000,-1,-1,-1,-1
13,100306,0,2,1,1,20001&10000,-1,-1,-1,-1
14,100306,0,3,1,1,20002&10000,-1,-1,-1,-1
15,100306,0,4,1,1,20001&10000,-1,-1,-1,-1
16,100307,0,1,1,1,20001&10000,-1,-1,-1,-1
17,100307,0,2,1,1,20002&10000,-1,-1,-1,-1
18,100307,0,4,1,1,20005&10000,-1,-1,-1,-1
19,100307,0,5,1,1,20001&10000,-1,-1,-1,-1
20,100308,0,2,1,1,20001&10000,-1,-1,-1,-1
21,100308,0,3,1,1,20002&10000,-1,-1,-1,-1
22,100401,0,2,1,1,20001&10000,-1,-1,-1,-1
23,100401,0,3,1,1,20002&10000,-1,-1,-1,-1
24,100401,0,5,1,1,20005&10000,-1,-1,-1,-1
25,100401,0,6,1,1,20001&10000,-1,-1,-1,-1
26,100402,0,2,1,1,20001&10000,-1,-1,-1,-1
27,100402,0,3,1,1,20002&10000,-1,-1,-1,-1
28,100403,0,2,1,1,20001&10000,-1,-1,-1,-1
29,100403,0,3,1,1,20002&10000,-1,-1,-1,-1
30,100403,0,4,1,1,20001&10000,-1,-1,-1,-1
31,100403,0,6,1,1,20005&10000,-1,-1,-1,-1
32,100405,0,2,1,1,20001&10000,-1,-1,-1,-1
33,100405,0,3,1,1,20002&10000,-1,-1,-1,-1
34,100405,0,4,1,4,20005&10000,-1,-1,-1,-1
35,100405,0,6,1,1,20001&10000,-1,-1,-1,-1
36,100406,0,2,1,1,20001&10000,-1,-1,-1,-1
37,100406,0,3,1,1,20002&10000,-1,-1,-1,-1
38,100407,0,2,1,1,20001&10000,-1,-1,-1,-1
39,100407,0,3,1,1,20002&10000,-1,-1,-1,-1
40,100407,0,5,1,1,20001&10000,-1,-1,-1,-1
41,100407,0,6,1,4,20005&10000,-1,-1,-1,-1
42,100408,0,2,1,1,20001&10000,-1,-1,-1,-1
43,100408,0,3,1,1,20002&10000,-1,-1,-1,-1
44,100501,0,2,6,1,20001&10000,-1,-1,-1,-1
45,100501,0,3,2,1,20002&10000,-1,-1,-1,-1
46,100501,0,4,1,1,20001&10000,-1,-1,-1,-1
47,100501,0,7,1,1,20005&10000,-1,-1,-1,-1
48,100502,0,2,1,1,20001&10000,-1,-1,-1,-1
49,100502,0,2,4,1,20002&10000,-1,-1,-1,-1
50,100502,0,3,1,1,20001&10000,-1,-1,-1,-1
