索引id,具体掉落
id,drop
number,array_&_|
100100101,-1
100100201,-1
100100301,-1
100100401,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&16|1&1026&4&1&17|1&1021&4&1&17|1&1031&4&1&17|1&1010&4&1&17|1&1013&4&1&16|1&1022&4&1&16|1&1023&4&1&17|1&1024&4&1&17|1&1025&4&1&17|1&1035&4&1&16|1&1044&4&1&17
100101101,-1
100101201,-1
100101301,-1
100101401,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&16|1&1026&4&1&17|1&1021&4&1&17|1&1031&4&1&17|1&1010&4&1&17|1&1013&4&1&16|1&1022&4&1&16|1&1023&4&1&17|1&1024&4&1&17|1&1025&4&1&17|1&1035&4&1&16|1&1044&4&1&17
100100501,-1
100101501,-1
200000003,-1
200000004,-1
99001,1&1003&3&1&1
