评级ID,评级条件参数,默认是否达成
id,gradeRate,defaultGet
number,int_array_&,int
100,1&15&0,0
101,1&25&0,0
102,1&30&0,0
103,1&35&0,0
104,1&40&0,0
105,1&45&0,0
106,1&50&0,0
107,1&55&0,0
108,1&60&0,0
109,1&65&0,0
110,1&70&0,0
111,1&75&0,0
112,1&80&0,0
113,1&85&0,0
114,1&90&0,0
115,1&95&0,0
116,1&100&0,0
117,1&110&0,0
118,1&120&0,0
119,1&130&0,0
120,1&140&0,0
121,1&180&0,0
122,1&150&0,0
123,1&160&0,0
124,1&170&0,0
125,1&190&0,0
126,1&1&0,0
127,1&2&0,0
128,1&3&0,0
201,2&0&0,0
301,3&50&0,0
302,3&55&0,0
303,3&60&0,0
304,3&70&0,0
305,3&30&0,0
306,3&30&0,0
307,3&22&0,0
308,3&36&0,0
309,3&40&0,0
310,3&45&0,0
311,3&50&0,0
312,3&55&0,0
313,3&60&0,0
314,3&65&0,0
315,3&100&0,0
316,3&10&0,0
401,4&2600&0,0
402,4&3200&0,0
403,4&3800&0,0
404,4&4400&0,0
405,4&5000&0,0
406,4&5600&0,0
407,4&6200&0,0
408,4&8600&0,0
409,4&12000&0,0
410,4&18000&0,0
411,4&23000&0,0
412,4&30000&0,0
413,4&38000&0,0
414,4&46000&0,0
415,4&52000&0,0
416,4&68000&0,0
417,4&76000&0,0
418,4&84000&0,0
419,4&88000&0,0
420,4&92000&0,0
421,4&96000&0,0
422,4&100000&0,0
423,4&104000&0,0
424,4&110000&0,0
425,4&116000&0,0
426,4&124000&0,0
501,5&7&0,0
502,5&6&0,0
503,5&5&0,0
504,5&4&0,0
505,5&3&0,0
601,6&1&0,0
602,6&2&0,0
603,6&3&0,0
604,6&1&0,0
605,6&3&0,0
606,6&4&0,0
607,6&5&0,0
608,6&6&0,0
609,6&7&0,0
610,6&8&0,0
611,6&9&0,0
612,6&10&0,0
701,7&1&1000,0
702,7&1&1500,0
703,7&1&2000,0
704,7&1&2500,0
705,7&1&3000,0
706,7&1&3500,0
707,7&1&4000,0
708,7&1&4500,0
709,7&1&5000,0
710,7&1&5500,0
711,7&1&6000,0
712,7&1&6500,0
713,7&1&7000,0
801,8&0&0,0
901,9&0&0,0
1001,10&1010&0,0
1101,11&1&4,0
1102,11&1&1,0
1103,11&2&1,0
1104,11&2&2,0
1105,11&2&3,0
1106,11&2&4,0
1107,11&3&4,0
1108,11&3&5,0
1201,12&0&0,0
1301,13&2&0,0
1302,13&1&0,0
1401,14&1&4,0
1501,15&0&0,1
1502,15&1&0,1
1503,15&2&0,1
1601,17&1&2,0
1701,17&2&1,0
1702,17&1&3,0
1703,17&1&2,0
1704,17&1&1,0
1801,18&2&3,0
1802,18&2&4,0
1803,18&2&5,0
1901,19&50&0,0
1902,19&60&0,0
1903,19&40&0,0
1904,19&80&0,0
2001,20&30&0,1
2002,20&20&0,1
2003,20&40&0,1
2004,20&50&0,1
2005,20&60&0,1
2006,20&70&0,1
