ID,章节名称ID,章节描述ID,章节简称ID,幕间动画文字,满星宝箱,章节开放等级,章节名称图片,章节立绘,关卡大类,关卡小类,第一个关卡,解锁难度章节ID,前置章节,下一章,可购买挑战次数,奖励次数,入场券id,是否可以托管,开放时间,是否重置,对应排行榜,英文名称,分组ID,章节开放需星级,章节挑战次数
id,MapName,MapDes,SimpleName,map_end_des,AllStar_reward,Level_open,MapImage,Spine,Level_main_type,Level_type,Level_first,PreDungeonID,ExDungeonID,NextDungeonID,Level_buy_count,Count,Item_id,Is_Auto,Time_id,Effective,Top_type,EnglishName,GroupId,Star_open,Level_count
number,number,number,number,number,array_|,number,string,number,number,number,number,number,array_|,number,array_&_|,number,number,number,number,number,number,string,number,number,number
1001,10090001,20090001,30090001,40090001,1001|1002|1003,0,source_home/fight/chapter/text_story_0,1009,1,101,100001,0,0,2001,-1,0,0,1,0,0,0,Fuci rimarsik,1,0,0
2001,10090002,20090002,30090002,40090002,1011|1012|1013,1,source_home/fight/chapter/text_story_1,1001,1,101,100101,2002,1001,3001,-1,0,0,1,0,0,0,Wime en charike,1,0,0
3001,10090003,20090003,30090003,40090003,1021|1022|1023,1,source_home/fight/chapter/text_story_2,1003,1,101,100201,3002,2001,4001,-1,0,0,1,0,0,0,Povifobe,1,0,0
4001,10090004,20090004,30090004,40090004,1031|1032|1033,10,source_home/fight/chapter/text_story_3,1006,1,101,100301,4002,3001,5001,-1,0,0,1,0,0,0,Sibel,1,0,0
5001,10090005,20090005,30090005,40090005,1041|1042|1043,20,source_home/fight/chapter/text_story_4,1004,1,101,100401,5002,4001,5501,-1,0,0,1,0,0,0,Hufache,1,0,0
6001,10090006,20090006,30090006,40090006,1051|1052|1053,25,source_home/fight/chapter/text_story_5,1012,1,101,100501,6002,5501,7001,-1,0,0,1,0,0,0,Promiche shevodic,2,0,0
7001,10090007,20090007,30090007,40090007,1061|1062|1063,27,source_home/fight/chapter/text_story_6,1019,1,101,100601,7002,6001,8001,-1,0,0,1,0,0,0,Obise fim tumidi,2,0,0
8001,10090008,20090008,30090008,40090008,1071|1072|1073,32,source_home/fight/chapter/text_story_7,1015,1,101,100701,8002,7001,8501,-1,0,0,1,0,0,0,Bontim fim wimor,2,0,0
9001,10090009,20090009,30090009,40090009,1081|1082|1083,34,source_home/fight/chapter/text_story_8,1011,1,101,100801,9002,8501,10001,-1,0,0,1,0,0,0,Disuobe wimori,2,0,0
10001,10090010,20090010,30090010,40090010,1091|1092|1093,37,source_home/fight/chapter/text_story_9,1011,1,101,100901,10002,9001,11001,-1,0,0,1,0,0,0,Toevodi ron siharma,2,0,0
11001,10090011,20090011,30090011,40090011,1101|1102|1103,39,source_home/fight/chapter/text_story_10,1022,1,101,101001,11002,10001,12001,-1,0,0,1,0,0,0,Desichi,2,0,0
12001,10090012,20090012,30090012,40090012,1111|1112|1113,41,source_home/fight/chapter/text_story_11,1044,1,101,101101,12002,11001,13001,-1,0,0,1,0,0,0,Ar ron Här omik,2,0,0
13001,10090013,20090013,30090013,40090013,1121|1122|1123,45,source_home/fight/chapter/text_story_12,1009,1,101,101201,13002,12001,14001,-1,0,0,1,0,0,0,Här omik,2,0,0
14001,10090014,20090014,30090014,40090014,1131|1132|1133,48,source_home/fight/chapter/text_story_13,1013,1,101,101301,14002,13001,15001,-1,0,0,1,0,0,0,Todioche,3,0,0
15001,10090015,20090015,30090015,40090015,1141|1142|1143,50,source_home/fight/chapter/text_story_14,1013,1,101,101401,15002,14001,16001,-1,0,0,1,0,0,0,Disechi fim bumchi,3,0,0
16001,10090016,20090016,30090016,40090016,1151|1152|1153,53,source_home/fight/background/1,1013,1,101,101501,16002,15001,17001,-1,0,0,1,0,0,0,Dokaomi,3,0,0
