ID,类型名称,符石图标,枪械类型,显示倒计时,倒计时文字,倒计时文字标题,夜莺语,章节图片,章节图按钮音效,显示分类,章节ID,列表ID,关卡末位
id,Name,Show_icon,buildtype,Show_time,desc_time,desc_title,Name_E,Image,ImageFmodPath,Show_type,Chapter_ids,ListID,Lastid
number,number,array_&,array_&,number,string,string,string,string,string,number,array_|,number,number
2,10540002,-1,-1,-1,-1,-1,SUFORME CHIZ,source_home/fight/banner_story_1,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_2,1,2001|2002,2,-1
3,10540003,-1,-1,-1,-1,-1,SUFORME TIZ,source_home/fight/banner_story_2,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_3,1,3001|3002,4,-1
4,10540004,-1,-1,-1,-1,-1,SUFORME KIZ,source_home/fight/banner_story_3,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_4,1,4001|4002,5,-1
5,10540005,-1,-1,-1,-1,-1,SUFORME EIZ,source_home/fight/banner_story_4,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_5,1,5001|5002,6,-1
6,10540006,-1,-1,-1,-1,-1,SUFORME CHEIZ,source_home/fight/banner_story_5,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_6,1,6001|6002,8,-1
7,10540007,-1,-1,-1,-1,-1,SUFORME TEIZ,source_home/fight/banner_story_6,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_1,1,7001|7002,9,-1
8,10540008,-1,-1,-1,-1,-1,SUFORME KEIZ,source_home/fight/banner_story_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_2,1,8001|8002,10,-1
9,10540009,-1,-1,-1,-1,-1,SUFORME EFIZ,source_home/fight/banner_story_8,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_3,1,9001|9002,12,-1
10,10540010,-1,-1,-1,-1,-1,SUFORME FECHIZ,source_home/fight/banner_story_9,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_4,1,10001|10002,13,-1
11,10540011,-1,-1,-1,-1,-1,SUFORME FETIZ,source_home/fight/banner_story_10,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_5,1,11001|11002,14,-1
12,10540012,-1,-1,-1,-1,-1,SUFORME FEKIZ,source_home/fight/banner_story_11,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_6,1,12001|12002,15,-1
13,10541002,-1,-1,-1,-1,-1,REGIONAL,source_home/fight/banner_memory_2,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_2,1,5501|5502,7,-1
14,10541003,-1,-1,-1,-1,-1,REGIONAL,source_home/fight/banner_memory_3,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_3,1,8501|8502,11,-1
