id,分数组,分数起始,基础掉落,条件,数值起始,描述1,描述2
id,score_group,score_start,drop_id,cond,value_start,desc1,desc2
number,number,number,number,number,number,number,number
43000101,1001,0,6001,1,0,880001,880005
43000102,1001,60000,6002,1,60000,880001,880005
43000103,1001,240000,6003,1,240000,880001,880005
43000104,1001,600000,6004,1,600000,880001,880005
43000105,1001,800000,6005,1,800000,880001,880005
43000106,1001,1400000,6006,1,1400000,880001,880005
43000107,1001,1600000,6007,1,1600000,880001,880005
43000108,1001,2400000,6008,1,2400000,880001,880005
43000201,1002,0,6011,1,0,880001,880005
43000202,1002,60000,6012,1,60000,880001,880005
43000203,1002,240000,6013,1,240000,880001,880005
43000204,1002,600000,6014,1,600000,880001,880005
43000205,1002,800000,6015,1,800000,880001,880005
43000206,1002,1400000,6016,1,1400000,880001,880005
43000207,1002,1600000,6017,1,1600000,880001,880005
43000208,1002,2400000,6018,1,2400000,880001,880005
33001001,33001,0,5011,2,0,880001,880005
33001002,33001,2100000,5012,2,20,880002,880006
33001003,33001,2500000,5013,2,40,880003,880007
33001004,33001,2800000,5014,2,60,880004,880008
33002001,33002,0,5021,2,0,880001,880005
33002002,33002,10200000,5022,2,20,880002,880006
33002003,33002,12000000,5023,2,40,880003,880007
33002004,33002,13800000,5024,2,60,880004,880008
33003001,33003,0,5031,2,0,880001,880005
33003002,33003,12750000,5032,2,20,880002,880006
33003003,33003,15000000,5033,2,40,880003,880007
33003004,33003,17250000,5034,2,60,880004,880008
33004001,33004,0,5041,2,0,880001,880005
33004002,33004,15300000,5042,2,20,880002,880006
33004003,33004,18000000,5043,2,40,880003,880007
33004004,33004,20700000,5044,2,60,880004,880008
33005001,33005,0,5051,2,0,880001,880005
33005002,33005,17850000,5052,2,20,880002,880006
33005003,33005,21000000,5053,2,40,880003,880007
33005004,33005,24150000,5054,2,60,880004,880008
33006001,33006,0,5061,2,0,880001,880005
33006002,33006,22100000,5062,2,20,880002,880006
33006003,33006,26000000,5063,2,40,880003,880007
33006004,33006,29900000,5064,2,60,880004,880008
33007001,33007,0,5071,2,0,880001,880005
33007002,33007,27200000,5072,2,20,880002,880006
33007003,33007,32000000,5073,2,40,880003,880007
33007004,33007,36800000,5074,2,60,880004,880008
33008001,33008,0,5081,2,0,880001,880005
33008002,33008,32300000,5082,2,20,880002,880006
33008003,33008,38000000,5083,2,40,880003,880007
33008004,33008,43700000,5084,2,60,880004,880008
33001101,33101,0,5111,2,0,880001,880005
33001102,33101,2100000,5112,2,20,880002,880006
33001103,33101,2500000,5113,2,40,880003,880007
33001104,33101,2800000,5114,2,60,880004,880008
33002101,33102,0,5121,2,0,880001,880005
33002102,33102,10200000,5122,2,20,880002,880006
33002103,33102,12000000,5123,2,40,880003,880007
33002104,33102,13800000,5124,2,60,880004,880008
33003101,33103,0,5131,2,0,880001,880005
33003102,33103,12750000,5132,2,20,880002,880006
33003103,33103,15000000,5133,2,40,880003,880007
33003104,33103,17250000,5134,2,60,880004,880008
33004101,33104,0,5141,2,0,880001,880005
33004102,33104,15300000,5142,2,20,880002,880006
33004103,33104,18000000,5143,2,40,880003,880007
33004104,33104,20700000,5144,2,60,880004,880008
33005101,33105,0,5151,2,0,880001,880005
33005102,33105,17850000,5152,2,20,880002,880006
33005103,33105,21000000,5153,2,40,880003,880007
33005104,33105,24150000,5154,2,60,880004,880008
33006101,33106,0,5161,2,0,880001,880005
33006102,33106,22100000,5162,2,20,880002,880006
33006103,33106,26000000,5163,2,40,880003,880007
33006104,33106,29900000,5164,2,60,880004,880008
33007101,33107,0,5171,2,0,880001,880005
33007102,33107,27200000,5172,2,20,880002,880006
33007103,33107,32000000,5173,2,40,880003,880007
33007104,33107,36800000,5174,2,60,880004,880008
33008101,33108,0,5181,2,0,880001,880005
33008102,33108,32300000,5182,2,20,880002,880006
33008103,33108,38000000,5183,2,40,880003,880007
33008104,33108,43700000,5184,2,60,880004,880008
23001001,34001,0,5711,3,90,880011,880015
23001002,34001,160000,5712,3,70,880012,880016
23001003,34001,200000,5713,3,55,880013,880017
23001004,34001,240000,5714,3,40,880014,880018
23002001,34002,0,5721,3,90,880011,880015
23002002,34002,1200000,5722,3,70,880012,880016
23002003,34002,1500000,5723,3,55,880013,880017
23002004,34002,1800000,5724,3,40,880014,880018
23003001,34003,0,5731,3,90,880011,880015
23003002,34003,4800000,5732,3,70,880012,880016
23003003,34003,6000000,5733,3,55,880013,880017
23003004,34003,7200000,5734,3,40,880014,880018
23004001,34004,0,5741,3,90,880011,880015
23004002,34004,12000000,5742,3,70,880012,880016
23004003,34004,15000000,5743,3,55,880013,880017
23004004,34004,18000000,5744,3,40,880014,880018
23005001,34005,0,5751,3,90,880011,880015
23005002,34005,16000000,5752,3,70,880012,880016
23005003,34005,20000000,5753,3,55,880013,880017
23005004,34005,24000000,5754,3,40,880014,880018
23006001,34006,0,5761,3,90,880011,880015
23006002,34006,28000000,5762,3,70,880012,880016
23006003,34006,35000000,5763,3,55,880013,880017
23006004,34006,42000000,5764,3,40,880014,880018
23007001,34007,0,5771,3,90,880011,880015
23007002,34007,32000000,5772,3,70,880012,880016
23007003,34007,40000000,5773,3,55,880013,880017
23007004,34007,48000000,5774,3,40,880014,880018
23008001,34008,0,5781,3,90,880011,880015
23008002,34008,48000000,5782,3,70,880012,880016
23008003,34008,60000000,5783,3,55,880013,880017
23008004,34008,72000000,5784,3,40,880014,880018
23001101,34101,0,5811,3,90,880011,880015
23001102,34101,160000,5812,3,70,880012,880016
23001103,34101,200000,5813,3,55,880013,880017
23001104,34101,240000,5814,3,40,880014,880018
23002101,34102,0,5821,3,90,880011,880015
23002102,34102,1200000,5822,3,70,880012,880016
23002103,34102,1500000,5823,3,55,880013,880017
23002104,34102,1800000,5824,3,40,880014,880018
23003101,34103,0,5831,3,90,880011,880015
23003102,34103,4800000,5832,3,70,880012,880016
23003103,34103,6000000,5833,3,55,880013,880017
23003104,34103,7200000,5834,3,40,880014,880018
23004101,34104,0,5841,3,90,880011,880015
23004102,34104,12000000,5842,3,70,880012,880016
23004103,34104,15000000,5843,3,55,880013,880017
23004104,34104,18000000,5844,3,40,880014,880018
23005101,34105,0,5851,3,90,880011,880015
23005102,34105,16000000,5852,3,70,880012,880016
23005103,34105,20000000,5853,3,55,880013,880017
23005104,34105,24000000,5854,3,40,880014,880018
23006101,34106,0,5861,3,90,880011,880015
23006102,34106,28000000,5862,3,70,880012,880016
23006103,34106,35000000,5863,3,55,880013,880017
23006104,34106,42000000,5864,3,40,880014,880018
23007101,34107,0,5871,3,90,880011,880015
23007102,34107,32000000,5872,3,70,880012,880016
23007103,34107,40000000,5873,3,55,880013,880017
23007104,34107,48000000,5874,3,40,880014,880018
23008101,34108,0,5881,3,90,880011,880015
23008102,34108,48000000,5882,3,70,880012,880016
23008103,34108,60000000,5883,3,55,880013,880017
23008104,34108,72000000,5884,3,40,880014,880018
43001001,35001,0,5511,4,0,880021,880025
43001002,35001,24000,5512,4,20,880022,880026
43001003,35001,33600,5513,4,30,880023,880027
43001004,35001,42900,5514,4,43,880024,880028
43002001,35002,0,5521,4,0,880021,880025
43002002,35002,26400,5522,4,20,880022,880026
43002003,35002,36030,5523,4,30,880023,880027
43002004,35002,50000,5524,4,43,880024,880028
43003001,35003,0,5531,4,0,880021,880025
