唯一id,关卡id,敌人id,最终生命,最终攻击,最终防御,神火,擦弹分,死亡分数,光防,暗防,混防
id,level_id,enemey_id,hp,atk,def,gf,cadan,die_Score,lt_def,dk_def,cs_def
int,int,int,number,number,number,array_|,number,number,number,number,number
1,100001,10100002,60,122,203,0.07|2,1,30,1000,1000,1000
2,100001,10100014,2193,122,203,0.07|2,1,1096,1000,1052,952
3,100001,10100022,60,122,203,0.07|2,1,30,1000,1052,952
4,100001,10100005,60,122,203,0.07|2,1,30,1000,1000,1000
5,100001,10100006,60,122,203,0.07|2,1,30,1000,1000,1000
6,100001,10100003,1579,122,203,0.07|2,1,789,1000,1052,952
7,100001,10100016,13158,183,203,0.2|2,1,6579,1000,1052,952
8,100001,10100020,60,122,203,0.07|2,1,30,1000,1000,1000
9,100001,10100015,219,122,203,0.07|2,1,109,1000,1000,1000
10,100001,10100013,32895,183,203,0.2|5,1,16447,1000,1052,952
11,100001,10100009,19737,183,203,0.2|2,1,9868,1000,1052,952
12,100001,10100010,256581,1710,203,0.2|10,2,128290,1000,1052,952
13,100001,10100012,219,122,203,0.07|2,1,109,1000,1000,1000
14,100101,10101007,40,312,206,0.07|2,1,20,1000,1000,1000
15,100101,10101006,1008,312,206,0.07|2,1,504,1000,1000,1000
16,100101,10101016,40,312,206,0.07|2,1,20,1000,1000,1000
17,100101,10101005,7562,312,206,0.07|2,3,3781,1000,1000,1000
18,100101,10104002,3149,312,206,0.07|2,1,1574,1000,1000,1000
19,100102,10101016,96,312,206,0.07|2,1,48,1000,1000,1000
20,100102,10101006,315,312,206,0.07|2,1,157,1000,1000,1000
21,100102,10101007,96,312,206,0.07|2,1,48,1000,1000,1000
22,100102,10104002,5743,312,206,0.07|2,2,2871,1000,1000,1000
23,100102,10101009,13603,468,206,0.07|2,1,6801,1000,1000,1000
24,100103,10101016,90,353,233,0.07|2,1,45,1000,1000,1000
25,100103,10101006,1032,353,233,0.07|2,1,516,1000,1000,1000
26,100103,10101007,90,353,233,0.07|2,1,45,1000,1000,1000
27,100103,10101004,775,353,233,0.07|2,1,387,1000,1000,1000
28,100103,10101005,13515,353,233,0.07|2,6,6757,1000,1000,1000
29,100104,10101016,96,353,233,0.07|2,1,48,1000,1000,1000
30,100104,10101006,344,353,233,0.07|2,1,172,1000,1000,1000
31,100104,10101007,96,353,233,0.07|2,1,48,1000,1000,1000
32,100104,10104002,5970,353,233,0.07|2,2,2985,1000,1000,1000
33,100104,10101009,20634,529,233,0.07|2,1,10317,1000,1000,1000
34,100105,10101016,86,353,233,0.07|2,1,43,1000,1000,1000
35,100105,10101007,86,353,233,0.07|2,1,43,1000,1000,1000
36,100105,10101003,344,353,233,0.07|2,1,172,1000,1052,952
