武器id,武器名称,武器描述,英文名称,ICON资源,符石唯一icon,种类,品质,星级,等级上限,获得途径(需修改）,武器专属类型,武器可装备系,升级魂晶需求系数,升级经验系数,升级经验组,装备出售经验返还系数,装备出售返还魂晶系数,装备被吞转换经验,升星材料,属性,属性加持类型,用于强化的经验,等级属性开启,初始属性,等级成长系数,品质加成,升星突破系数,套装系别参数,装备技能组id（指向EquipTalent表中的技能组ID）,商店价格,出售价格,养成属性上限,点击音效
id,Name,itemInfo,EnglishName,itemPath,FSicon,Type,Quality,Star,MaxLevel,itemForm,belone,belong_dept,LvUpCostRate,cost_exp,cost_exp_group,trans_exp,trans_money,trans_exp_as_material,StarUpCost,AttrType,Attr_class,equip_base_exp,UnlockAttr,OrgAttribute,LvUpAttrRates,StepUpAttrRate,StepUpAttrRates,Classmate,skill_gid,price,canSell,attribute_upper_limit,fmodpath
number,number,number,string,string,number,number,number,number,number,array_&_|,number,array_|,number,number,number,number,number,number,number,number,number,number,array_&_|,number,array_&_|,array_&_|,array_&_|,number,array_|,array_&,array_&_|,array_&_|,string
7772611,777260,766261,WTF,N1,105,1,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,1,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772612,777261,766261,WTF,N2,105,2,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,2,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772613,777262,766261,WTF,N3,105,3,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,3,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772614,777263,766261,WTF,N4,105,4,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,4,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772615,777264,766261,WTF,N5,105,5,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,5,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772616,777265,766261,WTF,N6,105,6,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,5,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772621,777260,766261,WTF,R1,105,1,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,1,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772622,777261,766261,WTF,R2,105,2,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,2,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772623,777262,766261,WTF,R3,105,3,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,3,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772624,777263,766261,WTF,R4,105,4,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,4,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772625,777264,766261,WTF,R5,105,5,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,5,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772626,777265,766261,WTF,R6,105,6,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,5,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772631,777260,766261,WTF,SR1,105,1,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,1,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
