唯一ID,配置ID,等级id,强化经验,强化魂晶
id,groupid,LevelUp_id,exp,money
number,number,number,number,number
1,1,1,5,500
2,1,2,10,700
3,1,3,15,900
4,1,4,30,1200
5,1,5,45,1500
6,1,6,60,1900
7,1,7,75,2300
8,1,8,95,2800
9,1,9,115,3300
10,1,10,135,3900
11,1,11,155,4500
12,1,12,195,5200
13,1,13,235,5900
14,1,14,275,6700
15,1,15,315,7500
16,2,1,10,1000
17,2,2,20,1400
18,2,3,30,1800
19,2,4,60,2400
20,2,5,90,3000
21,2,6,120,3800
22,2,7,150,4600
23,2,8,190,5600
24,2,9,230,6600
25,2,10,270,7800
26,2,11,310,9000
27,2,12,390,10400
28,2,13,470,11800
29,2,14,550,13400
30,2,15,630,15000
31,3,1,15,1500
32,3,2,30,2100
33,3,3,45,2700
34,3,4,90,3600
35,3,5,135,4500
36,3,6,180,5700
37,3,7,225,6900
38,3,8,285,8400
39,3,9,345,9900
40,3,10,405,11700
41,3,11,465,13500
42,3,12,585,15600
43,3,13,705,17700
44,3,14,825,20100
45,3,15,945,22500
46,4,1,25,2500
47,4,2,50,3500
48,4,3,75,4500
49,4,4,150,6000
50,4,5,225,7500
51,4,6,300,9500
52,4,7,375,11500
53,4,8,475,14000
54,4,9,575,16500
55,4,10,675,19500
56,4,11,775,22500
57,4,12,975,26000
58,4,13,1175,29500
59,4,14,1375,33500
60,4,15,1575,37500
