id,属性类型,属性值,属性值,唯一ID,装备品质,权重,属性归类
id,attc_type,count_min,count_max,only_id,equip_type,weight,attr_class
number,number,number,number,number,number,array_&,number
101,1,182,272,101,1,50&19,1
102,2,36,54,102,1,50&19,1
103,5,36,54,103,1,50&19,1
104,20,12,18,104,1,50&19,1
105,21,12,18,105,1,50&19,1
201,1,339,509,201,2,50&19,1
202,2,68,102,202,2,50&19,1
203,5,68,102,203,2,50&19,1
204,20,22,32,204,2,50&19,1
205,21,22,32,205,2,50&19,1
301,1,606,910,301,3,50&19,1
302,2,122,182,302,3,50&19,1
303,5,122,182,303,3,50&19,1
304,20,38,58,304,3,50&19,1
305,21,38,58,305,3,50&19,1
401,1,591,1773,401,4,50&19,1
402,2,118,354,402,4,50&19,1
403,5,118,354,403,4,50&19,1
404,20,38,114,404,4,50&19,1
405,21,38,114,405,4,50&19,1
501,1,796,2387,501,5,50&19,1
502,2,159,477,502,5,50&19,1
503,5,159,477,503,5,50&19,1
504,20,51,153,504,5,50&19,1
505,21,51,153,505,5,50&19,1
131,39,4,6,131,1,50&19,1
132,40,4,6,132,1,50&19,1
133,41,4,6,133,1,50&19,1
134,42,4,6,134,1,50&19,1
135,43,4,6,135,1,50&19,1
231,39,7,11,231,2,50&19,1
232,40,7,11,232,2,50&19,1
233,41,7,11,233,2,50&19,1
234,42,7,11,234,2,50&19,1
235,43,7,11,235,2,50&19,1
331,39,11,17,331,3,50&19,1
332,40,11,17,332,3,50&19,1
333,41,11,17,333,3,50&19,1
334,42,11,17,334,3,50&19,1
335,43,11,17,335,3,50&19,1
431,39,9,28,431,4,50&19,1
432,40,9,28,432,4,50&19,1
433,41,9,28,433,4,50&19,1
434,42,9,28,434,4,50&19,1
435,43,9,28,435,4,50&19,1
531,39,12,35,531,5,50&19,1
532,40,12,35,532,5,50&19,1
533,41,12,35,533,5,50&19,1
534,42,12,35,534,5,50&19,1
535,43,12,35,535,5,50&19,1
111,1,325,487,111,1,50&19,2
112,2,65,97,112,1,50&19,2
113,5,65,97,113,1,50&19,2
114,20,21,31,114,1,50&19,2
115,21,21,31,115,1,50&19,2
211,1,606,910,211,2,50&19,2
212,2,122,182,212,2,50&19,2
213,5,122,182,213,2,50&19,2
214,20,38,58,214,2,50&19,2
215,21,38,58,215,2,50&19,2
311,1,1082,1624,311,3,50&19,2
312,2,217,325,312,3,50&19,2
313,5,217,325,313,3,50&19,2
314,20,70,104,314,3,50&19,2
315,21,70,104,315,3,50&19,2
411,1,1055,3165,411,4,50&19,2
412,2,211,633,412,4,50&19,2
413,5,211,633,413,4,50&19,2
414,20,68,203,414,4,50&19,2
415,21,68,203,415,4,50&19,2
511,1,1421,4262,511,5,50&19,2
512,2,284,852,512,5,50&19,2
513,5,284,852,513,5,50&19,2
514,20,91,273,514,5,50&19,2
515,21,91,273,515,5,50&19,2
121,39,3,5,121,1,50&19,2
122,40,3,5,122,1,50&19,2
123,41,3,5,123,1,50&19,2
124,42,3,5,124,1,50&19,2
125,43,3,5,125,1,50&19,2
221,39,7,10,221,2,50&19,2
222,40,7,10,222,2,50&19,2
223,41,7,10,223,2,50&19,2
224,42,7,10,224,2,50&19,2
225,43,7,10,225,2,50&19,2
321,39,10,15,321,3,50&19,2
322,40,10,15,322,3,50&19,2
323,41,10,15,323,3,50&19,2
324,42,10,15,324,3,50&19,2
325,43,10,15,325,3,50&19,2
421,39,8,25,421,4,50&19,2
422,40,8,25,422,4,50&19,2
423,41,8,25,423,4,50&19,2
424,42,8,25,424,4,50&19,2
425,43,8,25,425,4,50&19,2
521,39,10,31,521,5,50&19,2
522,40,10,31,522,5,50&19,2
523,41,10,31,523,5,50&19,2
524,42,10,31,524,5,50&19,2
525,43,10,31,525,5,50&19,2
