id,套装系别,标记,套数所需数量,套装技能,套装名称
id,suitid,sign,num,skillinfo,name
number,number,array_&,number,array_|,number
1,1,10130102&2,2,1|663003,10130001
2,2,10130102&2,2,1|663001,10130002
5,5,10130102&2,2,1|663001,10130005
8,8,10130103&1,2,1|663016,10130008
13,13,10130104&3,2,1|663008,10130013
15,15,10130108&3,2,1|663012,10130015
20,20,10130103&1,2,1|663016,10130020
21,21,10130101&1,2,1|663019,10130021
24,24,10130101&1,2,1|663020,10130024
26,26,10130102&2,2,1|663001,10130026
27,1,10130102&2,4,2|666001,10130001
28,2,10130102&2,4,2|666002,10130002
31,5,10130102&2,4,2|666005,10130005
34,8,10130103&1,4,2|666008,10130008
39,13,10130104&3,4,2|666013,10130013
41,15,10130108&3,4,2|666015,10130015
46,20,10130103&1,4,2|666020,10130020
47,21,10130101&1,4,2|666021,10130021
50,24,10130101&1,4,2|666024,10130024
52,26,10130102&2,4,2|666026,10130026
