分组,&
grouping,combination
number,array_&
1001,2&2&1&4
1002,5&2&1&4
1003,8&2&1&4
1004,13&2&1&4
1005,15&2&1&4
1006,20&2&1&4
1007,21&2&1&4
1008,26&2&1&4
1009,15&2&2&4
1010,20&2&2&4
1011,21&2&2&4
1012,26&2&2&4
1013,1&2&5&4
1014,2&2&5&4
1015,8&2&5&4
1016,20&2&5&4
1017,21&2&5&4
1018,1&2&8&4
1019,2&2&8&4
1020,5&2&8&4
1021,8&2&8&4
1022,15&2&8&4
1023,20&2&8&4
1024,1&2&13&4
1025,5&2&13&4
1026,13&2&13&4
1027,20&2&13&4
1028,21&2&13&4
1029,26&2&13&4
1030,1&2&15&4
1031,5&2&15&4
1032,8&2&15&4
1033,13&2&15&4
1034,20&2&20&4
1035,21&2&20&4
1036,21&2&21&4
1037,1&2&24&4
1038,2&2&24&4
1039,15&2&24&4
1040,20&2&24&4
1041,21&2&24&4
1042,26&2&24&4
1043,1&2&26&4
1044,2&2&26&4
1045,8&2&26&4
1046,20&2&26&4
1047,21&2&26&4
1048,24&2&26&4
