ID服务器错误ID,英文
id,ErrorString_E
number,string
1,Error_NotError
2,Error_NotAccount
3,Error_PasswordError
4,Error_AccountExistence
5,Error_NameIsUsed
6,Error_UnknownsError
7,Error_BeyondMaximum
8,Error_NotHero
9,Error_NoEnterMap
10,Error_LevelMax
11,Error_GradeMax
12,Error_PartsNotEnough
13,Error_CoinNotEnough
14,Error_HeroHave
15,Error_NotPet
16,Error_PetHave
17,Error_PetAlreadyEquipped
18,Error_NotRunes
19,Error_RunesAlreadyEquipped
20,Error_SlotNoOpen
21,Error_NotTypeItem
22,Error_NotItem
23,Error_ItemNotEnough
24,Error_RunesTypeDifference
25,Error_MismatchedItem
26,Error_NotSelectHero
27,Error_7daydone
28,Error_duel_fin
29,Error_duel_shut
30,Error_loop_fin
31,Error_mail_none
32,Error_mail_null
33,Error_mail_nottaken
34,Error_mail_itemtaken
35,Error_exp_invaild
