ID,类型ID,枪型,天平属性,养成属性,深夜玩家段位
id,typeid,gunType,BalanceAttribute,FormativeAttribute,MidnightLevel
number,number,number,array_&_|,array_&_|,number
1,401,-1,1&0,1&100|2&100|5&100|20&100|21&100|4&100,-1
2,801,1,1&25000|2&5000|5&4500|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
3,801,2,1&22500|2&5000|5&5000|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
4,801,3,1&22500|2&5000|5&4500|25&0.23|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
5,801,4,1&25000|2&5500|5&5000|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
6,801,5,1&25000|2&5750|5&4500|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
7,801,6,1&22500|2&5000|5&4500|25&0.21|26&2,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
8,802,1,1&25000|2&5000|5&4500|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
9,802,2,1&22500|2&5000|5&5000|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
10,802,3,1&22500|2&5000|5&4500|25&0.23|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
11,802,4,1&25000|2&5500|5&5000|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
12,802,5,1&25000|2&5750|5&4500|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
13,802,6,1&22500|2&5000|5&4500|25&0.21|26&2,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
14,803,1,1&25000|2&5000|5&4500|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
15,803,2,1&22500|2&5000|5&5000|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
16,803,3,1&22500|2&5000|5&4500|25&0.23|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
17,803,4,1&25000|2&5500|5&5000|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
18,803,5,1&25000|2&5750|5&4500|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
19,803,6,1&22500|2&5000|5&4500|25&0.21|26&2,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
20,804,1,1&25000|2&5000|5&4500|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
21,804,2,1&22500|2&5000|5&5000|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
22,804,3,1&22500|2&5000|5&4500|25&0.23|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
23,804,4,1&25000|2&5500|5&5000|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
24,804,5,1&25000|2&5750|5&4500|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
25,804,6,1&22500|2&5000|5&4500|25&0.21|26&2,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
26,805,1,1&25000|2&5000|5&4500|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
27,805,2,1&22500|2&5000|5&5000|25&0.22|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
28,805,3,1&22500|2&5000|5&4500|25&0.23|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
29,805,4,1&25000|2&5500|5&5000|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
30,805,5,1&25000|2&5750|5&4500|25&0.18|26&1.8,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
31,805,6,1&22500|2&5000|5&4500|25&0.21|26&2,1&10|2&10|5&10|20&10|21&10|25&10|26&10,-1
