ID,路径,类型,长度,Light(程序),场景特效,雾模式,雾【R/G/B/A/start/end】,云 【根据波次配置出现】,云
id,landPath,landMoveType,landLength,lightPath,effectPath,fogMode,fogConfig,cloud,cloudCfg
int,string,int,number,string,string,int,string,sarray_|,int_array_&_|
1001,M2_nightingale,0,450,prefab_light/M2_nightingale_Light,prefab_fightEffect/RainEffect,1,33|53|77|255|-60|200,M2_Cloud_B_night|M2_Cloud_C_night,1|2
1002,M2_nightingale_snow,0,450,prefab_light/M2_nightingale_Snow_Light,prefab_fightEffect/SnowEffect,1,195|205|215|255|0|200,M2_Cloud_B_overcastsky|M2_Cloud_C_overcastsky,1|2
1003,M2_Beholder01,0,500,prefab_light/M2_Beholder01_Light,prefab_fightEffect/RainEffect,1,55|45|95|255|-20|180,-1,-1
1004,M2_Beholder02,1,0,prefab_light/M2_Beholder02_Light,prefab_fightEffect/RainEffect,1,50|45|75|255|0|200,-1,-1
1005,M2_BeholderSnow01,0,500,prefab_light/M2_BeholderSnow01_Light,prefab_fightEffect/SnowEffect,1,105|115|170|255|-25|175,-1,-1
1006,M2_BeholderSnow02,1,0,prefab_light/M2_BeholderSnow02_Light,prefab_fightEffect/SnowEffect,1,105|115|170|255|0|175,-1,-1
1007,M2_castle01,0,500,prefab_light/M2_castle01_Light,-1,1,25|50|100|255|0|165,M2_Cloud_B_dark|M2_Cloud_C_dark,1|2
1008,M2_castle02,1,0,prefab_light/M2_castle02_Light,-1,1,25|50|100|255|0|175,M2_Cloud_B_dark,1
1009,M2_castleSnow01,0,500,prefab_light/M2_castleSnow01_Light,prefab_fightEffect/SnowEffect,1,155|165|175|255|50|150,M2_Cloud_B_overcastsky|M2_Cloud_C_overcastsky,1|2
1010,M2_castleSnow02,1,0,prefab_light/M2_castleSnow02_Light,prefab_fightEffect/SnowEffect,1,135|155|175|255|55|155,M2_Cloud_B_overcastsky,1
1011,M2_cloister01,0,550,prefab_light/M2_cloister01_Light,-1,1,30|73|77|255|60|300,-1,-1
1012,M2_cloister02,0,550,prefab_light/M2_cloister02_Light,-1,1,45|45|70|255|60|300,-1,-1
1013,M2_cloister03,1,0,prefab_light/M2_cloister03_Light,-1,1,33|53|77|255|60|300,-1,-1
1014,M2_cloister01_carpet,0,550,prefab_light/M2_cloister01_carpet_Light,-1,1,225|205|205|255|150|300,-1,-1
1015,M2_dungeon01,0,550,prefab_light/M2_dungeon01_Light,-1,1,100|60|30|255|100|300,-1,-1
1016,M2_holycity01,1,0,prefab_light/M2_holycity01_Light,-1,1,30|60|145|255|50|250,M2_Cloud_B,1
1017,M2_holycity02,0,500,prefab_light/M2_holycity02_Light,-1,1,255|105|20|255|60|250,M2_Cloud_B_sunset|M2_Cloud_C_sunset,1|2
1018,M2_holycity03,0,500,prefab_light/M2_holycity03_Light,-1,1,195|195|195|255|60|240,M2_Cloud_B_overcastsky|M2_Cloud_C_overcastsky,1|2
1019,M2_nightingale_town,0,500,prefab_light/M2_nightingale_town_Light,-1,1,30|60|145|255|50|250,M2_Cloud_B|M2_Cloud_C,1|2
1020,M2_limbo01,0,500,prefab_light/M2_limbo01_Light,-1,1,75|60|60|255|75|225,-1,-1
1021,M2_limbo01_Yanshi,0,500,prefab_light/M2_limbo01_Yanshi_Light,-1,1,70|80|80|255|75|225,-1,-1
1022,M2_limbo01_baoshi01,0,500,prefab_light/M2_limbo01_baoshi01_Light,-1,1,200|175|50|255|75|225,-1,-1
1023,M2_limbo01_seyu01,0,500,prefab_light/M2_limbo01_seyu01_Light,-1,1,200|50|50|255|75|225,-1,-1
1024,M2_limbo02,0,500,prefab_light/M2_limbo02_Light,-1,1,110|110|150|255|75|225,-1,-1
1025,M2_limbo03,1,0,prefab_light/M2_limbo03_Light,-1,1,90|55|75|255|70|235,-1,-1
