行为id,下一个行为（-1为结束）,行为归纳,BGM,跳过简述
id,next,talk_info,talk_sound,talk_sample
number,number,array_|,array_|,string
100010,100020,2|11703,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-far,-1
100020,100030,1|10010,-1,-1
100030,100040,2|103,-1,-1
100040,100220,1|10020,-1,-1
100220,100221,1|10030,-1,-1
100221,100222,2|11903,-1,-1
100222,100223,1|10040,-1,-1
100223,100224,2|103,-1,-1
100224,100225,1|10050,-1,-1
100225,100230,2|104,-1,-1
100230,100231,1|10110,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/footsteps-run-forest,-1
100231,100240,2|50001,-1,-1
100240,100270,2|303,-1,-1
100270,100280,1|10130,-1,-1
100280,100290,2|11903,-1,-1
100290,100300,1|10140,-1,-1
100300,100310,2|4403,-1,-1
100310,100320,1|10150,-1,-1
100320,100330,2|303,-1,-1
100330,100340,1|10160,-1,-1
100340,100350,2|103,-1,-1
100350,100360,1|10170,-1,-1
100360,100430,2|2043,-1,-1
100430,100440,1|10210,-1,-1
100440,100450,2|103,-1,-1
100450,100460,1|10220,-1,-1
100460,100470,2|303,-1,-1
100470,100480,1|10230,-1,-1
100480,100490,2|103,-1,-1
100490,100500,1|10240,-1,-1
100500,100550,2|303,-1,-1
100550,100560,1|10250,-1,-1
100560,100570,2|103,-1,-1
100570,-1,1|10260,-1,-1
110010,110020,2|2043,-1,-1
110020,110040,1|10280,-1,-1
110040,110050,2|103,-1,-1
110050,110060,1|10290,-1,-1
110060,110070,2|2043,-1,-1
110070,110080,1|10300,-1,-1
110080,110090,2|103,-1,-1
110090,110091,1|10310,-1,-1
110091,110092,2|4403,-1,-1
110092,110100,1|10311,-1,-1
110100,110110,2|303,-1,-1
110110,110120,1|10320,-1,-1
110120,110130,1|10330,-1,-1
110130,110140,2|103,-1,-1
110140,110150,1|10340,-1,-1
110150,110180,2|11803,-1,-1
110180,110190,1|10360,-1,-1
110190,110200,2|103,-1,-1
110200,110201,1|10370,-1,-1
110201,110202,2|2043,-1,-1
110202,110203,1|10380,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/evil-wing-fly,-1
110203,110204,2|60001,-1,-1
110204,110210,2|40002,-1,-1
110210,110211,2|103,-1,-1
110211,110212,1|10381,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/monster-body-fall,-1
110212,110213,2|104,-1,-1
110213,110214,1|10371,-1,-1
110214,110215,2|303,-1,-1
110215,110216,1|10382,-1,-1
110216,110217,2|103,-1,-1
110217,110218,1|10383,-1,-1
110218,110219,2|303,-1,-1
110219,110220,1|10384,-1,-1
110220,110230,2|305,-1,-1
110230,110240,1|10385,-1,-1
