ID,ICON,Buff特效
id,EffectIcon,BuffEffect
number,string,string
1,source_uiComframeWork/frame_buff/new_buff_2,-1
2,source_uiComframeWork/frame_buff/new_buff_12,-1
3,source_uiComframeWork/frame_buff/new_buff_4,-1
4,source_uiComframeWork/frame_buff/new_buff_102302,-1
5,source_uiComframeWork/frame_buff/new_buff_6,-1
6,source_uiComframeWork/frame_buff/new_buff_7,-1
7,source_uiComframeWork/frame_buff/new_buff_8,-1
8,source_uiComframeWork/frame_buff/new_buff_9,-1
9,source_uiComframeWork/frame_buff/new_buff_10,-1
10,source_uiComframeWork/frame_buff/new_buff_yeying,prefab_fightEffect/FightEffect/PlayerBuffEffect/buff_yeying
11,source_uiComframeWork/frame_buff/new_buff_11,-1
12,source_uiComframeWork/frame_buff/new_buff_hd,-1
13,source_uiComframeWork/frame_buff/new_buff_ms,prefab_fightEffect/FightEffect/PlayerBuffEffect/new_buff_ms
14,source_uiComframeWork/frame_buff/new_debuff_1,prefab_fightEffect/FightEffect/LISHADA_zhongzi
15,source_uiComframeWork/frame_buff/new_debuff_2,prefab_fightEffect/FightEffect/PlayerDeBuffEffect/debuff3
16,source_uiComframeWork/frame_buff/new_debuff_3,-1
17,source_uiComframeWork/frame_buff/new_debuff_4,-1
18,source_uiComframeWork/frame_buff/new_debuff_5,prefab_fightEffect/FightEffect/PlayerDeBuffEffect/debuff1
19,source_uiComframeWork/frame_buff/new_debuff_6,prefab_fightEffect/FightEffect/PlayerDeBuffEffect/debuff2
20,source_uiComframeWork/frame_buff/new_debuff_100802,-1
21,source_uiComframeWork/frame_buff/new_debuff_2,prefab_fightEffect/FightEffect/PlayerDeBuffEffect/debuff4
22,source_uiComframeWork/frame_buff/new_debuff_3,-1
23,source_uiComframeWork/frame_buff/new_debuff_7,-1
24,source_uiComframeWork/frame_buff/new_debuff_100802,-1
25,source_uiComframeWork/frame_buff/new_buff_hd,prefab_fightEffect/FightEffect/PlayerBuffEffect/new_buff_hd
26,-1,-1
100402,source_uiComframeWork/frame_buff/new_buff_100402,prefab_barrage/playerBarrage_1004/barrage_100402
101503,source_uiComframeWork/frame_buff/new_buff_101503,prefab_barrage/playerBarrage_1015/barrage_101503
102302,source_uiComframeWork/frame_buff/new_buff_102302,prefab_barrage/playerBarrage_1023/barrage_102302
102202,source_uiComframeWork/frame_buff/new_debuff_102202,-1
101202,source_uiComframeWork/frame_buff/new_debuff_101202,-1
100802,source_uiComframeWork/frame_buff/new_debuff_100802,-1
100602,source_uiComframeWork/frame_buff/new_buff_100602,prefab_fightEffect/FightEffect/PlayerBuffEffect/new_buff_1
