指数id,选项内容,指数需求,增加指数,跳转行为id
id,select_info,need_info,add_info,jump_id
number,string,array_|,array_&_|,number
1,光明,-1,-1,-1
2,黑暗,2|5,2&1|1&1,-1
3,虚空,3|0,3&1|4&1,-1
4,无限,4|0,-1,-1
101,不如先看一眼。,-1,-1,150530
102,还是别看了。,-1,-1,150540
107,未来的玛丽给现在的魔女留了一封信。,-1,-1,151270
108,未来的玛丽给现在的玛丽留了一封信。,-1,-1,151280
109,一起去。,-1,-1,152070
110,还是小心点比较好。,-1,-1,152080
113,是这样吗……,-1,-1,161240
114,你可以一直相信我。,-1,-1,161250
115,看来有人故意引入了那个人类女孩。,-1,-1,180290
116,那个人类女孩的出现或许并非偶然。,-1,-1,180300
117,劝安娜不要只想着玩。,-1,-1,181060
118,认同安娜的想法。,-1,-1,181070
119,抱歉，完全没有兴趣。,-1,-1,182300
120,可以考虑一下。,-1,-1,182310
123,安慰希贝尔。,-1,-1,191380
124,率先踏入禁地。,-1,-1,191390
125,走吧。,-1,-1,191560
126,犹豫。,-1,-1,191570
127,她们应该是认识的。,-1,-1,192480
128,也许玛丽感到了威胁。,-1,-1,192490
129,没、没有！,-1,-1,193130
130,你觉得呢？,-1,-1,193140
131,后退。,-1,-1,194940
132,前进。,-1,-1,194950
133,询问。,-1,-1,196410
134,质疑。,-1,-1,196420
135,问她想要什么。,-1,-1,197140
136,维护魔女。,-1,-1,197150
137,自己灭火。,-1,-1,197360
138,和丽莎商量。,-1,-1,197370
139,不可能是梦。,-1,-1,210220
140,或许真的只是一场梦。,-1,-1,210230
141,伸手揉揉安娜的脑袋。,-1,-1,210900
142,你有这份心就足够了。,-1,-1,210910
143,难道你也没听？,-1,-1,220350
144,看来只有我能解释了吗……,-1,-1,220360
145,是有天赋的。,-1,-1,220920
146,安娜还有待努力。,-1,-1,220930
147,拒绝。,-1,-1,240060
148,忍耐一下。,-1,-1,240070
149,因为这是很有趣的一种神使。,-1,-1,240660
150,一会儿你就知道了。,-1,-1,240670
151,远离硫磺火。,-1,-1,260430
152,施放更强大的魔印。,-1,-1,260440
153,你们是我的学生。,-1,-1,265230
154,好吧好吧。,-1,-1,265240
155,你这话是什么意思？,-1,-1,280680
156,夜莺森林还轮不到神庭来插手。,-1,-1,280690
157,玛丽的选择或许是正确的。,-1,-1,310110
158,或许不该离开夜莺森林……,-1,-1,310120
159,有没有想过离开夜莺森林？,-1,-1,310760
160,你没有想过去找寻你的记忆吗？,-1,-1,310770
161,其实是能理解的。,-1,-1,320480
162,玛丽真的会下这样的命令吗？,-1,-1,320490
163,演技有待提高。,-1,-1,321230
164,演技不错。,-1,-1,321240
165,安慰她们。,-1,-1,340390
166,表示理解。,-1,-1,340400
167,你还记得昏睡前最后看到的景象吗？,-1,-1,345100
168,塞布丽娜，你还有哪里不舒服吗？,-1,-1,345110
169,确实什么都没有。,-1,-1,360550
170,没有吗？是安娜吃得太快，你没有看清。,-1,-1,360560
171,他也不算撒谎。,-1,-1,386250
172,没错，恶魔之言罢了。,-1,-1,386260
173,那就陪她一会儿吧。,-1,-1,410310
174,我们没有时间了。,-1,-1,410320
175,这位团长大人是什么样的人？,-1,-1,420270
176,看来这位团长很不一般。,-1,-1,420280
177,没有受伤。,-1,-1,421240
178,脑袋有点疼。,-1,-1,421250
179,无法反驳……,-1,-1,425650
180,好像被坑了。,-1,-1,425660
181,大概是为了安定。,-1,-1,440520
182,大概是为了政权。,-1,-1,440530
183,看来骑士团危险了。,-1,-1,446030
184,也许只是一个意外。,-1,-1,446040
185,大声地重复一遍。,-1,-1,460470
186,风太大放弃交流。,-1,-1,460480
187,确实有点冷。,-1,-1,480100
188,和我想象中的骑士团不太一样。,-1,-1,480110
189,他是个值得尊敬的骑士。,-1,-1,485480
190,没有想到他会做出这样的选择。,-1,-1,485490
191,想听详细介绍。,-1,-1,610580
192,长话短说。,-1,-1,610590
