演出id,演出类型,立绘设置,参数
id,show_type,face_info,parm
number,number,array_|,string
101,1,1001,0.3
102,2,1001,0.3
103,3,1001,0.3
104,10,1001,0.3
105,11,1001,0.3
301,1,1003,0.3
302,2,1003,0.3
303,3,1003,0.3
304,10,1003,0.3
305,11,1003,0.3
401,1,1004,0.3
402,2,1004,0.3
403,3,1004,0.3
404,10,1004,0.3
405,11,1004,0.3
501,1,1005,0.3
502,2,1005,0.3
503,3,1005,0.3
504,10,1005,0.3
505,11,1005,0.3
601,1,1006,0.3
602,2,1006,0.3
603,3,1006,0.3
604,10,1006,0.3
605,11,1006,0.3
801,1,1008,0.3
802,2,1008,0.3
803,3,1008,0.3
804,10,1008,0.3
805,11,1008,0.3
901,1,1009,0.3
902,2,1009,0.3
903,3,1009,0.3
904,10,1009,0.3
905,11,1009,0.3
1501,1,1015,0.3
1502,2,1015,0.3
1503,3,1015,0.3
1504,10,1015,0.3
1505,11,1015,0.3
4401,1,1044,0.3
4402,2,1044,0.3
4403,3,1044,0.3
4404,10,1044,0.3
4405,11,1044,0.3
2031,1,2000003|1,0.3
2032,2,2000003,0.3
2033,3,2000003,0.3
2034,10,2000003,0.3
2035,11,2000003,0.3
2041,1,2000004,0.3
2042,2,2000004,0.3
2043,3,2000004,0.3
2044,10,2000004,0.3
2045,11,2000004,0.3
10701,1,10100007,0.3
10702,2,10100007,0.3
10703,3,10100007,0.3
10704,10,10100007,0.3
10705,11,10100007,0.3
10801,1,10100008,0.3
10802,2,10100008,0.3
10803,3,10100008,0.3
10804,10,10100008,0.3
10805,11,10100008,0.3
10901,1,10101008,0.3
10902,2,10101008,0.3
10903,3,10101008,0.3
10904,10,10101008,0.3
10905,11,10101008,0.3
11001,1,10101009,0.3
11002,2,10101009,0.3
11003,3,10101009,0.3
11004,10,10101009,0.3
11005,11,10101009,0.3
11101,1,10100010,0.3
11102,2,10100010,0.3
11103,3,10100010,0.3
11104,10,10100010,0.3
11105,11,10100010,0.3
11201,1,10101010,0.3
11202,2,10101010,0.3
11203,3,10101010,0.3
11204,10,10101010,0.3
11205,11,10101010,0.3
11301,1,10101011,0.3
11302,2,10101011,0.3
11303,3,10101011,0.3
11304,10,10101011,0.3
11305,11,10101011,0.3
11401,1,10101012,0.3
11402,2,10101012,0.3
11403,3,10101012,0.3
11404,10,10101012,0.3
11405,11,10101012,0.3
11501,1,10103020,0.3
11502,2,10103020,0.3
11503,3,10103020,0.3
11504,10,10103020,0.3
11505,11,10103020,0.3
11601,1,10103030,0.3
11602,2,10103030,0.3
11603,3,10103030,0.3
11604,10,10103030,0.3
11605,11,10103030,0.3
11701,1,als,0.3
11702,2,als,0.3
11703,3,als,0.3
11704,10,als,0.3
11705,11,als,0.3
11801,1,als0,0.3
11802,2,als0,0.3
11803,3,als0,0.3
11804,10,als0,0.3
11805,11,als0,0.3
11901,1,als1,0.3
11902,2,als1,0.3
11903,3,als1,0.3
11904,10,als1,0.3
11905,11,als1,0.3
12001,1,10102010,0.3
12002,2,10102010,0.3
12003,3,10102010,0.3
12004,10,10102010,0.3
12005,11,10102010,0.3
12101,1,10102020,0.3
12102,2,10102020,0.3
12103,3,10102020,0.3
12104,10,10102020,0.3
12105,11,10102020,0.3
12201,1,10102030,0.3
12202,2,10102030,0.3
12203,3,10102030,0.3
12204,10,10102030,0.3
12205,11,10102030,0.3
12301,1,101020301,0.3
12302,2,101020301,0.3
12303,3,101020301,0.3
12304,10,101020301,0.3
12305,11,101020301,0.3
12401,1,10102009,0.3
12402,2,10102009,0.3
12403,3,10102009,0.3
12404,10,10102009,0.3
12405,11,10102009,0.3
12501,1,101010091,0.3
12502,2,101010091,0.3
12503,3,101010091,0.3
12504,10,101010091,0.3
12505,11,101010091,0.3
12601,1,2000005,0.3
12602,2,2000005,0.3
12603,3,2000005,0.3
12604,10,2000005,0.3
12605,11,2000005,0.3
12701,1,1035,0.3
12702,2,1035,0.3
12703,3,1035,0.3
12704,10,1035,0.3
12705,11,1035,0.3
12801,1,1012,0.3
12802,2,1012,0.3
12803,3,1012,0.3
12804,10,1012,0.3
12805,11,1012,0.3
12901,1,1019,0.3
12902,2,1019,0.3
12903,3,1019,0.3
12904,10,1019,0.3
12905,11,1019,0.3
13001,1,1013,0.3
13002,2,1013,0.3
13003,3,1013,0.3
13004,10,1013,0.3
13005,11,1013,0.3
13101,1,10103008,0.3
13102,2,10103008,0.3
13103,3,10103008,0.3
13104,10,10103008,0.3
13105,11,10103008,0.3
13201,1,10103030,0.3
13202,2,10103030,0.3
13203,3,10103030,0.3
13204,10,10103030,0.3
13205,11,10103030,0.3
13301,1,1011,0.3
13302,2,1011,0.3
13303,3,1011,0.3
13304,10,1011,0.3
13305,11,1011,0.3
13401,1,10104020,0.3
13402,2,10104020,0.3
13403,3,10104020,0.3
13404,10,10104020,0.3
13405,11,10104020,0.3
13501,1,1022,0.3
13502,2,1022,0.3
13503,3,1022,0.3
13504,10,1022,0.3
13505,11,1022,0.3
13601,1,10105030,0.3
13602,2,10105030,0.3
13603,3,10105030,0.3
13604,10,10105030,0.3
13605,11,10105030,0.3
13701,1,10105010,0.3
13702,2,10105010,0.3
13703,3,10105010,0.3
13704,10,10105010,0.3
13705,11,10105010,0.3
13801,1,10105020,0.3
13802,2,10105020,0.3
13803,3,10105020,0.3
13804,10,10105020,0.3
13805,11,10105020,0.3
13901,1,als2,0.3
13902,2,als2,0.3
13903,3,als2,0.3
13904,10,als2,0.3
13905,11,als2,0.3
14001,1,10016,0.3
14002,2,10016,0.3
14003,3,10016,0.3
14004,10,10016,0.3
14005,11,10016,0.3
14101,1,10100018,0.3
14102,2,10100018,0.3
14103,3,10100018,0.3
14104,10,10100018,0.3
14105,11,10100018,0.3
14201,1,10103009,0.3
14202,2,10103009,0.3
14203,3,10103009,0.3
14204,10,10103009,0.3
14205,11,10103009,0.3
14301,1,10103011,0.3
14302,2,10103011,0.3
14303,3,10103011,0.3
14304,10,10103011,0.3
14305,11,10103011,0.3
14401,1,10105009,0.3
14402,2,10105009,0.3
14403,3,10105009,0.3
14404,10,10105009,0.3
14405,11,10105009,0.3
14501,1,10103003,0.3
14502,2,10103003,0.3
14503,3,10103003,0.3
14504,10,10103003,0.3
14505,11,10103003,0.3
14601,1,master1,0.3
14602,2,master1,0.3
14603,3,master1,0.3
14604,10,master1,0.3
14605,11,master1,0.3
14701,1,1021,0.3
14702,2,1021,0.3
14703,3,1021,0.3
14704,10,1021,0.3
14705,11,1021,0.3
14801,1,104202,0.3
14802,2,104202,0.3
14803,3,104202,0.3
14804,10,104202,0.3
14805,11,104202,0.3
14901,1,1031,0.3
14902,2,1031,0.3
14903,3,1031,0.3
14904,10,1031,0.3
14905,11,1031,0.3
15001,1,item5,0.3
15002,2,item5,0.3
15003,3,item5,0.3
15004,10,item5,0.3
15005,11,item5,0.3
15101,1,item3,0.3
15102,2,item3,0.3
15103,3,item3,0.3
15104,10,item3,0.3
15105,11,item3,0.3
15201,1,2000006,0.3
15202,2,2000006,0.3
15203,3,2000006,0.3
15204,10,2000006,0.3
15205,11,2000006,0.3
15301,1,item2,0.3
15302,2,item2,0.3
15303,3,item2,0.3
15304,10,item2,0.3
15305,11,item2,0.3
15401,1,item4,0.3
15402,2,item4,0.3
15403,3,item4,0.3
15404,10,item4,0.3
15405,11,item4,0.3
15501,1,item1,0.3
15502,2,item1,0.3
15503,3,item1,0.3
15504,10,item1,0.3
15505,11,item1,0.3
15601,1,item6,0.3
15602,2,item6,0.3
15603,3,item6,0.3
15604,10,item6,0.3
15605,11,item6,0.3
15701,1,1007,0.3
15702,2,1007,0.3
15703,3,1007,0.3
15704,10,1007,0.3
15705,11,1007,0.3
15801,1,1017,0.3
15802,2,1017,0.3
15803,3,1017,0.3
15804,10,1017,0.3
15805,11,1017,0.3
15901,1,11003001,0.3
15902,2,11003001,0.3
15903,3,11003001,0.3
15904,10,11003001,0.3
15905,11,11003001,0.3
16001,1,10103001,0.3
16002,2,10103001,0.3
16003,3,10103001,0.3
16004,10,10103001,0.3
16005,11,10103001,0.3
16101,1,10103002,0.3
16102,2,10103002,0.3
16103,3,10103002,0.3
16104,10,10103002,0.3
16105,11,10103002,0.3
16201,1,10103041,0.3
16202,2,10103041,0.3
16203,3,10103041,0.3
16204,10,10103041,0.3
16205,11,10103041,0.3
16301,1,1053,0.3
16302,2,1053,0.3
16303,3,1053,0.3
16304,10,1053,0.3
16305,11,1053,0.3
16401,1,11002010,0.3
16402,2,11002010,0.3
16403,3,11002010,0.3
16404,10,11002010,0.3
16405,11,11002010,0.3
16501,1,67201,0.3
16502,2,67201,0.3
16503,3,67201,0.3
16504,10,67201,0.3
16505,11,67201,0.3
16601,1,10440003,0.3
16602,2,10440003,0.3
16603,3,10440003,0.3
16604,10,10440003,0.3
16605,11,10440003,0.3
16701,1,2000002,0.3
16702,2,2000002,0.3
16703,3,2000002,0.3
16704,10,2000002,0.3
16705,11,2000002,0.3
16801,1,1001,0.3
16802,2,1001,0.3
16803,3,1001,0.3
16804,10,1001,0.3
