对话ID,回看头像id,名称,表情设置,字出现速度
id,head_id,talk_name,face_id,text_speed
number,number,string,number,number
10010,2000,安利丝,-1,0.01
10020,10010001,安娜,6,0.01
10030,10010001,安娜,14,0.01
10040,2000,安利丝,-1,0.01
10050,10010001,安娜,14,0.01
10110,110,？？？,-1,0.01
10130,10030001,希贝尔,-1,0.01
10140,2000,安利丝,-1,0.01
10150,10440001,雅努西娅,2,0.01
10160,10030001,希贝尔,5,0.01
10170,10010001,安娜,6,0.01
10210,2000004,小女孩,2,0.01
10220,10010001,安娜,6,0.01
10230,10030001,希贝尔,5,0.01
10240,10010001,安娜,6,0.01
10250,10030001,希贝尔,4,0.01
10260,10010001,安娜,1,0.01
10270,-1,-1,-1,0.01
10280,2000004,安迪,2,0.01
10290,10010001,安娜,1,0.01
10300,2000004,安迪,11,0.01
10310,10010001,安娜,6,0.01
10311,10440001,雅努西娅,11,0.01
10320,10030001,希贝尔,4,0.01
10330,10030001,希贝尔,5,0.01
10340,10010001,安娜,6,0.01
10360,2000,安利丝,-1,0.01
10370,10010001,安娜,6,0.01
10380,2000004,安迪,2,0.01
10381,10010001,安娜,6,0.01
10371,-1,-1,-1,0.01
10382,10030001,希贝尔,-1,0.01
10383,10010001,安娜,15,0.01
10384,10030001,希贝尔,2,0.01
10385,-1,-1,-1,0.01
10390,10100009,基露卜·奥古斯汀,-1,0.01
10410,10010001,安娜,14,0.01
10420,10100009,基露卜·奥古斯汀,-1,0.01
10430,10010001,安娜,14,0.01
10431,10030001,希贝尔,5,0.01
10440,10100009,基露卜·奥古斯汀,-1,0.01
10450,10030001,希贝尔,4,0.01
10460,10010001,安娜,14,0.01
10461,10440001,雅努西娅,5,0.01
10470,10100009,基露卜·奥古斯汀,-1,0.01
10480,10100009,基露卜·奥古斯汀,-1,0.01
10490,-1,-1,-1,0.01
10500,10010001,安娜,8,0.01
10510,10010001,安娜,8,0.01
10520,10100009,基露卜·奥古斯汀,-1,0.01
10530,10010001,安娜,14,0.01
10531,10030001,希贝尔,4,0.01
10532,10100009,基露卜·奥古斯汀,-1,0.01
10540,10010001,安娜,5,0.01
10541,-1,-1,-1,0.01
10550,10100009,基露卜·奥古斯汀,-1,0.01
10570,-1,-1,-1,0.01
10580,10010001,安娜,14,0.01
10600,10030001,希贝尔,4,0.01
10620,10010001,安娜,6,0.01
10630,10030001,希贝尔,4,0.01
10640,-1,-1,-1,0.01
10650,10440001,雅努西娅,-1,0.01
10651,2000004,安迪,-1,0.01
10652,10010001,安娜,7,0.01
10641,10010001,安娜,7,0.01
10653,10010001,安娜,7,0.01
10655,10030001,希贝尔,4,0.01
10660,-1,-1,-1,0.01
10670,10010001,安娜,-1,0.01
10680,-1,-1,-1,0.01
10690,10090001,玛丽,4,0.01
10700,10090001,玛丽,4,0.01
10720,10010001,安娜,6,0.01
10721,10010001,安娜,6,0.01
10722,10090001,玛丽,5,0.01
10724,10030001,希贝尔,4,0.01
10725,-1,-1,-1,0.01
10730,10090001,玛丽,4,0.01
10740,10030001,希贝尔,2,0.01
10741,10030001,希贝尔,2,0.01
10742,10030001,希贝尔,2,0.01
10848,2000004,安迪,2,0.01
10849,10090001,玛丽,4,0.01
10850,-1,-1,-1,0.01
10851,10090001,玛丽,4,0.01
10852,2000004,安迪,2,0.01
