序号,保底规则,重复规则,对应卡池的id,分类,抽奖次数,权重ID,额外增加后的概率,持续时间,消耗
id,pool_rule,Repetitive_rules,ListId,Type,Gashapon_times,Dropweight_id,Drop_plus,Time_id,cost
number,number,array_&,number,number,number,number,number,number,array_&
1001001,0,-1,0,1,1,100100101,-1,0,7000007&1
1001002,0,-1,0,1,1,100100201,-1,0,7000007&1
1001003,0,-1,0,1,1,100100301,-1,0,7000007&1
1001004,0,4&3,1,1,1,100100401,-1,0,7000007&1
1001011,0,-1,0,1,10,100101101,-1,0,7000007&10
1001012,0,-1,0,1,10,100101201,-1,0,7000007&10
1001013,0,-1,0,1,10,100101301,-1,0,7000007&10
1001014,3,4&3,1,1,10,100101401,-1,0,7000007&10
1001005,0,-1,0,1,1,100100501,200000003,0,7000007&1
1001015,3,4&3,0,1,10,100101501,200000004,0,7000007&10
2001001,0,-1,5,4,1,200100101,-1,0,1000008&50
2001011,0,-1,5,4,5,200101101,-1,0,1000008&250
2002001,0,-1,11,4,1,200100101,-1,0,1000008&50
2002011,0,-1,11,4,5,200101101,-1,0,1000008&250
2003001,0,-1,12,4,1,200100101,-1,0,1000008&50
2003011,0,-1,12,4,5,200101101,-1,0,1000008&250
2004001,0,-1,13,4,1,200100101,-1,0,1000008&50
2004011,0,-1,13,4,5,200101101,-1,0,1000008&250
2005001,0,-1,14,4,1,200100101,-1,0,1000008&50
2005011,0,-1,14,4,5,200101101,-1,0,1000008&250
2006001,0,-1,15,4,1,200100101,-1,0,1000008&50
2006011,0,-1,15,4,5,200101101,-1,0,1000008&250
2007001,0,-1,16,4,1,200100101,-1,0,1000008&50
2007011,0,-1,16,4,5,200101101,-1,0,1000008&250
2008001,0,-1,17,4,1,200100101,-1,0,1000008&50
2008011,0,-1,17,4,5,200101101,-1,0,1000008&250
2009001,0,-1,18,4,1,200100101,-1,0,1000008&50
2009011,0,-1,18,4,5,200101101,-1,0,1000008&250
2010001,0,-1,19,4,1,200100101,-1,0,1000008&50
2010011,0,-1,19,4,5,200101101,-1,0,1000008&250
2011001,0,-1,20,4,1,200100101,-1,0,1000008&50
2011011,0,-1,20,4,5,200101101,-1,0,1000008&250
2012001,0,-1,21,4,1,200100101,-1,0,1000008&50
2012011,0,-1,21,4,5,200101101,-1,0,1000008&250
2013001,0,-1,22,4,1,200100101,-1,0,1000008&50
2013011,0,-1,22,4,5,200101101,-1,0,1000008&250
2014001,0,-1,23,4,1,200100101,-1,0,1000008&50
2014011,0,-1,23,4,5,200101101,-1,0,1000008&250
1001016,3,3&2,6,1,10,990031,-1,0,1000002&50
2001006,0,-1,7,1,1,100100601,-1,0,7000007&1
2001016,3,4&3,7,1,10,100101601,-1,0,7000007&10
2001007,0,-1,8,1,1,100100701,-1,0,7000007&1
2001017,3,4&3,8,1,10,100101701,-1,0,7000007&10
2001008,0,-1,9,1,1,100100801,-1,0,7000007&1
2001018,3,4&3,9,1,10,100101801,-1,0,7000007&10
2001009,0,-1,10,1,1,100100901,-1,0,7000007&1
2001019,3,4&3,10,1,10,100101901,-1,0,7000007&10
3001001,0,-1,24,1,1,100301001,-1,0,7000007&1
3002001,3,4&3,24,1,10,100302001,-1,0,7000007&10
3001002,0,-1,25,1,1,100301002,-1,0,7000007&1
3002002,3,4&3,25,1,10,100302002,-1,0,7000007&10
3001003,0,-1,26,1,1,100301003,-1,0,7000007&1
3002003,3,4&3,26,1,10,100302003,-1,0,7000007&10
3001004,0,-1,27,1,1,100301004,-1,0,7000007&1
3002004,3,4&3,27,1,10,100302004,-1,0,7000007&10
4001001,0,-1,1001,1,1,100401001,-1,0,7000007&1
4002001,3,4&3,1001,1,10,100402001,-1,0,7000007&10
