id,排序,卡池分属,卡池分组,卡池魔女id,重复抽次数,保底对应掉落卡池,首抽必掉,对应卡池id,封面图片,持续时间,显示时间,规则id,前多少次必掉,递增权重,保底标识符,卡池生命周期,顶部资源显示标识符,定向池任务类型,banner标题&背景,卡池立绘,卡池标题,中保底（歪了第N次必中）
id,List,CardType,Card,Heroid,RepeatTimes,Card_grouping,FirstGashapon,Gashapon_id,Print,Time,ShowTime,RuleId,Previous_falls,Incremental_weight,Pool_tag,LifeCycle,Resources_tag,QuestType,LotteryBanner,LotteryStand,LotteryTitle,LotteryGift
number,number,number,number,number,number,number,number,array_|,string,number,number,number,array_&,array_&,number,number,number,number,array_&,array_&_|,array_&_|,array_&
1,6,1,1,-1,-1,100101401,99001,1001004|1001014,prefab_uiHome/sys/prefab_lottery_1,0,10160001,1001,-1,-1,1,0,1,0,img_zhaohuan_banner_05&text_zhaohuan_banner_08,-1,text_zhaohuan_banner_06&24&-313&0,-1
2,6,1,0,-1,-1,0,-1,1001004|1001014,prefab_uiHome/sys/prefab_lottery_3,101,10160002,1002,-1,-1,2,0,1,0,-1,-1,-1,-1
3,7,1,0,-1,-1,0,-1,1001004|1001014,prefab_uiHome/sys/prefab_lottery_2,101,10160003,1003,-1,-1,0,0,3,0,-1,-1,-1,-1
4,8,1,1,-1,-1,100101501,-1,1001005|1001015,prefab_uiHome/sys/prefab_lottery_4,101,10160004,1004,-1,-1,1,0,2,0,-1,-1,-1,-1
5,0,2,0,-1,-1,0,-1,2001001|2001011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
6,1,1,0,-1,10,0,99003,1001016,prefab_uiHome/sys/prefab_lottery_6,0,10160006,1001,-1,-1,1,10,9,0,img_zhaohuan_banner_01&img_zhaohuan_banner_06,-1,text_zhaohuan_banner_06&24&-313&0,-1
7,2,1,1,1013,-1,100101601,-1,2001006|2001016,prefab_uiHome/sys/prefab_lottery_7,101,10160007,1004,-1,-1,1,0,2,0,img_zhaohuan_banner_02&text_zhaohuan_banner_03,img_zhaohuan_xingshou_02&0&-323&1&0.5&0,text_zhaohuan_banner_06&24&-313&0,2&1013
8,3,1,1,1023,-1,100101701,-1,2001007|2001017,prefab_uiHome/sys/prefab_lottery_9,101,10160008,1005,-1,-1,1,0,2,0,img_zhaohuan_banner_04&text_zhaohuan_banner_05,shouci_4&0&-323&1&0.5&0,text_zhaohuan_banner_06&24&-313&0,2&1023
9,4,1,1,1025,-1,100101801,-1,2001008|2001018,prefab_uiHome/sys/prefab_lottery_8,101,10160009,1006,-1,-1,1,0,2,0,img_zhaohuan_banner_03&text_zhaohuan_banner_04,shouci_4&0&-323&1&0.5&0,text_zhaohuan_banner_07&24&-313&0,2&1025
10,2,1,1,1044,-1,100101901,-1,2001009|2001019,prefab_uiHome/sys/prefab_lottery_10,37002,10160007,4001,-1,-1,1,0,5,901,img_zhaohuan_banner_06&text_zhaohuan_banner_10,Img_ZhaoHuan_Guang_3&0&-183&0.9&0.5&1,text_zhaohuan_hunchi_biaoti10&24&-313&0,2&1044
11,0,2,0,-1,-1,0,-1,2002001|2002011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
12,0,2,0,-1,-1,0,-1,2003001|2003011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
13,0,2,0,-1,-1,0,-1,2004001|2004011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
14,0,2,0,-1,-1,0,-1,2005001|2005011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
15,0,2,0,-1,-1,0,-1,2006001|2006011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
16,0,2,0,-1,-1,0,-1,2007001|2007011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
17,0,2,0,-1,-1,0,-1,2008001|2008011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
18,0,2,0,-1,-1,0,-1,2009001|2009011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
19,0,2,0,-1,-1,0,-1,2010001|2010011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
20,0,2,0,-1,-1,0,-1,2011001|2011011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
21,0,2,0,-1,-1,0,-1,2012001|2012011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
22,0,2,0,-1,-1,0,-1,2013001|2013011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
23,0,2,0,-1,-1,0,-1,2014001|2014011,0.0,0,10160005,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
24,3,1,1,1035,-1,100302001,-1,3001001|3002001,prefab_uiHome/sys/prefab_lottery_9,10001,10160009,1006,-1,-1,1,0,2,0,img_zhaohuan_banner_08&img_zhaohuan_banner_11,body_1035&26&39&1&0.5&1,img_zhaohuan_rongguangshengdun_biaoti_6&24&-313&0,2&1035
25,3,1,1,1021,-1,100302002,-1,3001002|3002002,prefab_uiHome/sys/prefab_lottery_9,10002,10160009,1006,-1,-1,1,0,2,0,img_zhaohuan_banner_09&img_zhaohuan_banner_12,body_1021&39&-238&0.8&0.5&1,img_zhaohuan_yonghengqiangwei_biaoti_7&24&-313&0,2&1021
26,3,1,1,1024,-1,100302003,-1,3001003|3002003,prefab_uiHome/sys/prefab_lottery_9,10003,10160009,1006,-1,-1,1,0,2,0,img_zhaohuan_banner_10&img_zhaohuan_banner_13,body_1024&0&-364&0.8&0.5&1,img_zhaohuan_jiliemoying_biaoti_5&24&-313&0,2&1024
