id,种类,掉落物品（舍弃）,掉落物品,兑换码生效时间,兑换码失效时间
id,Type,Dropitem_id,Awards,begin_time,date
number,number,number,array_&_|,string,string
1,1,99000015,4&1000002&10|4&1000001&1000,2020/8/20 00:00:00,2021/12/20 00:00:00
2,1,99000015,4&1000002&20|4&1000001&2000,2020/8/20 00:00:00,2021/12/20 00:00:00
3,1,99000015,4&1000002&30|4&1000001&3000,2020/8/20 00:00:00,2021/12/20 00:00:00
4,2,99000015,4&1000002&40|4&1000001&4000,2020/8/20 00:00:00,2021/12/20 00:00:00
5,2,99000015,4&1000002&50|4&1000001&5000,2020/8/20 00:00:00,2021/12/20 00:00:00
6,2,99000015,4&1000002&60|4&1000001&6000,2020/8/20 00:00:00,2021/12/20 00:00:00
7,1,99000015,4&1000002&70|4&1000001&7000,2020/8/20 00:00:00,2021/12/20 00:00:00
8,1,99000015,4&1000002&80|4&1000001&8000,2020/8/20 00:00:00,2021/12/31 00:00:00
9,1,99000015,4&1000002&2233|4&1000001&2233,2020/8/20 00:00:00,2021/12/31 00:00:00
10,2,99000015,4&1000002&2233|4&1000001&2233,2020/8/20 00:00:00,2021/12/31 00:00:00
