ID,玩家等级,魔女ID,法典等级,符石
id,level,witchid,buildlevel,equip
number,number,array_&_|,number,array_&_|
1,25,1003&2&25&9|1013&3&25&9|1023&3&25&9,3,7772611&2|7772612&2|7772613&2|7772614&2|7772615&2|7772616&2
2,30,1003&3&30&11|1013&3&30&11|1023&3&30&11,6,7772611&5|7772612&5|7772613&5|7772614&5|7772615&5|7772616&5
3,35,1003&4&35&12|1013&3&35&12|1023&3&35&12,9,7772611&10|7772612&10|7772613&10|7772614&10|7772615&10|7772616&10
4,40,1003&5&40&14|1010&3&40&14|1023&3&40&14,12,7770121&5|7770122&5|7770123&5|7770124&5|7770125&5|7770126&5
5,45,1003&5&45&16|1010&3&45&16|1023&3&45&16,15,7770121&10|7770122&10|7770123&10|7770124&10|7770125&10|7770126&10
6,50,1003&6&50&17|1010&3&50&17|1023&3&50&17,18,7770131&5|7770132&5|7770133&5|7770134&5|7770135&5|7770136&5
7,55,1003&6&55&19|1010&4&55&19|1023&4&55&19,21,7770131&10|7770132&10|7770133&10|7770134&10|7770135&10|7770136&10
8,60,1003&6&60&20|1010&4&60&20|1023&4&60&20,24,7770131&15|7770132&15|7770133&15|7770134&15|7770135&15|7770136&15
9,65,1003&6&65&20|1010&4&65&20|1023&4&65&20,27,7770141&6|7770142&6|7770143&6|7770144&6|7770145&6|7770146&6
10,70,1003&6&70&20|1010&5&70&20|1023&5&70&20,30,7770141&10|7770142&10|7770143&10|7770144&10|7770145&10|7770146&10
11,75,1003&6&75&20|1010&5&75&20|1023&5&75&20,33,7770141&14|7770142&14|7770143&14|7770144&14|7770145&14|7770146&14
12,80,1003&6&80&20|1010&5&80&20|1023&5&80&20,36,7770141&15|7770142&15|7770143&15|7770144&15|7770145&15|7770146&15
