步骤id,大组id,小组id,下一个大组,引导类型,介绍面板,触发条件,完成条件,所在场景,引导强制圈可去除,引导范围,引导范围偏移,目标界面UID,点击的UI名称,结算界面退出指向,手指偏移位置,UI层级Order,对话文字,对话形象Spine,提交节点,引导掉落,是否触发点击事件,跳转指定魔女,是否允许跳过
id,GroupId,Step,NextGroup,Type,IntroduceBoard,OpenCondition,Complete,InSceneId,GuidanceRangeDisplay,GuidanceRange,GuidanceDeviation,IsSameUI,ButtonName,ExitTo,FingerPion,orderInLayer,Talk,TalkSpine,SubMit,GuideStepDrop,TriggerEvent,JumpWitch,IsSkip
number,number,number,number,number,string,array_&,array_&,number,number,array_&,array_&,number,string,number,array_&,int,number,number,number,number,number,number,number
1,10001,1,10002,1,-1,-1,1&100001,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170001,0,0,0,1,0,0
2,10002,1,10003,1,-1,-1,1&100101,2,1,160&160,0&-45,2,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,10170002,0,0,0,1,0,0
3,10002,2,10003,1,-1,-1,1&100101,2,1,950&200,0&-18,2,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,10170006,0,0,0,1,0,0
4,10002,3,10003,1,-1,-1,1&100101,2,1,835&170,-1,2,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/scrollview/viewport/content/cell_1,0,-1,3300,10170007,0,0,0,1,0,0
5,10002,4,10003,1,-1,-1,1&100101,2,1,-1,-1,2,prefab_canvas(Clone)/_layer/LevelLayer/button_fight,0,-1,3300,-1,0,1,0,1,0,0
6,10003,1,10004,1,-1,-1,1&100101,1,1,-1,-1,0,Canvas/_component/UnlockEffectLayer/button_back,0,0&-500,3300,-1,0,0,0,1,0,0
7,10003,2,10004,1,-1,4&4,1&100101,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,0,0,1,0,0
8,10004,1,10005,1,-1,-1,8&1003,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonExplore,0,-1,3300,10170004,0,0,0,1,0,0
9,10004,2,10005,1,-1,-1,8&1003,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LotteryLayer/content/lottery_1/button_click,0,-1,3300,10170005,0,0,0,1,0,0
10,10004,3,10005,1,-1,-1,8&1003,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LotteryEffectLayer/button_skip,0,-1,3300,-1,0,1,0,1,0,0
11,10004,4,10005,1,-1,4&4,8&1003,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LotteryResultLayer/container/button_ok,0,-1,3300,-1,0,0,0,1,0,0
12,10004,5,10005,1,-1,4&4,8&1003,2,1,-1,-1,1,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,0
13,10005,1,0,1,-1,-1,1&100102,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,10170016,0,1,0,1,0,0
14,10005,2,0,1,-1,-1,1&100102,2,1,950&200,0&-18,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,-1,0,0,0,1,0,0
15,10005,3,0,1,-1,-1,1&100102,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/scrollview/viewport/content/cell_2,0,-1,3300,-1,0,0,0,1,0,0
16,10005,4,0,1,-1,-1,1&100102,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LevelLayer/info_self/heroitem_2,0,-1,3300,10170017,0,0,0,1,0,0
113001,1103,1,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,10170009,0,1,0,1,0,0
113002,1103,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/info_level/button_lv,0,-1,3300,-1,0,0,0,1,0,0
113003,1103,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/WitchNewLvUpLayer/container/info_item/item_1,0,-1,3300,10170011,0,0,0,1,0,0
113004,1103,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/WitchNewLvUpLayer/button_back,0,0&-300,3300,10170012,0,1,0,1,0,0
113005,1103,5,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,10170003,0,0,0,1,0,0
10001,101,1,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,-1,3300,10170035,0,0,500101,1,0,1
10002,101,2,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EquipForgeLayer/EquipEnchantLayer/container_materials/container/item1,0,-1,3300,10170036,0,0,0,1,0,1
10003,101,3,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EquipForgeLayer/EquipEnchantLayer/button_enchant,0,-1,3300,10170037,0,0,0,1,0,1
10004,101,4,0,2,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,-1,3300,10170038,0,0,0,0,0,1
11001,201,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170039,0,0,0,1,0,1
11002,201,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonAchieve/eventBtn,0,-1,3300,10170040,0,0,0,1,0,1
11003,201,3,0,1,-1,3&2406,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-360,3300,-1,0,0,0,1,0,1
11004,201,4,0,1,-1,4&4,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,-1,3300,10170041,0,0,0,1,0,1
11005,201,5,0,1,-1,-1,-1,2,1,950&200,0&-18,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,-1,0,0,0,1,0,1
11006,201,6,0,1,-1,-1,-1,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/scrollview/viewport/content/cell_3,0,-1,3300,-1,0,0,0,1,0,1
11007,201,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LevelLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
12001,301,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170042,0,0,0,1,0,1
12002,301,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,-1,0,0,0,1,1003,1
12003,301,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/main_buttons/button_stone,0,-1,3300,10170044,0,0,0,1,0,1
12004,301,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchEquipLayer/trans_ui_parent/EquipCircleLayer/prefab_equip_1,0,-1,3300,10170045,0,0,0,1,0,1
12005,301,5,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/EquipSelectLayer/equip_pnl/TableViewController/TableView/Content/cell_1/prefab_1,0,-1,3300,10170046,0,0,0,1,0,1
13001,401,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170047,0,0,0,1,0,1
13002,401,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonNewerTask,0,-80&0,3300,-1,0,0,0,1,0,1
13003,401,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/NewerTaskLayer/container/scrollview_tasks/viewport/content/item_task(Clone)/button_recv,0,-1,3300,10170049,0,1,0,1,0,1
13004,401,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-200,3300,-1,0,0,0,1,0,1
13005,401,5,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/NewerTaskLayer/container/cur_int_bg,0,-1,3300,10170051,0,0,0,0,0,1
14001,501,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170052,0,0,0,1,0,1
14002,501,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,-1,0,0,0,1,1003,1
14003,501,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/main_buttons/btn_skill_show,0,-1,3300,-1,0,0,0,1,0,1
14004,501,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchSkillNewLayer/container/skill_info/info_study/btn_upgrade,0,-1,3300,10170055,0,0,0,1,0,1
14005,501,5,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/SkillUpLayer/container/btn_yes,0,-1,3300,10170056,0,0,0,1,0,1
14006,501,6,0,1,-1,3&1302,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/SkillUpLayer/container/btn_no,0,-1,3300,-1,0,0,0,1,0,1
14007,501,7,0,1,-1,5&0.4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,1
14008,501,8,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,1
14009,501,9,0,1,-1,4&4,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,-1,3300,-1,0,0,0,1,0,1
14010,501,10,0,1,-1,-1,-1,2,1,950&200,0&-18,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,-1,0,0,0,1,0,1
14011,501,11,0,1,-1,-1,-1,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/scrollview/viewport/content/cell_6,0,-1,3300,-1,0,0,0,1,0,1
14012,501,12,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LevelLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
15001,601,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170057,0,0,0,1,0,1
15002,601,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
15003,601,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/info_types/show_type_2,0,-1,3300,10170059,0,0,0,1,0,1
15004,601,4,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/ScrollView/Viewport/Content/item3,0,-1,3300,10170060,0,0,0,0,0,1
15005,601,5,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/ScrollView/Viewport/Content/item2,0,-1,3300,10170061,0,0,0,0,0,1
70401,704,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170062,0,0,0,1,0,1
70402,704,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
70403,704,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_2,0,-1,3300,-1,0,0,0,1,0,1
70404,704,4,0,1,-1,4&4,-1,2,1,960&200,5&0,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,10170065,0,0,0,1,0,1
70405,704,5,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/pnl_remain/button_click,0,-1,3300,10170063,0,0,0,1,0,1
70406,704,6,0,1,-1,4&4,-1,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/scrollview/viewport/content/item1/button_click,0,-1,3300,-1,0,0,0,1,0,1
