魔女id,层级,基础加成,弹幕加成
id,order,attr_add,build_add
number,number,array_&_|,array_&_|
1001,1,39&1.6|39&1|39&1.3|39&1.6|39&2|39&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1002,2,41&2.2|41&1.7|41&2.2|41&2.6|41&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1003,2,42&2.2|42&1.7|42&2.2|42&2.6|42&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1004,4,40&1.6|40&1|40&1.3|40&1.6|40&2|40&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1005,1,41&1.6|41&1|41&1.3|41&1.6|41&2|41&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1006,6,42&1.6|42&1|42&1.3|42&1.6|42&2|42&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1007,6,43&1.6|43&1|43&1.3|43&1.6|43&2|43&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1008,4,43&2.2|43&1.7|43&2.2|43&2.6|43&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1009,3,43&3|43&3|43&3.6|43&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1010,5,39&3|39&3|39&3.6|39&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1011,4,40&2.2|40&1.7|40&2.2|40&2.6|40&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1012,4,40&1.6|40&1|40&1.3|40&1.6|40&2|40&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1013,3,40&3|40&3|40&3.6|40&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1014,3,39&2.2|39&1.7|39&2.2|39&2.6|39&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1015,1,41&1.6|41&1|41&1.3|41&1.6|41&2|41&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1016,5,40&2.2|40&1.7|40&2.2|40&2.6|40&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1017,2,42&1.6|42&1|42&1.3|42&1.6|42&2|42&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1018,6,43&1.6|43&1|43&1.3|43&1.6|43&2|43&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1019,1,41&2.2|41&1.7|41&2.2|41&2.6|41&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1020,5,39&1.6|39&1|39&1.3|39&1.6|39&2|39&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1021,4,41&3|41&3|41&3.6|41&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1022,3,42&3|42&3|42&3.6|42&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1023,2,43&3|43&3|43&3.6|43&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1024,4,39&3|39&3|39&3.6|39&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1025,2,40&3|40&3|40&3.6|40&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1028,5,42&2.2|42&1.7|42&2.2|42&2.6|42&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1030,1,43&1.6|43&1|43&1.3|43&1.6|43&2|43&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1035,1,41&3|41&3|41&3.6|41&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1036,6,39&2.2|39&1.7|39&2.2|39&2.6|39&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1038,5,40&2.2|40&1.7|40&2.2|40&2.6|40&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1039,5,39&1.6|39&1|39&1.3|39&1.6|39&2|39&2.3,2&10|2&6|2&8|2&10|2&12|2&14
1042,3,41&2.2|41&1.7|41&2.2|41&2.6|41&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1044,3,42&3|42&3|42&3.6|42&4.2,2&21.7|2&21.7|2&26.1|2&30.4
1045,2,42&2.2|42&1.7|42&2.2|42&2.6|42&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1031,3,41&2.2|41&1.7|41&2.2|41&2.6|41&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1050,3,39&2.2|39&1.7|39&2.2|39&2.6|39&3.1,2&14.8|2&11.9|2&14.8|2&17.8|2&20.7
1026,2,39&3|39&3|39&3.6|39&4.2,2&21.7|2&21.7|2&26.1|2&30.4
