id,魔女id,解锁条件,解锁条件2特殊配置,解锁奖励,升级消耗组,心之纹章额外技能,心之纹章技能图标
id,heroID,unlocking_condition,condition2,unlocking_award,cost_group,heart_skill,heart_skill_icon
number,number,array_&_|,array_&,array_&,number,array_&_|,array_|
1,1001,1&2&0,-1,4&1000002&10,101,-1,-1
2,1001,1&5&0|4&1001&35,-1,4&1000002&20,201,-1,-1
3,1001,1&8&0|4&1001&40,-1,4&1000002&20,301,-1,-1
4,1001,1&12&0|3&1002&0,-1,4&1000002&25,401,-1,-1
5,1001,1&18&0,1002&20030801,4&1000002&25,501,-1,-1
6,1001,5&35&0|4&1001&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
7,1002,1&2&0,-1,4&1000002&10,101,-1,-1
8,1002,1&5&0|4&1002&35,-1,4&1000002&20,201,-1,-1
9,1002,1&8&0|4&1002&40,-1,4&1000002&20,301,-1,-1
10,1002,1&12&0|3&1003&0,-1,4&1000002&25,401,-1,-1
11,1002,1&18&0,1035&30030801,4&1000002&25,501,-1,-1
12,1002,5&35&0|4&1002&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
13,1003,1&2&0,-1,4&1000002&10,101,-1,-1
14,1003,1&5&0|4&1003&35,-1,4&1000002&20,201,-1,-1
15,1003,1&8&0|4&1003&40,-1,4&1000002&20,301,-1,-1
16,1003,1&12&0|3&1004&0,-1,4&1000002&25,401,-1,-1
17,1003,1&18&0,1009&40030801,4&1000002&25,501,-1,-1
18,1003,5&35&0|4&1003&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
19,1004,1&2&0,-1,4&1000002&10,101,-1,-1
20,1004,1&5&0|4&1004&35,-1,4&1000002&20,201,-1,-1
21,1004,1&8&0|4&1004&40,-1,4&1000002&20,301,-1,-1
22,1004,1&12&0|3&1005&0,-1,4&1000002&25,401,-1,-1
23,1004,1&18&0,1005&50030801,4&1000002&25,501,-1,-1
24,1004,5&35&0|4&1004&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
