唯一ID,组id,等级,材料1&数量,材料2&数量,消耗金币,对应的技能id
id,groupid,level,cost_1,cost_2,money,skillpass_out
number,number,number,array_&,array_&,array_&,number
1,101,1,4801001&3,-1,1000001&1000,5010101
2,101,2,4801001&5,-1,1000001&3000,5010102
3,101,3,4801001&7,-1,1000001&5000,5010103
4,101,4,4801001&9,-1,1000001&8000,5010104
5,101,5,4801001&12,-1,1000001&10000,5010105
6,101,6,4801001&15,4801002&3,1000001&12000,5010106
7,101,7,4801001&18,4801002&5,1000001&15000,5010107
8,101,8,4801001&21,4801002&7,1000001&18000,5010108
9,101,9,4801001&24,4801002&9,1000001&20000,5010109
10,101,10,4801001&27,4801002&12,-1,5010110
11,201,1,4801001&7,4801002&3,1000001&1000,5020101
12,201,2,4801001&9,4801002&5,1000001&3000,5020102
13,201,3,4801001&12,4801002&7,1000001&5000,5020103
14,201,4,4801001&15,4801002&9,1000001&8000,5020104
15,201,5,4801001&18,4801002&12,1000001&10000,5020105
16,201,6,4801001&15,4801003&3,1000001&12000,5020106
17,201,7,4801001&18,4801003&5,1000001&15000,5020107
18,201,8,4801001&21,4801003&7,1000001&18000,5020108
19,201,9,4801001&24,4801003&9,1000001&20000,5020109
20,201,10,4801001&27,4801003&12,-1,5020110
21,301,1,4801002&7,4801003&3,1000001&1000,5030101
22,301,2,4801002&9,4801003&5,1000001&3000,5030102
23,301,3,4801002&12,4801003&7,1000001&5000,5030103
24,301,4,4801002&15,4801003&9,1000001&8000,5030104
25,301,5,4801002&18,4801003&12,1000001&10000,5030105
26,301,6,4801003&15,4801004&3,1000001&12000,5030106
27,301,7,4801003&18,4801004&5,1000001&15000,5030107
28,301,8,4801003&21,4801004&7,1000001&18000,5030108
29,301,9,4801003&24,4801004&9,1000001&20000,5030109
30,301,10,4801003&27,4801004&12,-1,5030110
31,401,1,4801004&1,-1,1000001&1000,5040101
32,401,2,4801004&3,-1,1000001&3000,5040102
33,401,3,4801004&5,4802001&6,1000001&5000,5040103
34,401,4,4801004&7,4802002&9,1000001&8000,5040104
35,401,5,4801004&9,4802003&12,1000001&10000,5040105
36,401,6,4801004&12,4802004&15,1000001&12000,5040106
37,401,7,4801004&15,4802001&18,1000001&15000,5040107
38,401,8,4801004&18,4802002&21,1000001&18000,5040108
39,401,9,4801004&21,4802003&24,1000001&20000,5040109
40,401,10,4801004&24,4802004&27,-1,5040110
41,501,1,4801004&3,-1,1000001&1000,5050101
42,501,2,4801004&5,-1,1000001&3000,5050102
43,501,3,4801004&7,4802005&6,1000001&5000,5050103
44,501,4,4801004&9,4802006&9,1000001&8000,5050104
45,501,5,4801004&12,4802007&12,1000001&10000,5050105
46,501,6,4801004&15,4802008&15,1000001&12000,5050106
47,501,7,4801004&18,4802005&18,1000001&15000,5050107
48,501,8,4801004&21,4802006&21,1000001&18000,5050108
49,501,9,4801004&24,4802007&24,1000001&20000,5050109
50,501,10,4801004&27,4802008&27,-1,5050110
51,601,1,4803001&8,4803002&10,1000001&1000,5060101
52,601,2,4803002&10,4803003&12,1000001&3000,5060102
53,601,3,4803001&12,4803003&14,1000001&5000,5060103
54,601,4,4803004&8,4803005&10,1000001&8000,5060104
55,601,5,4803005&10,4803006&12,1000001&10000,5060105
56,601,6,4803004&12,4803006&14,1000001&12000,5060106
57,601,7,4803007&8,4803008&10,1000001&15000,5060107
58,601,8,4803008&10,4803009&12,1000001&18000,5060108
59,601,9,4803007&12,4803009&14,1000001&20000,5060109
60,601,10,4803007&14,4803008&16,-1,5060110
61,611,1,4803004&8,4803005&10,1000001&1000,5061101
62,611,2,4803005&10,4803006&12,1000001&3000,5061102
63,611,3,4803004&12,4803006&14,1000001&5000,5061103
64,611,4,4803007&8,4803008&10,1000001&8000,5061104
65,611,5,4803008&10,4803009&12,1000001&10000,5061105
66,611,6,4803007&12,4803009&14,1000001&12000,5061106
67,611,7,4803001&8,4803002&10,1000001&15000,5061107
68,611,8,4803002&10,4803003&12,1000001&18000,5061108
69,611,9,4803001&12,4803003&14,1000001&20000,5061109
70,611,10,4803001&14,4803002&16,-1,5061110
71,621,1,4803007&8,4803008&10,1000001&1000,5062101
72,621,2,4803008&10,4803009&12,1000001&3000,5062102
73,621,3,4803007&12,4803009&14,1000001&5000,5062103
74,621,4,4803001&8,4803002&10,1000001&8000,5062104
75,621,5,4803002&10,4803003&12,1000001&10000,5062105
76,621,6,4803001&12,4803003&14,1000001&12000,5062106
77,621,7,4803004&8,4803005&10,1000001&15000,5062107
78,621,8,4803005&10,4803006&12,1000001&18000,5062108
79,621,9,4803004&12,4803006&14,1000001&20000,5062109
80,621,10,4803004&14,4803005&16,-1,5062110
