id,组,等级,经验,奖励,解锁音乐厅加成效果,好感关系,解锁表情,对话,语音
id,group,level,exp,award,music_award,relation,unlock_face,dialogue,voice
number,number,number,number,array_&_|,array_|,number,number,number,string
1,1001,1,5,4&1000002&5|4&3000001&3,-1,20180001,-1,10180001,1001015.0
2,1001,2,15,4&1000002&5,-1,20180002,-1,10180002,1001016.0
3,1001,3,30,4&1000002&5|4&3000001&3,-1,20180002,-1,10180003,1001016.0
4,1001,4,80,4&1000002&5,-1,20180003,-1,10180004,1001017.0
5,1001,5,160,4&1000002&5|4&3000001&3,-1,20180003,-1,10180005,1001017.0
6,1001,6,280,4&1000002&5,-1,20180004,-1,10180006,1001018.0
7,1001,7,440,4&1000002&5|4&3000001&5,-1,20180004,-1,10180007,1001018.0
8,1001,8,640,4&1000002&5,-1,20180005,-1,10180008,1001019.0
9,1001,9,840,4&1000002&5,-1,20180005,-1,10180009,1001019.0
10,1001,10,1040,4&1000002&5|4&3000001&5,-1,20180005,-1,10180010,1001019.0
11,1001,11,1240,4&1000002&5,-1,20180006,-1,10180011,1001020.0
12,1001,12,1540,4&1000002&5,-1,20180006,-1,10180012,1001020.0
13,1001,13,1840,4&1000002&5|4&3000001&5,-1,20180006,-1,10180013,1001020.0
14,1001,14,2140,4&1000002&5,-1,20180007,-1,10180014,1001021.0
15,1001,15,2440,4&1000002&5,-1,20180007,-1,10180015,1001021.0
16,1001,16,2740,4&1000002&5|4&3000001&8,-1,20180007,-1,10180016,1001021.0
17,1001,17,3040,4&1000002&5,-1,20180008,-1,10180017,1001022.0
18,1001,18,3340,4&1000002&5,-1,20180008,-1,10180018,1001022.0
19,1001,19,3640,4&1000002&5|4&3000001&8,-1,20180008,-1,10180019,1001022.0
20,1001,20,-1,-1,-1,20180009,-1,10180020,1001023.0
21,1002,1,5,4&1000002&8|4&3000002&3,-1,20180001,-1,10180021,1002015.0
22,1002,2,15,4&1000002&8,-1,20180002,-1,10180022,1002016.0
23,1002,3,30,4&1000002&8|4&3000002&3,-1,20180002,-1,10180023,1002016.0
24,1002,4,80,4&1000002&8,-1,20180003,-1,10180024,1002017.0
25,1002,5,160,4&1000002&8|4&3000002&3,-1,20180003,-1,10180025,1002017.0
26,1002,6,280,4&1000002&8,-1,20180004,-1,10180026,1002018.0
27,1002,7,440,4&1000002&8|4&3000002&5,-1,20180004,-1,10180027,1002018.0
28,1002,8,640,4&1000002&8,-1,20180005,-1,10180028,1002019.0
29,1002,9,840,4&1000002&8,-1,20180005,-1,10180029,1002019.0
30,1002,10,1040,4&1000002&8|4&3000002&5,-1,20180005,-1,10180030,1002019.0
31,1002,11,1240,4&1000002&8,-1,20180006,-1,10180031,1002020.0
32,1002,12,1540,4&1000002&8,-1,20180006,-1,10180032,1002020.0
33,1002,13,1840,4&1000002&8|4&3000002&5,-1,20180006,-1,10180033,1002020.0
34,1002,14,2140,4&1000002&8,-1,20180007,-1,10180034,1002021.0
35,1002,15,2440,4&1000002&8,-1,20180007,-1,10180035,1002021.0
36,1002,16,2740,4&1000002&8|4&3000002&8,-1,20180007,-1,10180036,1002021.0
37,1002,17,3040,4&1000002&8,-1,20180008,-1,10180037,1002022.0
38,1002,18,3340,4&1000002&8,-1,20180008,-1,10180038,1002022.0
39,1002,19,3640,4&1000002&8|4&3000002&8,-1,20180008,-1,10180039,1002022.0
40,1002,20,-1,-1,-1,20180009,-1,10180040,1002023.0
41,1003,1,5,4&1000002&8|4&3000003&3,-1,20180001,-1,10180041,1003015.0
42,1003,2,15,4&1000002&8,-1,20180002,-1,10180042,1003016.0
43,1003,3,30,4&1000002&8|4&3000003&3,-1,20180002,-1,10180043,1003016.0
44,1003,4,80,4&1000002&8,-1,20180003,-1,10180044,1003017.0
45,1003,5,160,4&1000002&8|4&3000003&3,-1,20180003,-1,10180045,1003017.0
46,1003,6,280,4&1000002&8,-1,20180004,-1,10180046,1003018.0
47,1003,7,440,4&1000002&8|4&3000003&5,-1,20180004,-1,10180047,1003018.0
48,1003,8,640,4&1000002&8,-1,20180005,-1,10180048,1003019.0
49,1003,9,840,4&1000002&8,-1,20180005,-1,10180049,1003019.0
50,1003,10,1040,4&1000002&8|4&3000003&5,-1,20180005,-1,10180050,1003019.0
51,1003,11,1240,4&1000002&8,-1,20180006,-1,10180051,1003020.0
52,1003,12,1540,4&1000002&8,-1,20180006,-1,10180052,1003020.0
53,1003,13,1840,4&1000002&8|4&3000003&5,-1,20180006,-1,10180053,1003020.0
54,1003,14,2140,4&1000002&8,-1,20180007,-1,10180054,1003021.0
55,1003,15,2440,4&1000002&8,-1,20180007,-1,10180055,1003021.0
56,1003,16,2740,4&1000002&8|4&3000003&8,-1,20180007,-1,10180056,1003021.0
57,1003,17,3040,4&1000002&8,-1,20180008,-1,10180057,1003022.0
58,1003,18,3340,4&1000002&8,-1,20180008,-1,10180058,1003022.0
59,1003,19,3640,4&1000002&8|4&3000003&8,-1,20180008,-1,10180059,1003022.0
60,1003,20,-1,-1,-1,20180009,-1,10180060,1003023.0
61,1004,1,5,4&1000002&5|4&3000004&3,-1,20180001,-1,10180061,1004015.0
62,1004,2,15,4&1000002&5,-1,20180002,-1,10180062,1004016.0
