关卡buffID,持续扣血,减属性,中立弹幕攻击,增伤,碰到对应类型怪时候秒杀,加属性,敌人子弹加速,神火减少,减伤
id,buff1,buff2,buff3,buff4,buff5,buff6,buff7,buff8,buff9
number,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|
1001,1|1|5|3|1|19,-1,-1,-1,-1,-1,-1,-1,-1
1002,-1,-1,8|9001,-1,-1,-1,-1,-1,-1
1003,-1,5|1|50|3|1|1|15,-1,-1,-1,-1,-1,-1,-1
1004,-1,-1,-1,-1,-1,-1,-1,1|25|1,-1
1005,-1,-1,10|9002,-1,-1,-1,-1,-1,-1
1006,1|1|9999999|1|2|18,-1,-1,-1,-1,-1,-1,-1,-1
1007,-1,-1,-1,200,-1,-1,-1,-1,-1
1008,-1,-1,-1,-1,1|2,-1,-1,-1,-1
1009,-1,-1,32|9003,-1,-1,-1,-1,-1,-1
1010,-1,-1,-1,-1,-1,5|1|100|999999|1|4#1,-1,-1,-1
1011,-1,-1,-1,-1,-1,2|1|100|999999|1|19#2|2|30,-1,-1,-1
1012,-1,-1,-1,-1,-1,-1,1|1,-1,-1
1013,-1,-1,10|9004,-1,-1,-1,-1,-1,-1
1014,-1,-1,-1,-1,-1,-1,-1,-1,-1
