id,loading图,名称,英文名称,英文颜色底,描述,玩法模块,玩家等级
id,Picture,Name,EngName,EngNameColour,Des,moduleID,playerlevel
number,string,number,string,array_&,number,number,array_&
1,source_uiLoading/1,10200001,KNIGHTS OF ROSE,38&57&149&255,20200001,-1,1&200
2,source_uiLoading/8,10200002,WAR IN HEAVEN,150&89&40&255,20200002,-1,1&200
3,source_uiLoading/3,10200003,THE WITCH PURGE,96&65&65&255,20200003,-1,1&200
4,source_uiLoading/28,10200004,SANTA MORA,96&65&65&255,20200004,-1,1&200
5,source_uiLoading/34,10200005,TOWER OF BABEL,96&65&65&255,20200005,-1,1&200
6,source_uiLoading/10,10200006,NIGHTINGALE FOREST,38&57&149&255,20200006,-1,1&200
7,source_uiLoading/35,10200007,ABYSS,38&57&149&255,20200007,-1,1&200
8,source_uiLoading/39,10200008,RIVER COCYTUS,38&57&149&255,20200008,-1,1&200
9,source_uiLoading/44,10200009,THE THREE PILLARS,38&57&149&255,20200009,-1,1&200
10,source_uiLoading/49,10200010,GNOSIS,38&57&149&255,20200010,-1,1&200
11,source_uiLoading/76,10200017,Vodilaci,38&57&149&255,20200017,101,1&2
12,source_uiLoading/38,10200018,Tumezine,38&57&149&255,20200018,101,1&2
13,source_uiLoading/10,10200006,NIGHTINGALE FOREST,38&57&149&255,20200006,101,1&2
14,source_uiLoading/76,10200017,Vodilaci,38&57&149&255,20200017,101,3&15
15,source_uiLoading/38,10200018,Tumezine,38&57&149&255,20200018,101,3&15
16,source_uiLoading/10,10200006,NIGHTINGALE FOREST,38&57&149&255,20200006,101,3&15
17,source_uiLoading/3,10200003,THE WITCH PURGE,96&65&65&255,20200003,101,3&15
18,source_uiLoading/28,10200004,SANTA MORA,96&65&65&255,20200004,101,3&15
19,source_uiLoading/1,10200001,KNIGHTS OF ROSE,38&57&149&255,20200001,101,16&200
20,source_uiLoading/8,10200002,WAR IN HEAVEN,150&89&40&255,20200002,101,16&200
21,source_uiLoading/3,10200003,THE WITCH PURGE,96&65&65&255,20200003,101,16&200
22,source_uiLoading/28,10200004,SANTA MORA,96&65&65&255,20200004,101,16&200
23,source_uiLoading/34,10200005,TOWER OF BABEL,96&65&65&255,20200005,101,16&200
24,source_uiLoading/10,10200006,NIGHTINGALE FOREST,38&57&149&255,20200006,101,16&200
25,source_uiLoading/35,10200007,ABYSS,38&57&149&255,20200007,101,16&200
26,source_uiLoading/39,10200008,RIVER COCYTUS,38&57&149&255,20200008,101,16&200
27,source_uiLoading/66,10200011,Kodi vedine,38&57&149&255,20200011,102,1&15
28,source_uiLoading/78,10200020,Tumearche,38&57&149&255,20200020,102,1&15
29,source_uiLoading/44,10200009,THE THREE PILLARS,38&57&149&255,20200009,102,1&15
30,source_uiLoading/49,10200010,GNOSIS,38&57&149&255,20200010,102,1&15
31,source_uiLoading/66,10200011,Kodi vedine,38&57&149&255,20200011,102,16&200
32,source_uiLoading/78,10200020,Tumearche,38&57&149&255,20200020,102,16&200
33,source_uiLoading/44,10200009,THE THREE PILLARS,38&57&149&255,20200009,102,16&200
34,source_uiLoading/49,10200010,GNOSIS,38&57&149&255,20200010,102,16&200
35,source_uiLoading/1,10200001,KNIGHTS OF ROSE,38&57&149&255,20200001,102,16&200
36,source_uiLoading/8,10200002,WAR IN HEAVEN,150&89&40&255,20200002,102,16&200
37,source_uiLoading/3,10200003,THE WITCH PURGE,96&65&65&255,20200003,102,16&200
38,source_uiLoading/28,10200004,SANTA MORA,96&65&65&255,20200004,102,16&200
39,source_uiLoading/34,10200005,TOWER OF BABEL,96&65&65&255,20200005,102,16&200
40,source_uiLoading/10,10200006,NIGHTINGALE FOREST,38&57&149&255,20200006,102,16&200
41,source_uiLoading/35,10200007,ABYSS,38&57&149&255,20200007,102,16&200
42,source_uiLoading/39,10200008,RIVER COCYTUS,38&57&149&255,20200008,102,16&200
43,source_uiLoading/77,10200019,Tumearche,38&57&149&255,20200019,201,1&200
44,source_uiLoading/78,10200020,Tumearche,38&57&149&255,20200020,203,1&200
45,source_uiLoading/77,10200019,Tumearche,38&57&149&255,20200019,204,1&200
46,source_uiLoading/78,10200020,Tumearche,38&57&149&255,20200020,205,1&200
47,source_uiLoading/66,10200011,Kodi vedine,38&57&149&255,20200011,401,1&200
48,source_uiLoading/77,10200019,Tumearche,38&57&149&255,20200019,401,1&200
