邮件id,发送类型,发送渠道,开放日开始,开放日结束,发送时间,邮件持续时间,物品列表填ID,邮件defid
id,Type,platform,open_date_begin,open_date_end,Time,Duration,Rewards_itemlist,maildefid
number,number,array_&,string,string,string,number,number,number
1,0,-1,-1,-1,-1,1209600,80100024,1006
2,2,-1,-1,-1,2020/4/1  5:00:00,1209600,80100017,1001
3,2,-1,-1,-1,2020/4/1  5:00:00,1209600,80100017,1001
4,1,-1,2020/12/3 05:00:00,2020/12/20 00:00:00,05:00:00,1209600,80100019,1004
5,1,-1,2021/1/4 00:00:00,2021/2/7 00:00:00,05:00:00,1209600,80100020,1003
6,0,-1,-1,-1,-1,1209600,80100017,1007
7,0,-1,-1,-1,-1,1209600,80100025,1008
8,0,-1,-1,-1,-1,1209600,0,1009
