邮件id,发件人署名,标题,标题,邮件文本内容ID
id,author,title,longtitle,text
number,string,string,string,number
1,安丽斯喵,月卡奖励,月卡奖励,20210009
3,安丽斯喵,应援奖励,应援奖励,20210003
4,安丽斯喵,翻牌奖励,翻牌奖励,20210003
5,安丽斯喵,世界boss结算奖励,世界boss结算奖励,10210027
7,安丽斯喵,月卡整合奖励,月卡整合奖励,20210010
8,安丽斯喵,礼包奖励,礼包奖励,20210001
9,安丽斯喵,礼包整合奖励,礼包整合奖励,20210002
10,安丽斯喵,每日签到额外奖励,每日签到额外奖励,20210006
900,安丽斯喵,充值失败补偿,充值失败补偿,20210006
901,安丽斯喵,充值失败补偿,充值失败补偿,20210006
951,安丽斯喵,白夜乐章充值返利,白夜乐章充值返利,20210011
952,安丽斯喵,5测充值返利,5测充值返利,20210011
953,安丽斯喵,弃神者测试参与奖励,弃神者测试参与奖励,20210013
954,安丽斯喵,弃神者测试通关奖励,弃神者测试通关奖励,20210014
955,安丽斯喵,白夜乐章参与奖励,白夜乐章参与奖励,20210012
956,安丽斯喵,5测参与奖励,5测参与奖励,20210011
1000,安丽斯喵,迷路的信鸽,迷路的信鸽,20210004
1001,制作组,专属福利I,来自缔造者的馈赠,10210002
1002,制作组,第二次付费测试专属福利,第二次付费测试专属福利,20210005
1003,安丽斯喵,星火计划每日福利,星火计划每日福利,10210022
1004,安丽斯喵,构筑福利奖励,构筑福利奖励,10210028
1005,安丽斯喵,礼包码兑换奖励,礼包码兑换奖励,10210028
1006,安丽斯喵,公测预约奖励,公测预约奖励,10210029
1007,安丽斯喵,公测直播福利,公测直播福利,10210030
1008,安丽斯喵,欢迎来到夜莺森林!,欢迎来到夜莺森林!,10210031
1009,安丽斯喵,《爆裂魔女》首日调查问卷,《爆裂魔女》首日调查问卷,10210032
1010,安丽斯喵,《爆裂魔女》综合调查问卷,《爆裂魔女》综合调查问卷,10210033
1011,安丽斯喵,填写调查问卷奖励,填写调查问卷奖励,10210034
1012,安丽斯喵,月卡问题补偿,月卡问题补偿,10210035
1013,夜莺修葺部,关于卡池新增保底机制的说明,关于卡池新增保底机制的说明,10210036
1014,夜莺修葺部,尤斯蒂缇好感度奖励补偿,尤斯蒂缇好感度奖励补偿,10210037
1015,夜莺修葺部,卡池新增保底机制补偿,卡池新增保底机制补偿,10210038
