id,所属关卡,排序id,BOSSid,头目头像,头目系别,头目描述,BOSS战斗力,spine位置,spine缩放
id,levelID,rate,boss_id,avatar,attri_type,des,combat_effectiveness,SpinePos,SpineScale
number,number,number,number,string,number,number,number,array_&_|,array_&_|
1,400001,1,10401230,source_avatar/hero/pay_10101011,2,4000011,60000,247&-42&0,0.47&0.47&0.47
2,400001,2,10401190,source_avatar/hero/pay_10102020,2,4000012,96000,249&-26&0,0.6&0.6&0.6
3,400001,3,10401150,source_avatar/hero/pay_10101012,1,4000013,150000,89&170&0,0.76&0.76&0.76
4,400001,4,10102030,source_avatar/hero/pay_10102030,3,4000014,165000,99&-11&0,0.68&0.68&0.68
5,400001,5,10401290,source_avatar/hero/pay_10170001,2,4000015,180000,193&-52&0,0.64&0.64&0.64
6,400001,6,10401300,source_avatar/hero/pay_10190001,3,4000016,200000,201&-52&0,0.6&0.6&0.6
7,400001,7,10401310,source_avatar/hero/pay_10070001,2,4000017,230000,201&-52&0,0.6&0.6&0.6
8,400001,8,10401160,source_avatar/hero/pay_10100010,1,4000018,260000,165&-4&0,0.75&0.75&0.75
9,400002,1,10401230,source_avatar/hero/pay_10101011,2,4000011,60000,247&-42&0,0.47&0.47&0.47
10,400002,2,10401190,source_avatar/hero/pay_10102020,2,4000012,96000,249&-26&0,0.6&0.6&0.6
11,400002,3,10401150,source_avatar/hero/pay_10101012,1,4000013,150000,89&170&0,0.76&0.76&0.76
12,400002,4,10102030,source_avatar/hero/pay_10102030,3,4000014,165000,99&-11&0,0.68&0.68&0.68
13,400002,5,10401290,source_avatar/hero/pay_10170001,2,4000015,180000,193&-52&0,0.64&0.64&0.64
14,400002,6,10401300,source_avatar/hero/pay_10190001,3,4000016,200000,201&-52&0,0.6&0.6&0.6
15,400002,7,10401310,source_avatar/hero/pay_10070001,2,4000017,230000,201&-52&0,0.6&0.6&0.6
16,400002,8,10401160,source_avatar/hero/pay_10100010,1,4000018,260000,165&-4&0,0.75&0.75&0.75
17,400003,1,10401230,source_avatar/hero/pay_10101011,2,4000011,60000,247&-42&0,0.47&0.47&0.47
18,400003,2,10401190,source_avatar/hero/pay_10102020,2,4000012,96000,249&-26&0,0.6&0.6&0.6
19,400003,3,10401150,source_avatar/hero/pay_10101012,1,4000013,150000,89&170&0,0.76&0.76&0.76
20,400003,4,10102030,source_avatar/hero/pay_10102030,3,4000014,165000,99&-11&0,0.68&0.68&0.68
21,400003,5,10401290,source_avatar/hero/pay_10170001,2,4000015,180000,193&-52&0,0.64&0.64&0.64
22,400003,6,10401300,source_avatar/hero/pay_10190001,3,4000016,200000,201&-52&0,0.6&0.6&0.6
23,400003,7,10401310,source_avatar/hero/pay_10070001,2,4000017,230000,201&-52&0,0.6&0.6&0.6
24,400003,8,10401160,source_avatar/hero/pay_10100010,1,4000018,260000,165&-4&0,0.75&0.75&0.75
25,400004,1,10401230,source_avatar/hero/pay_10101011,2,4000011,60000,247&-42&0,0.47&0.47&0.47
26,400004,2,10401190,source_avatar/hero/pay_10102020,2,4000012,96000,249&-26&0,0.6&0.6&0.6
27,400004,3,10401150,source_avatar/hero/pay_10101012,1,4000013,150000,89&170&0,0.76&0.76&0.76
28,400004,4,10102030,source_avatar/hero/pay_10102030,3,4000014,165000,99&-11&0,0.68&0.68&0.68
29,400004,5,10401290,source_avatar/hero/pay_10170001,2,4000015,180000,193&-52&0,0.64&0.64&0.64
30,400004,6,10401300,source_avatar/hero/pay_10190001,3,4000016,200000,201&-52&0,0.6&0.6&0.6
31,400004,7,10401310,source_avatar/hero/pay_10070001,2,4000017,230000,201&-52&0,0.6&0.6&0.6
32,400004,8,10401160,source_avatar/hero/pay_10100010,1,4000018,260000,165&-4&0,0.75&0.75&0.75
