id,关卡id,波数,遗物
id,levelID,rate,buff
number,int,int,int_array_&_|
1,400001,1,1001&5|1007&5|1008&5|1009&5|1019&5|1020&5|1021&5|1022&5|1023&5|1024&5|1038&5|1039&5|1040&5|1047&5|1050&5|1076&5|1080&5|1085&5|1094&10|1100&20
2,400001,2,1004&5|1016&5|1037&5|1038&5|1039&5|1040&5|1041&5|1047&5|1052&5|1060&5|1063&5|1067&5|1069&5|1081&5|1086&5|1101&20|1095&10
3,400001,3,1002&5|1010&5|1011&5|1012&5|1025&5|1026&5|1027&5|1028&5|1029&5|1030&5|1042&5|1051&5|1054&5|1102&5|1064&5|1068&5|1070&5|1071&5|1077&5|1082&5|1097&10|1100&20
4,400001,4,1005&5|1005&5|1017&5|1043&5|1056&5|1061&5|1065&5|1071&5|1103&5|1088&5|1092&5|1096&10|1101&20
5,400001,5,1044&5|1048&5|1058&5|1066&5|1072&5|1104&5
6,400001,6,1006&5|1018&5|1031&5|1032&5|1033&5|1034&5|1035&5|1036&5|1045&5|1046&5|1059&5|1062&5|1066&5|1078&5|1079&5|1083&5|1090&5|1093&5|1098&5
7,400001,7,1003&5|1013&5|1014&5|1015&5|1046&5|1049&5|1079&5|1084&5|1099&5
8,400001,8,-1
9,400002,1,1001&5|1007&5|1008&5|1009&5|1019&5|1020&5|1021&5|1022&5|1023&5|1024&5|1038&5|1039&5|1040&5|1047&5|1050&5|1076&5|1080&5|1085&5|1094&10|1100&20
10,400002,2,1004&5|1016&5|1037&5|1038&5|1039&5|1040&5|1041&5|1047&5|1052&5|1060&5|1063&5|1067&5|1069&5|1081&5|1086&5|1101&20|1095&10
11,400002,3,1002&5|1010&5|1011&5|1012&5|1025&5|1026&5|1027&5|1028&5|1029&5|1030&5|1042&5|1051&5|1054&5|1102&5|1064&5|1068&5|1070&5|1071&5|1077&5|1082&5|1097&10|1100&20
12,400002,4,1005&5|1005&5|1017&5|1043&5|1056&5|1061&5|1065&5|1071&5|1103&5|1088&5|1092&5|1096&10|1101&20
13,400002,5,1044&5|1048&5|1058&5|1066&5|1072&5|1104&5
14,400002,6,1006&5|1018&5|1031&5|1032&5|1033&5|1034&5|1035&5|1036&5|1045&5|1046&5|1059&5|1062&5|1066&5|1078&5|1079&5|1083&5|1090&5|1093&5|1098&5
15,400002,7,1003&5|1013&5|1014&5|1015&5|1046&5|1049&5|1079&5|1084&5|1099&5
16,400002,8,-1
17,400003,1,1001&5|1007&5|1008&5|1009&5|1019&5|1020&5|1021&5|1022&5|1023&5|1024&5|1038&5|1039&5|1040&5|1047&5|1050&5|1076&5|1080&5|1085&5|1094&10|1100&20
18,400003,2,1004&5|1016&5|1037&5|1038&5|1039&5|1040&5|1041&5|1047&5|1052&5|1060&5|1063&5|1067&5|1069&5|1081&5|1086&5|1101&20|1095&10
19,400003,3,1002&5|1010&5|1011&5|1012&5|1025&5|1026&5|1027&5|1028&5|1029&5|1030&5|1042&5|1051&5|1054&5|1102&5|1064&5|1068&5|1070&5|1071&5|1077&5|1082&5|1097&10|1100&20
20,400003,4,1005&5|1005&5|1017&5|1043&5|1056&5|1061&5|1065&5|1071&5|1103&5|1088&5|1092&5|1096&10|1101&20
21,400003,5,1044&5|1048&5|1058&5|1066&5|1072&5|1104&5
22,400003,6,1006&5|1018&5|1031&5|1032&5|1033&5|1034&5|1035&5|1036&5|1045&5|1046&5|1059&5|1062&5|1066&5|1078&5|1079&5|1083&5|1090&5|1093&5|1098&5
23,400003,7,1003&5|1013&5|1014&5|1015&5|1046&5|1049&5|1079&5|1084&5|1099&5
24,400003,8,-1
25,400004,1,1001&5|1007&5|1008&5|1009&5|1019&5|1020&5|1021&5|1022&5|1023&5|1024&5|1038&5|1039&5|1040&5|1047&5|1050&5|1076&5|1080&5|1085&5|1094&10|1100&20
26,400004,2,1004&5|1016&5|1037&5|1038&5|1039&5|1040&5|1041&5|1047&5|1052&5|1060&5|1063&5|1067&5|1069&5|1081&5|1086&5|1101&20|1095&10
27,400004,3,1002&5|1010&5|1011&5|1012&5|1025&5|1026&5|1027&5|1028&5|1029&5|1030&5|1042&5|1051&5|1054&5|1102&5|1064&5|1068&5|1070&5|1071&5|1077&5|1082&5|1097&10|1100&20
28,400004,4,1005&5|1005&5|1017&5|1043&5|1056&5|1061&5|1065&5|1071&5|1103&5|1088&5|1092&5|1096&10|1101&20
29,400004,5,1044&5|1048&5|1058&5|1066&5|1072&5|1104&5
30,400004,6,1006&5|1018&5|1031&5|1032&5|1033&5|1034&5|1035&5|1036&5|1045&5|1046&5|1059&5|1062&5|1066&5|1078&5|1079&5|1083&5|1090&5|1093&5|1098&5
31,400004,7,1003&5|1013&5|1014&5|1015&5|1046&5|1049&5|1079&5|1084&5|1099&5
32,400004,8,-1
