bossid,小怪id,小怪权重,爽关id,爽关权重,boss时间
id,enemy_id,enemy_rate,coin_id,coin_rate,boss_time
int,int_array_|,int_array_|,int_array_|,int_array_|,number
1010,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,76.75
1020,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,110.38399999999999
1030,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,106
1040,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,97.552
1050,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,89.3
1060,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,79.96000000000001
1061,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,53.120000000000005
1062,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,53.18000000000001
1070,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,116.30000000000001
1080,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,126.9
1081,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,114.30000000000001
1082,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,79.10000000000001
1090,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,120.388
1100,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,93.5
1110,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,91.488
1120,101|102|103|104|105|106|107|108|109|110|111|112|113,1|1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,122.56
1130,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,86.85
1140,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,74.61
1150,101|102|103|104|105|106|107|108|109|110|111|112,1|1|1|1|1|1|1|1|1|1|1|1,101|102|103|104|105|106|107|108|109|110,1|1|1|1|1|1|1|1|1|1,103.352
