id,类型,等级,最终生命,最终攻击,最终防御,擦弹分,死亡分数,神火,时间
id,enemy_type,level,hp,atk,def,cadan,die_Score,gf,add_time
int,int,int,number,number,number,number,number,array_|,number
1,1,1,2100000000,1206,504,250,5000000,1|15,20
2,1,2,2100000000,1308,546,250,5000000,1|15,20
3,1,3,2100000000,1458,609,250,5000000,1|15,20
4,1,4,2100000000,1560,651,250,5000000,1|15,20
5,1,5,2100000000,1662,693,250,5000000,1|15,20
6,1,6,2100000000,1764,735,250,5000000,1|15,20
7,1,7,2100000000,1908,795,250,5000000,1|15,20
8,1,8,2100000000,2010,837,250,5000000,1|15,20
9,1,9,2100000000,2112,879,250,5000000,1|15,20
10,1,10,2100000000,3204,1335,250,5000000,1|15,20
11,1,11,2100000000,3306,1377,250,5000000,1|15,20
12,1,12,2100000000,3408,1419,250,5000000,1|15,20
13,1,13,2100000000,3504,1461,250,5000000,1|15,20
14,1,14,2100000000,3606,1503,250,5000000,1|15,20
15,1,15,2100000000,3708,1545,250,5000000,1|15,20
16,1,16,2100000000,3810,1587,250,5000000,1|15,20
17,1,17,2100000000,3912,1629,250,5000000,1|15,20
18,1,18,2100000000,4008,1671,250,5000000,1|15,20
19,1,19,2100000000,4110,1713,250,5000000,1|15,20
20,1,20,2100000000,4692,1956,250,5000000,1|15,20
21,1,21,2100000000,4794,1998,1875,37500000,1|15,20
22,1,22,2100000000,4896,2040,1875,37500000,1|15,20
23,1,23,2100000000,4998,2082,1875,37500000,1|15,20
24,1,24,2100000000,5100,2124,1875,37500000,1|15,20
25,1,25,2100000000,5202,2169,1875,37500000,1|15,20
26,1,26,2100000000,5304,2211,1875,37500000,1|15,20
27,1,27,2100000000,5406,2253,1875,37500000,1|15,20
28,1,28,2100000000,5508,2295,1875,37500000,1|15,20
29,1,29,2100000000,5610,2337,1875,37500000,1|15,20
30,1,30,2100000000,6228,2595,1875,37500000,1|15,20
31,1,31,2100000000,6330,2637,1875,37500000,1|15,20
32,1,32,2100000000,10602,4419,1875,37500000,1|15,20
33,1,33,2100000000,10908,4545,1875,37500000,1|15,20
34,1,34,2100000000,11010,4590,1875,37500000,1|15,20
35,1,35,2100000000,11118,4632,1875,37500000,1|15,20
36,1,36,2100000000,11220,4674,1875,37500000,1|15,20
37,1,37,2100000000,11322,4719,1875,37500000,1|15,20
38,1,38,2100000000,11424,4761,1875,37500000,1|15,20
39,1,39,2100000000,11526,4803,1875,37500000,1|15,20
40,1,40,2100000000,12888,5370,1875,37500000,1|15,20
41,1,41,2100000000,12990,5412,6250,125000000,1|15,20
42,1,42,2100000000,13098,5457,6250,125000000,1|15,20
43,1,43,2100000000,13200,5502,6250,125000000,1|15,20
44,1,44,2100000000,13308,5544,6250,125000000,1|15,20
45,1,45,2100000000,13410,5589,6250,125000000,1|15,20
46,1,46,2100000000,13512,5631,6250,125000000,1|15,20
47,1,47,2100000000,13620,5676,6250,125000000,1|15,20
48,1,48,2100000000,13728,5718,6250,125000000,1|15,20
49,1,49,2100000000,13830,5763,6250,125000000,1|15,20
50,1,50,2100000000,16482,6870,6250,125000000,1|15,20
51,1,51,2100000000,16590,6915,6250,125000000,1|15,20
52,1,52,2100000000,16698,6957,6250,125000000,1|15,20
53,1,53,2100000000,17226,7179,6250,125000000,1|15,20
54,1,54,2100000000,17334,7221,6250,125000000,1|15,20
55,1,55,2100000000,17436,7266,6250,125000000,1|15,20
56,1,56,2100000000,17544,7311,6250,125000000,1|15,20
57,1,57,2100000000,17652,7356,6250,125000000,1|15,20
58,1,58,2100000000,17760,7401,6250,125000000,1|15,20
59,1,59,2100000000,17868,7443,6250,125000000,1|15,20
60,1,60,2100000000,21918,9135,6250,125000000,1|15,20
61,1,61,2100000000,22026,9180,9250,187500000,1|15,20
62,1,62,2100000000,22134,9222,9250,187500000,1|15,20
63,1,63,2100000000,22242,9267,9250,187500000,1|15,20
64,1,64,2100000000,22350,9312,9250,187500000,1|15,20
65,1,65,2100000000,22458,9357,9250,187500000,1|15,20
66,1,66,2100000000,22566,9402,9250,187500000,1|15,20
67,1,67,2100000000,22674,9447,9250,187500000,1|15,20
