id,1号池,权重,等级,难度,2号池,权重,等级,难度,3号池,权重,等级,难度,4号池,权重,等级,难度,5号池,权重,等级,难度
id,pool_1,rate_1,level_1,diff_1,pool_2,rate_2,level_2,diff_2,pool_3,rate_3,level_3,diff_3,pool_4,rate_4,level_4,diff_4,pool_5,rate_5,level_5,diff_5
int,int_array_|,int_array_|,int,int,int_array_|,int_array_|,int,int,int_array_|,int_array_|,int,int,int_array_|,int_array_|,int,int,int_array_|,int_array_|,int,int
500001,1010|1020|1030,1|1|1,27,1,1010|1020|1030,1|1|1,30,1,1070|1060,1|1,33,3,1040|1150,1|1,35,4,1070|1080,1|1,40,4
500002,1050|1062|1030,1|1|1,35,1,1140|1062|1150,1|1|1,40,2,1070|1082,1|1,45,3,1040|1082,1|1,47,4,1090|1150,1|1,50,4
500003,1082|1081,1|1,45,1,1100|1090,1|1,50,2,1070|1110,1|1,53,3,1110|1120,1|1,56,4,1130|1120|1110,1|1|1,60,4
500004,1062.0,1.0,55,2,1100|1040,1|1,57,2,1100|1040,1|1,59,3,1082|1090|1040,1|1|1,62,4,1040|1082|1090,1|1|1,65,4
500005,1061|1020,1|1,55,2,1061|1020,1|1,57,2,1070|1080|1130,1|1|1,59,3,1070|1080|1130,1|1|1,62,4,1070|1080|1130,1|1|1,65,4
500006,1010|1030|1140,1|1|1,55,2,1010|1030|1140,1|1|1,57,2,1110|1120,1|1,59,3,1110|1120|1150,1|1|1,62,4,1110|1120|1150,1|1|1,65,4
500007,1062.0,1.0,60,2,1100|1040,1|1,63,2,1100|1040,1|1,66,3,1082|1090|1040,1|1|1,70,4,1040|1082|1090,1|1|1,75,4
500008,1061|1020,1|1,60,2,1061|1020,1|1,63,2,1070|1080|1130,1|1|1,66,3,1070|1080|1130,1|1|1,70,4,1070|1080|1130,1|1|1,75,4
500009,1010|1030|1140,1|1|1,60,2,1010|1030|1140,1|1|1,63,2,1110|1120,1|1,66,3,1110|1120|1150,1|1|1,70,4,1110|1120|1150,1|1|1,75,4
500010,1062.0,1.0,70,2,1100|1040,1|1,73,2,1100|1040,1|1,76,3,1082|1090|1040,1|1|1,79,4,1040|1082|1090,1|1|1,85,4
500011,1061|1020,1|1,70,2,1061|1020,1|1,73,2,1070|1080|1130,1|1|1,76,3,1070|1080|1130,1|1|1,79,4,1070|1080|1130,1|1|1,85,4
500012,1010|1030|1140,1|1|1,70,2,1010|1030|1140,1|1|1,73,2,1110|1120,1|1,76,3,1110|1120|1150,1|1|1,79,4,1110|1120|1150,1|1|1,85,4
