id,文字描述,名次,段位,日奖励（深渊币）,周奖励（奖杯数）
id,Award_id,Rank,Division,DayAward,WeekAward
number,number,number,number,array_&_|,number
1001,1058001,1,1,4&1000008&253,100
1002,10520002,2,1,4&1000008&251,98
1003,10520003,3,1,4&1000008&249,96
1004,10520004,4,1,4&1000008&247,94
1005,10520005,5,1,4&1000008&245,92
1006,10520006,6,1,4&1000008&243,90
1007,10520007,7,1,4&1000008&241,88
1008,10520008,8,1,4&1000008&239,86
1009,10520009,9,1,4&1000008&237,84
1010,10520010,10,1,4&1000008&235,82
1011,10520011,11,1,4&1000008&233,80
1012,10520012,12,1,4&1000008&231,78
1013,10520013,13,1,4&1000008&229,76
1014,10520014,14,1,4&1000008&227,74
1015,10520015,15,1,4&1000008&225,72
1016,10520016,16,1,4&1000008&223,70
1017,10520017,17,1,4&1000008&221,68
1018,10520018,18,1,4&1000008&219,65
1019,10520019,19,1,4&1000008&217,63
1020,10520020,20,1,4&1000008&215,61
1021,10520021,21,1,4&1000008&213,59
1022,10520022,22,1,4&1000008&211,57
1023,10520023,23,1,4&1000008&209,55
1024,10520024,24,1,4&1000008&207,53
1025,10520025,25,1,4&1000008&205,51
1026,10520026,26,1,4&1000008&203,49
1027,10520027,27,1,4&1000008&201,47
1028,10520028,28,1,4&1000008&199,45
1029,10520029,29,1,4&1000008&197,43
1030,10520030,30,1,4&1000008&195,41
1031,10520031,31,1,4&1000008&193,39
1032,10520032,32,1,4&1000008&191,37
1033,10520033,33,1,4&1000008&189,35
1034,10520034,34,1,4&1000008&187,33
1035,10520035,35,1,4&1000008&185,31
1036,10520036,36,1,4&1000008&183,29
1037,10520037,37,1,4&1000008&181,27
1038,10520038,38,1,4&1000008&179,25
1039,10520039,39,1,4&1000008&177,23
1040,10520040,40,1,4&1000008&175,20
1041,10520041,41,1,4&1000008&173,18
1042,10520042,42,1,4&1000008&171,16
1043,10520043,43,1,4&1000008&169,14
1044,10520044,44,1,4&1000008&167,12
1045,10520045,45,1,4&1000008&165,10
