段位,段位名称,小组,小组名称,段位图标,段位星数,所需积分下限,所需积分上限,赛季奖励id组,赛季积分公式参数1
id,Name,group,groupName,Rank_print,Rank_star,Point_min,Point_max,Midnight_award_id,Point_award
number,number,number,number,number,number,number,number,number,array_|
1001,10260001,1,20260001,1001,0,0,29,1001,100|50
2001,10260002,2,20260002,2001,1,30,89,2001,100|50
2002,10260003,2,20260003,2001,2,90,179,2002,100|50
2003,10260004,2,20260004,2001,3,180,279,2003,100|50
3001,10260005,3,20260005,3001,1,280,399,3001,100|40
3002,10260006,3,20260006,3001,2,400,599,3002,100|40
3003,10260007,3,20260007,3001,3,600,799,3003,100|40
4001,10260008,4,20260008,4001,1,800,999,4001,100|40
4002,10260009,4,20260009,4001,2,1000,1199,4002,100|40
4003,10260010,4,20260010,4001,3,1200,1499,4003,100|40
5001,10260011,5,20260011,5001,1,1500,1999,5001,100|30
5002,10260012,5,20260012,5001,2,2000,2499,5002,100|30
5003,10260013,5,20260013,5001,3,2500,2999,5003,100|30
6001,10260014,6,20260014,6001,1,3000,3499,6001,100|30
6002,10260015,6,20260015,6001,2,3500,3999,6002,100|30
6003,10260016,6,20260016,6001,3,4000,9999999999,6003,100|30
