ID,名字库(读语言表id,姓氏区间|名字区间|随机字符区间),机器人等级区间,机器人分数区间,随机魔女（选3个）,机器人属性（属性ID&数值最小值&数值最大值|）,符石,等级都是1级（1,2,3号魔女）,技能等级，等级都一样,法典等级,装备主属性,装备次属性,装备等级
id,NameLib,RobotLvRange,RobotScoreRange,Hero,RobotAttr,Stone,Skill,Builds,equipMainAttr,equipSubAttr,equipLv
number,array_&_|,array_&,array_&,array_&,array_&_|,array_&_|,number,array_&_|,array_&_|,array_&_|,array_&_|
1,650001&650036|750001&750026|850001&850022,20&30,619037&1688284,1001&1002&1003&1008&1016&1019&1045&1009&1013,1&11125&28967|2&2215&5777|5&2215&5760|20&321&1310|21&321&1310,-1,9,1&1&1&2|1&2&1&2|2&7&1&2|2&8&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|5&26&1&2|5&30&1&2|6&31&1&2|6&32&1&2,101&200&270|102&36&54|103&36&54|104&12&18|105&12&18|106&50&100,1&111&325&487|1&112&65&97|2&112&65&97|2&111&325&487|3&113&65&97|3&112&65&97|4&114&325&487|4&115&21&31|5&115&21&31|5&111&325&487|6&111&325&487|6&113&65&97,1&2|1&2|1&2|1&2|1&2|1&2
2,650001&650036|750001&750026|850001&850022,30&35,2753035&7508279,1001&1002&1003&1008&1016&1019&1045&1009&1013,1&28967&31680|2&5777&6317|5&5760&6300|20&1310&1413|21&1310&1413,7770511&7770512&7770513&7770514&7770515&7770516|7771311&7771312&7771313&7771314&7771315&7771316|7771511&7771512&7771513&7771514&7771515&7771516,10,1&1&1&2|1&2&1&2|2&7&1&2|2&8&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|5&26&1&2|5&30&1&2|6&31&1&2|6&32&1&2,101&500&1050|102&72&108|103&72&108|104&24&36|105&24&36|106&100&200,1&111&325&487|1&112&65&97|2&112&65&97|2&111&325&487|3&113&65&97|3&112&65&97|4&114&325&487|4&115&21&31|5&115&21&31|5&111&325&487|6&111&325&487|6&113&65&97,1&5|1&5|1&5|1&5|1&5|1&5
3,650001&650036|750001&750026|850001&850022,30&35,3834250&10457048,1001&1002&1003&1008&1016&1019&1045&1009&1013,1&28967&31680|2&5777&6317|5&5760&6300|20&1310&1413|21&1310&1413,7770521&7770522&7770523&7770524&7770525&7770526|7770821&7770822&7770823&7770824&7770825&7770826|7770221&7770222&7770223&7770224&7770225&7770226,11,1&1&1&2|1&2&1&2|2&7&1&2|2&8&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|5&26&1&2|5&30&1&2|6&31&1&2|6&32&1&2,101&500&1050|102&144&216|103&144&216|104&48&72|105&48&72|106&200&300,1&111&325&487|1&112&65&97|2&112&65&97|2&111&325&487|3&113&65&97|3&112&65&97|4&114&325&487|4&115&21&31|5&115&21&31|5&111&325&487|6&111&325&487|6&113&65&97,1&5|1&5|1&5|1&5|1&5|1&5
4,650001&650036|750001&750026|850001&850022,35&40,4610067&12572912,1002&1003&1006&1008&1009&1013&1016&1022&1023&1024&1025&1036&1038&1045&1031&1030,1&31680&37471|2&6317&7472|5&6300&7446|20&1413&1613|21&1413&1613,7770521&7770522&7770523&7770524&7770525&7770526|7770821&7770822&7770823&7770824&7770825&7770826|7770221&7770222&7770223&7770224&7770225&7770226,12,1&1&1&2|1&2&1&2|2&7&1&2|2&8&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|5&26&1&2|5&30&1&2|6&31&1&2|6&32&1&2,101&500&1050|102&72&108|103&72&108|104&24&36|105&24&36|106&100&200,1&111&325&487|1&112&65&97|2&112&65&97|2&111&325&487|3&113&65&97|3&112&65&97|4&114&325&487|4&115&21&31|5&115&21&31|5&111&325&487|6&111&325&487|6&113&65&97,1&5|1&5|1&5|1&5|1&5|1&5
5,650001&650036|750001&750026|850001&850022,40&45,7996427&21808439,1002&1003&1006&1008&1009&1013&1016&1022&1023&1024&1025&1036&1038&1045&1031&1030,1&37471&39787|2&7472&7933|5&7446&7906|20&1613&1646|21&1613&1646,7770521&7770522&7770523&7770524&7770525&7770526|7770821&7770822&7770823&7770824&7770825&7770826|7770221&7770222&7770223&7770224&7770225&7770226,14,1&1&1&2|1&2&1&2|1&6&1&2|2&7&1&2|2&8&1&2|2&12&1&2|3&14&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|4&24&1&2|5&25&1&2|5&29&1&2|5&30&1&2|6&34&1&3|6&35&1&3,101&700&1300|102&170&200|103&170&200|104&48&72|105&48&72|106&100&200,1&111&600&800|1&112&143&175|1&113&143&175|1&114&42&88|1&115&42&88|2&111&600&800|2&112&143&175|2&113&143&175|2&114&42&88|2&115&42&88|3&111&600&800|3&112&143&175|3&113&143&175|3&114&42&88|3&115&42&88|4&111&600&800|4&112&143&175|4&113&143&175|4&114&42&88|4&115&42&88|5&111&600&800|5&112&143&175|5&113&143&175|5&114&42&88|5&115&42&88|6&111&600&800|6&112&143&175|6&113&143&175|6&114&42&88|6&115&42&88,5&9|5&9|5&9|5&9|5&9|5&9
6,650001&650036|750001&750026|850001&850022,42&47,9511510&25940483,1002&1003&1006&1008&1009&1013&1016&1022&1023&1024&1025&1036&1038&1045&1031&1030,1&38059&40375|2&7589&8049|5&7563&8023|20&1613&1646|21&1613&1646,7772631&7772632&7772633&7772634&7772635&7772636|7770131&7770132&7770133&7770134&7770135&7770136|7770531&7770532&7770533&7770534&7770535&7770536,15,1&1&1&2|1&2&1&2|1&6&1&2|2&7&1&2|2&8&1&2|2&12&1&2|3&14&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|4&24&1&2|5&25&1&2|5&29&1&2|5&30&1&2|6&34&1&3|6&35&1&3,101&700&1300|102&170&200|103&170&200|104&48&72|105&48&72|106&100&200,1&111&600&800|1&112&143&175|1&113&143&175|1&114&42&88|1&115&42&88|2&111&600&800|2&112&143&175|2&113&143&175|2&114&42&88|2&115&42&88|3&111&600&800|3&112&143&175|3&113&143&175|3&114&42&88|3&115&42&88|4&111&600&800|4&112&143&175|4&113&143&175|4&114&42&88|4&115&42&88|5&111&600&800|5&112&143&175|5&113&143&175|5&114&42&88|5&115&42&88|6&111&600&800|6&112&143&175|6&113&143&175|6&114&42&88|6&115&42&88,5&9|5&9|5&9|5&9|5&9|5&9
7,650001&650036|750001&750026|850001&850022,45&50,14903651&40646321,1002&1003&1008&1009&1013&1016&1022&1023&1024&1025&1036&1038&1045&1031&1030&1010&1035&1044,1&39787&50062|2&7933&9984|5&7906&9948|20&1646&2218|21&1646&2218,7772631&7772632&7772633&7772634&7772635&7772636|7770131&7770132&7770133&7770134&7770135&7770136|7770531&7770532&7770533&7770534&7770535&7770536,15,1&1&1&2|1&2&1&2|1&6&1&2|2&7&1&2|2&8&1&2|2&12&1&2|3&14&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|4&24&1&2|5&25&1&2|5&29&1&2|5&30&1&2|6&34&1&3|6&35&1&3,101&700&1300|102&170&200|103&170&200|104&48&72|105&48&72|106&100&200,1&111&600&800|1&112&143&175|1&113&143&175|1&114&42&88|1&115&42&88|2&111&600&800|2&112&143&175|2&113&143&175|2&114&42&88|2&115&42&88|3&111&600&800|3&112&143&175|3&113&143&175|3&114&42&88|3&115&42&88|4&111&600&800|4&112&143&175|4&113&143&175|4&114&42&88|4&115&42&88|5&111&600&800|5&112&143&175|5&113&143&175|5&114&42&88|5&115&42&88|6&111&600&800|6&112&143&175|6&113&143&175|6&114&42&88|6&115&42&88,5&9|5&9|5&9|5&9|5&9|5&9
8,650001&650036|750001&750026|850001&850022,55&60,16140506&44019564,1002&1003&1008&1009&1013&1016&1022&1023&1024&1025&1036&1038&1045&1031&1030&1010&1035&1044,1&53181&66539|2&10605&13274|5&10569&13226|20&2281&2967|21&2281&2967,7772631&7772632&7772633&7772634&7772635&7772636|7770131&7770132&7770133&7770134&7770135&7770136|7770531&7770532&7770533&7770534&7770535&7770536,15,1&1&1&2|1&2&1&2|1&6&1&2|2&7&1&2|2&8&1&2|2&12&1&2|3&14&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|4&24&1&2|5&25&1&2|5&29&1&2|5&30&1&2|6&34&1&3|6&35&1&3,101&1100&1500|102&200&300|103&200&300|104&100&200|105&100&200|106&200&400,1&111&100&1500|1&112&300&400|1&113&300&400|1&114&180&220|1&115&180&220|2&111&100&1500|2&112&300&400|2&113&300&400|2&114&180&220|2&115&180&220|3&111&100&1500|3&112&300&400|3&113&300&400|3&114&180&220|3&115&180&220|4&111&100&1500|4&112&300&400|4&113&300&400|4&114&180&220|4&115&180&220|5&111&100&1500|5&112&300&400|5&113&300&400|5&114&180&220|5&115&180&220|6&111&100&1500|6&112&300&400|6&113&300&400|6&114&180&220|6&115&180&220,9&12|9&12|9&12|9&12|9&12|9&12
9,650001&650036|750001&750026|850001&850022,55&60,16965787&46270329,1001&1002&1003&1008&1016&1019&1045&1009&1013,1&53181&66539|2&10605&13274|5&10569&13226|20&2281&2967|21&2281&2967,7772631&7772632&7772633&7772634&7772635&7772636|7770131&7770132&7770133&7770134&7770135&7770136|7770531&7770532&7770533&7770534&7770535&7770536,16,1&1&1&2|1&2&1&2|1&6&1&2|2&7&1&2|2&8&1&2|2&12&1&2|3&14&1&2|3&17&1&2|3&18&1&2|4&19&1&2|4&21&1&2|4&24&1&2|5&25&1&2|5&29&1&2|5&30&1&2|6&34&1&3|6&35&1&3,101&1100&1500|102&200&300|103&200&300|104&100&200|105&100&200|106&200&400,1&111&100&1500|1&112&300&400|1&113&300&400|1&114&180&220|1&115&180&220|2&111&100&1500|2&112&300&400|2&113&300&400|2&114&180&220|2&115&180&220|3&111&100&1500|3&112&300&400|3&113&300&400|3&114&180&220|3&115&180&220|4&111&100&1500|4&112&300&400|4&113&300&400|4&114&180&220|4&115&180&220|5&111&100&1500|5&112&300&400|5&113&300&400|5&114&180&220|5&115&180&220|6&111&100&1500|6&112&300&400|6&113&300&400|6&114&180&220|6&115&180&220,9&12|9&12|9&12|9&12|9&12|9&12
